datetime,00060_Mean,00060_Mean_cd,site_no
1986-10-01 00:00:00+00:00,622.0,A,06326500
1986-10-02 00:00:00+00:00,533.0,A,06326500
1986-10-03 00:00:00+00:00,546.0,A,06326500
1986-10-04 00:00:00+00:00,506.0,A,06326500
1986-10-05 00:00:00+00:00,470.0,A,06326500
1986-10-06 00:00:00+00:00,446.0,A,06326500
1986-10-07 00:00:00+00:00,506.0,A,06326500
1986-10-08 00:00:00+00:00,839.0,A,06326500
1986-10-09 00:00:00+00:00,734.0,A,06326500
1986-10-10 00:00:00+00:00,688.0,A,06326500
1986-10-11 00:00:00+00:00,566.0,A,06326500
1986-10-12 00:00:00+00:00,513.0,A,06326500
1986-10-13 00:00:00+00:00,470.0,A,06326500
1986-10-14 00:00:00+00:00,470.0,A,06326500
1986-10-15 00:00:00+00:00,470.0,A,06326500
1986-10-16 00:00:00+00:00,464.0,A,06326500
1986-10-17 00:00:00+00:00,452.0,A,06326500
1986-10-18 00:00:00+00:00,440.0,A,06326500
1986-10-19 00:00:00+00:00,407.0,A,06326500
1986-10-20 00:00:00+00:00,418.0,A,06326500
1986-10-21 00:00:00+00:00,423.0,A,06326500
1986-10-22 00:00:00+00:00,401.0,A,06326500
1986-10-23 00:00:00+00:00,407.0,A,06326500
1986-10-24 00:00:00+00:00,407.0,A,06326500
1986-10-25 00:00:00+00:00,407.0,A,06326500
1986-10-26 00:00:00+00:00,1840.0,A,06326500
1986-10-27 00:00:00+00:00,2050.0,A,06326500
1986-10-28 00:00:00+00:00,1360.0,A,06326500
1986-10-29 00:00:00+00:00,1120.0,A,06326500
1986-10-30 00:00:00+00:00,907.0,A,06326500
1986-10-31 00:00:00+00:00,774.0,A,06326500
1986-11-01 00:00:00+00:00,704.0,A,06326500
1986-11-02 00:00:00+00:00,659.0,A,06326500
1986-11-03 00:00:00+00:00,637.0,A,06326500
1986-11-04 00:00:00+00:00,630.0,A,06326500
1986-11-05 00:00:00+00:00,573.0,A,06326500
1986-11-06 00:00:00+00:00,601.0,A,06326500
1986-11-07 00:00:00+00:00,580.0,A,06326500
1986-11-08 00:00:00+00:00,580.0,"A, e",06326500
1986-11-09 00:00:00+00:00,500.0,"A, e",06326500
1986-11-10 00:00:00+00:00,200.0,"A, e",06326500
1986-11-11 00:00:00+00:00,70.0,"A, e",06326500
1986-11-12 00:00:00+00:00,100.0,"A, e",06326500
1986-11-13 00:00:00+00:00,150.0,"A, e",06326500
1986-11-14 00:00:00+00:00,200.0,"A, e",06326500
1986-11-15 00:00:00+00:00,250.0,"A, e",06326500
1986-11-16 00:00:00+00:00,300.0,"A, e",06326500
1986-11-17 00:00:00+00:00,350.0,"A, e",06326500
1986-11-18 00:00:00+00:00,300.0,"A, e",06326500
1986-11-19 00:00:00+00:00,330.0,"A, e",06326500
1986-11-20 00:00:00+00:00,350.0,"A, e",06326500
1986-11-21 00:00:00+00:00,450.0,"A, e",06326500
1986-11-22 00:00:00+00:00,400.0,"A, e",06326500
1986-11-23 00:00:00+00:00,450.0,"A, e",06326500
1986-11-24 00:00:00+00:00,600.0,"A, e",06326500
1986-11-25 00:00:00+00:00,550.0,"A, e",06326500
1986-11-26 00:00:00+00:00,500.0,"A, e",06326500
1986-11-27 00:00:00+00:00,500.0,"A, e",06326500
1986-11-28 00:00:00+00:00,450.0,"A, e",06326500
1986-11-29 00:00:00+00:00,450.0,"A, e",06326500
1986-11-30 00:00:00+00:00,400.0,"A, e",06326500
1986-12-01 00:00:00+00:00,350.0,"A, e",06326500
1986-12-02 00:00:00+00:00,300.0,"A, e",06326500
1986-12-03 00:00:00+00:00,250.0,"A, e",06326500
1986-12-04 00:00:00+00:00,200.0,"A, e",06326500
1986-12-05 00:00:00+00:00,230.0,"A, e",06326500
1986-12-06 00:00:00+00:00,230.0,"A, e",06326500
1986-12-07 00:00:00+00:00,220.0,"A, e",06326500
1986-12-08 00:00:00+00:00,200.0,"A, e",06326500
