datetime,00060_Mean,00060_Mean_cd,site_no,80154_historic_Mean,80154_historic_Mean_cd,80155_historic_Mean,80155_historic_Mean_cd
1989-10-01 00:00:00+00:00,4870.0,A,06329500,98.0,A,1290.0,A
1989-10-02 00:00:00+00:00,4870.0,A,06329500,128.0,A,1680.0,A
1989-10-03 00:00:00+00:00,4910.0,A,06329500,158.0,A,2090.0,A
1989-10-04 00:00:00+00:00,5000.0,A,06329500,555.0,A,7490.0,A
1989-10-05 00:00:00+00:00,5390.0,A,06329500,696.0,A,10100.0,A
1989-10-06 00:00:00+00:00,5940.0,A,06329500,620.0,A,9940.0,A
1989-10-07 00:00:00+00:00,6490.0,A,06329500,540.0,A,9460.0,A
1989-10-08 00:00:00+00:00,6480.0,A,06329500,396.0,A,6930.0,A
1989-10-09 00:00:00+00:00,6400.0,A,06329500,260.0,A,4490.0,A
1989-10-10 00:00:00+00:00,6410.0,A,06329500,252.0,A,4360.0,A
1989-10-11 00:00:00+00:00,6300.0,A,06329500,270.0,A,4590.0,A
1989-10-12 00:00:00+00:00,6230.0,A,06329500,288.0,A,4840.0,A
1989-10-13 00:00:00+00:00,6190.0,A,06329500,275.0,A,4600.0,A
1989-10-14 00:00:00+00:00,6050.0,A,06329500,250.0,A,4080.0,A
1989-10-15 00:00:00+00:00,5910.0,A,06329500,236.0,A,3770.0,A
1989-10-16 00:00:00+00:00,5860.0,A,06329500,204.0,A,3230.0,A
1989-10-17 00:00:00+00:00,5830.0,A,06329500,152.0,A,2390.0,A
1989-10-18 00:00:00+00:00,5800.0,A,06329500,122.0,A,1910.0,A
1989-10-19 00:00:00+00:00,5760.0,A,06329500,95.0,A,1480.0,A
1989-10-20 00:00:00+00:00,5730.0,A,06329500,82.0,A,1270.0,A
1989-10-21 00:00:00+00:00,5680.0,A,06329500,80.0,A,1230.0,A
1989-10-22 00:00:00+00:00,5520.0,A,06329500,72.0,A,1070.0,A
1989-10-23 00:00:00+00:00,5360.0,A,06329500,59.0,A,854.0,A
