datetime,00060_Mean,00060_Mean_cd,site_no
1991-10-01 00:00:00+00:00,96.0,A,11413000
1991-10-02 00:00:00+00:00,95.0,A,11413000
1991-10-03 00:00:00+00:00,94.0,A,11413000
1991-10-04 00:00:00+00:00,93.0,A,11413000
1991-10-05 00:00:00+00:00,94.0,A,11413000
1991-10-06 00:00:00+00:00,94.0,A,11413000
1991-10-07 00:00:00+00:00,94.0,A,11413000
1991-10-08 00:00:00+00:00,94.0,A,11413000
1991-10-09 00:00:00+00:00,93.0,A,11413000
1991-10-10 00:00:00+00:00,92.0,A,11413000
1991-10-11 00:00:00+00:00,91.0,A,11413000
1991-10-12 00:00:00+00:00,92.0,A,11413000
1991-10-13 00:00:00+00:00,91.0,A,11413000
1991-10-14 00:00:00+00:00,90.0,A,11413000
1991-10-15 00:00:00+00:00,90.0,A,11413000
1991-10-16 00:00:00+00:00,90.0,A,11413000
1991-10-17 00:00:00+00:00,91.0,A,11413000
1991-10-18 00:00:00+00:00,91.0,A,11413000
1991-10-19 00:00:00+00:00,91.0,A,11413000
1991-10-20 00:00:00+00:00,88.0,A,11413000
1991-10-21 00:00:00+00:00,91.0,A,11413000
1991-10-22 00:00:00+00:00,94.0,A,11413000
1991-10-23 00:00:00+00:00,101.0,A,11413000
1991-10-24 00:00:00+00:00,100.0,A,11413000
1991-10-25 00:00:00+00:00,118.0,A,11413000
1991-10-26 00:00:00+00:00,708.0,A,11413000
1991-10-27 00:00:00+00:00,275.0,A,11413000
1991-10-28 00:00:00+00:00,170.0,A,11413000
1991-10-29 00:00:00+00:00,153.0,A,11413000
1991-10-30 00:00:00+00:00,142.0,A,11413000
1991-10-31 00:00:00+00:00,133.0,A,11413000
1991-11-01 00:00:00+00:00,131.0,A,11413000
1991-11-02 00:00:00+00:00,129.0,A,11413000
1991-11-03 00:00:00+00:00,129.0,A,11413000
1991-11-04 00:00:00+00:00,128.0,A,11413000
1991-11-05 00:00:00+00:00,127.0,A,11413000
1991-11-06 00:00:00+00:00,126.0,A,11413000
1991-11-07 00:00:00+00:00,124.0,A,11413000
1991-11-08 00:00:00+00:00,123.0,A,11413000
1991-11-09 00:00:00+00:00,147.0,A,11413000
1991-11-10 00:00:00+00:00,147.0,A,11413000
1991-11-11 00:00:00+00:00,130.0,A,11413000
1991-11-12 00:00:00+00:00,124.0,A,11413000
1991-11-13 00:00:00+00:00,121.0,A,11413000
1991-11-14 00:00:00+00:00,120.0,A,11413000
1991-11-15 00:00:00+00:00,120.0,A,11413000
1991-11-16 00:00:00+00:00,117.0,A,11413000
1991-11-17 00:00:00+00:00,226.0,A,11413000
1991-11-18 00:00:00+00:00,258.0,A,11413000
1991-11-19 00:00:00+00:00,167.0,A,11413000
1991-11-20 00:00:00+00:00,184.0,A,11413000
1991-11-21 00:00:00+00:00,205.0,A,11413000
1991-11-22 00:00:00+00:00,174.0,A,11413000
1991-11-23 00:00:00+00:00,158.0,A,11413000
1991-11-24 00:00:00+00:00,153.0,A,11413000
1991-11-25 00:00:00+00:00,151.0,A,11413000
1991-11-26 00:00:00+00:00,152.0,A,11413000
1991-11-27 00:00:00+00:00,198.0,A,11413000
1991-11-28 00:00:00+00:00,194.0,A,11413000
1991-11-29 00:00:00+00:00,164.0,A,11413000
1991-11-30 00:00:00+00:00,147.0,A,11413000
1991-12-01 00:00:00+00:00,144.0,A,11413000
1991-12-02 00:00:00+00:00,146.0,A,11413000
1991-12-03 00:00:00+00:00,142.0,A,11413000
1991-12-04 00:00:00+00:00,139.0,A,11413000
1991-12-05 00:00:00+00:00,137.0,A,11413000
1991-12-06 00:00:00+00:00,136.0,A,11413000
1991-12-07 00:00:00+00:00,177.0,A,11413000
1991-12-08 00:00:00+00:00,153.0,A,11413000
1991-12-09 00:00:00+00:00,142.0,A,11413000
1991-12-10 00:00:00+00:00,141.0,A,11413000
1991-12-11 00:00:00+00:00,141.0,A,11413000
1991-12-12 00:00:00+00:00,140.0,A,11413000
1991-12-13 00:00:00+00:00,140.0,A,11413000
1991-12-14 00:00:00+00:00,139.0,A,11413000
