datetime,00060_Mean,00060_Mean_cd,site_no
1991-10-01 00:00:00+00:00,377.0,A,12414500
1991-10-02 00:00:00+00:00,369.0,A,12414500
1991-10-03 00:00:00+00:00,364.0,A,12414500
1991-10-04 00:00:00+00:00,361.0,A,12414500
1991-10-05 00:00:00+00:00,362.0,A,12414500
1991-10-06 00:00:00+00:00,364.0,A,12414500
1991-10-07 00:00:00+00:00,360.0,A,12414500
1991-10-08 00:00:00+00:00,353.0,A,12414500
1991-10-09 00:00:00+00:00,352.0,A,12414500
1991-10-10 00:00:00+00:00,349.0,A,12414500
1991-10-11 00:00:00+00:00,345.0,A,12414500
1991-10-12 00:00:00+00:00,342.0,A,12414500
1991-10-13 00:00:00+00:00,334.0,A,12414500
1991-10-14 00:00:00+00:00,332.0,A,12414500
1991-10-15 00:00:00+00:00,332.0,A,12414500
1991-10-16 00:00:00+00:00,332.0,A,12414500
1991-10-17 00:00:00+00:00,342.0,A,12414500
1991-10-18 00:00:00+00:00,340.0,A,12414500
1991-10-19 00:00:00+00:00,333.0,A,12414500
1991-10-20 00:00:00+00:00,333.0,A,12414500
1991-10-21 00:00:00+00:00,344.0,A,12414500
1991-10-22 00:00:00+00:00,420.0,A,12414500
1991-10-23 00:00:00+00:00,365.0,A,12414500
1991-10-24 00:00:00+00:00,366.0,A,12414500
1991-10-25 00:00:00+00:00,459.0,A,12414500
1991-10-26 00:00:00+00:00,446.0,A,12414500
1991-10-27 00:00:00+00:00,423.0,A,12414500
1991-10-28 00:00:00+00:00,380.0,A,12414500
1991-10-29 00:00:00+00:00,322.0,A,12414500
1991-10-30 00:00:00+00:00,237.0,A,12414500
1991-10-31 00:00:00+00:00,320.0,A,12414500
1991-11-01 00:00:00+00:00,361.0,A,12414500
1991-11-02 00:00:00+00:00,190.0,"A, e",12414500
1991-11-03 00:00:00+00:00,220.0,"A, e",12414500
1991-11-04 00:00:00+00:00,452.0,A,12414500
1991-11-05 00:00:00+00:00,572.0,A,12414500
1991-11-06 00:00:00+00:00,715.0,A,12414500
1991-11-07 00:00:00+00:00,531.0,A,12414500
1991-11-08 00:00:00+00:00,451.0,A,12414500
1991-11-09 00:00:00+00:00,584.0,A,12414500
1991-11-10 00:00:00+00:00,538.0,A,12414500
1991-11-11 00:00:00+00:00,478.0,A,12414500
