datetime,00060_Mean,00060_Mean_cd,site_no
1993-04-01 00:00:00+00:00,30.0,A,06661000
1993-04-02 00:00:00+00:00,36.0,A,06661000
1993-04-03 00:00:00+00:00,31.0,A,06661000
1993-04-04 00:00:00+00:00,32.0,A,06661000
1993-04-05 00:00:00+00:00,36.0,A,06661000
1993-04-06 00:00:00+00:00,36.0,A,06661000
1993-04-07 00:00:00+00:00,28.0,A,06661000
1993-04-08 00:00:00+00:00,24.0,A,06661000
1993-04-09 00:00:00+00:00,24.0,A,06661000
1993-04-10 00:00:00+00:00,28.0,A,06661000
1993-04-11 00:00:00+00:00,26.0,A,06661000
1993-04-12 00:00:00+00:00,24.0,A,06661000
1993-04-13 00:00:00+00:00,26.0,A,06661000
1993-04-14 00:00:00+00:00,25.0,A,06661000
1993-04-15 00:00:00+00:00,23.0,A,06661000
1993-04-16 00:00:00+00:00,23.0,A,06661000
1993-04-17 00:00:00+00:00,22.0,A,06661000
1993-04-18 00:00:00+00:00,24.0,A,06661000
1993-04-19 00:00:00+00:00,22.0,A,06661000
1993-04-20 00:00:00+00:00,21.0,A,06661000
1993-04-21 00:00:00+00:00,22.0,A,06661000
1993-04-22 00:00:00+00:00,24.0,A,06661000
1993-04-23 00:00:00+00:00,26.0,A,06661000
1993-04-24 00:00:00+00:00,25.0,A,06661000
1993-04-25 00:00:00+00:00,24.0,A,06661000
1993-04-26 00:00:00+00:00,24.0,A,06661000
1993-04-27 00:00:00+00:00,29.0,A,06661000
1993-04-28 00:00:00+00:00,31.0,A,06661000
1993-04-29 00:00:00+00:00,28.0,A,06661000
1993-04-30 00:00:00+00:00,30.0,A,06661000
1993-05-01 00:00:00+00:00,30.0,A,06661000
1993-05-02 00:00:00+00:00,27.0,A,06661000
1993-05-03 00:00:00+00:00,26.0,A,06661000
1993-05-04 00:00:00+00:00,27.0,A,06661000
1993-05-05 00:00:00+00:00,34.0,A,06661000
1993-05-06 00:00:00+00:00,36.0,A,06661000
1993-05-07 00:00:00+00:00,33.0,A,06661000
1993-05-08 00:00:00+00:00,27.0,A,06661000
1993-05-09 00:00:00+00:00,24.0,A,06661000
1993-05-10 00:00:00+00:00,24.0,A,06661000
1993-05-11 00:00:00+00:00,24.0,A,06661000
1993-05-12 00:00:00+00:00,28.0,A,06661000
1993-05-13 00:00:00+00:00,44.0,A,06661000
1993-05-14 00:00:00+00:00,75.0,A,06661000
1993-05-15 00:00:00+00:00,97.0,A,06661000
1993-05-16 00:00:00+00:00,134.0,A,06661000
1993-05-17 00:00:00+00:00,167.0,A,06661000
1993-05-18 00:00:00+00:00,182.0,A,06661000
1993-05-19 00:00:00+00:00,198.0,A,06661000
1993-05-20 00:00:00+00:00,214.0,A,06661000
1993-05-21 00:00:00+00:00,284.0,A,06661000
1993-05-22 00:00:00+00:00,349.0,A,06661000
1993-05-23 00:00:00+00:00,360.0,A,06661000
1993-05-24 00:00:00+00:00,346.0,A,06661000
1993-05-25 00:00:00+00:00,386.0,A,06661000
1993-05-26 00:00:00+00:00,417.0,A,06661000
