datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1992-10-01 00:00:00+00:00,11.0,A,09196500,40.0,A
1992-10-02 00:00:00+00:00,10.7,A,09196500,42.0,A
1992-10-03 00:00:00+00:00,10.2,A,09196500,41.0,A
1992-10-04 00:00:00+00:00,9.5,A,09196500,41.0,A
1992-10-05 00:00:00+00:00,9.3,A,09196500,40.0,A
1992-10-06 00:00:00+00:00,9.1,A,09196500,39.0,A
1992-10-07 00:00:00+00:00,7.7,A,09196500,38.0,A
1992-10-08 00:00:00+00:00,7.4,A,09196500,37.0,A
1992-10-09 00:00:00+00:00,8.0,A,09196500,37.0,A
1992-10-10 00:00:00+00:00,7.9,A,09196500,36.0,A
1992-10-11 00:00:00+00:00,8.3,A,09196500,36.0,A
1992-10-12 00:00:00+00:00,8.3,A,09196500,35.0,A
1992-10-13 00:00:00+00:00,7.9,A,09196500,34.0,A
1992-10-14 00:00:00+00:00,7.2,A,09196500,33.0,A
1992-10-15 00:00:00+00:00,6.1,A,09196500,32.0,A
1992-10-16 00:00:00+00:00,6.0,A,09196500,31.0,A
1992-10-17 00:00:00+00:00,6.3,A,09196500,30.0,A
1992-10-18 00:00:00+00:00,6.4,A,09196500,30.0,A
1992-10-19 00:00:00+00:00,6.5,A,09196500,29.0,A
1992-10-20 00:00:00+00:00,6.6,A,09196500,28.0,A
1992-10-21 00:00:00+00:00,6.8,A,09196500,27.0,A
1992-10-22 00:00:00+00:00,7.0,A,09196500,26.0,A
1992-10-23 00:00:00+00:00,6.1,A,09196500,25.0,A
1992-10-24 00:00:00+00:00,6.3,A,09196500,24.0,A
1992-10-25 00:00:00+00:00,6.6,A,09196500,23.0,A
1992-10-26 00:00:00+00:00,6.5,A,09196500,22.0,A
1992-10-27 00:00:00+00:00,6.2,A,09196500,22.0,A
1992-10-28 00:00:00+00:00,5.9,A,09196500,21.0,A
1992-10-29 00:00:00+00:00,5.8,A,09196500,23.0,A
1992-10-30 00:00:00+00:00,5.0,A,09196500,26.0,A
1992-10-31 00:00:00+00:00,4.4,A,09196500,26.0,A
1992-11-01 00:00:00+00:00,3.9,A,09196500,26.0,A
1992-11-02 00:00:00+00:00,3.2,A,09196500,28.0,A
1992-11-03 00:00:00+00:00,2.3,A,09196500,29.0,A
1992-11-04 00:00:00+00:00,1.7,A,09196500,29.0,A
1992-11-05 00:00:00+00:00,2.1,A,09196500,30.0,A
1992-11-06 00:00:00+00:00,2.2,A,09196500,30.0,A
1992-11-07 00:00:00+00:00,2.9,A,09196500,30.0,A
1992-11-08 00:00:00+00:00,2.9,A,09196500,31.0,A
1992-11-09 00:00:00+00:00,2.2,A,09196500,32.0,A
1992-11-10 00:00:00+00:00,1.4,A,09196500,32.0,A
1992-11-11 00:00:00+00:00,1.3,A,09196500,32.0,A
1992-11-12 00:00:00+00:00,1.4,A,09196500,31.0,A
1992-11-13 00:00:00+00:00,1.7,A,09196500,31.0,A
1992-11-14 00:00:00+00:00,2.2,A,09196500,30.0,A
1992-11-15 00:00:00+00:00,2.2,A,09196500,30.0,A
1992-11-16 00:00:00+00:00,2.1,A,09196500,30.0,A
1992-11-17 00:00:00+00:00,2.2,A,09196500,29.0,A
1992-11-18 00:00:00+00:00,2.1,A,09196500,29.0,A
1992-11-19 00:00:00+00:00,1.3,A,09196500,28.0,A
1992-11-20 00:00:00+00:00,1.1,A,09196500,27.0,A
