datetime,00060_Mean,00060_Mean_cd,site_no
1996-10-01 00:00:00+00:00,618.0,A,12459000
1996-10-02 00:00:00+00:00,603.0,A,12459000
1996-10-03 00:00:00+00:00,597.0,A,12459000
1996-10-04 00:00:00+00:00,587.0,A,12459000
1996-10-05 00:00:00+00:00,660.0,A,12459000
1996-10-06 00:00:00+00:00,777.0,A,12459000
1996-10-07 00:00:00+00:00,727.0,A,12459000
1996-10-08 00:00:00+00:00,691.0,A,12459000
1996-10-09 00:00:00+00:00,667.0,A,12459000
1996-10-10 00:00:00+00:00,651.0,A,12459000
1996-10-11 00:00:00+00:00,642.0,A,12459000
1996-10-12 00:00:00+00:00,644.0,A,12459000
1996-10-13 00:00:00+00:00,667.0,A,12459000
1996-10-14 00:00:00+00:00,714.0,A,12459000
1996-10-15 00:00:00+00:00,1020.0,A,12459000
1996-10-16 00:00:00+00:00,1110.0,A,12459000
1996-10-17 00:00:00+00:00,1000.0,A,12459000
1996-10-18 00:00:00+00:00,989.0,A,12459000
1996-10-19 00:00:00+00:00,946.0,A,12459000
1996-10-20 00:00:00+00:00,863.0,A,12459000
1996-10-21 00:00:00+00:00,805.0,A,12459000
1996-10-22 00:00:00+00:00,843.0,A,12459000
1996-10-23 00:00:00+00:00,913.0,A,12459000
1996-10-24 00:00:00+00:00,996.0,A,12459000
1996-10-25 00:00:00+00:00,1020.0,A,12459000
1996-10-26 00:00:00+00:00,945.0,A,12459000
1996-10-27 00:00:00+00:00,872.0,A,12459000
1996-10-28 00:00:00+00:00,950.0,A,12459000
1996-10-29 00:00:00+00:00,1850.0,A,12459000
1996-10-30 00:00:00+00:00,1820.0,A,12459000
1996-10-31 00:00:00+00:00,1630.0,A,12459000
1996-11-01 00:00:00+00:00,1470.0,A,12459000
1996-11-02 00:00:00+00:00,1360.0,A,12459000
1996-11-03 00:00:00+00:00,1300.0,A,12459000
1996-11-04 00:00:00+00:00,1270.0,A,12459000
1996-11-05 00:00:00+00:00,1230.0,A,12459000
1996-11-06 00:00:00+00:00,1210.0,A,12459000
1996-11-07 00:00:00+00:00,1250.0,A,12459000
1996-11-08 00:00:00+00:00,1280.0,A,12459000
1996-11-09 00:00:00+00:00,1820.0,A,12459000
1996-11-10 00:00:00+00:00,1940.0,A,12459000
1996-11-11 00:00:00+00:00,1960.0,A,12459000
1996-11-12 00:00:00+00:00,1950.0,A,12459000
1996-11-13 00:00:00+00:00,2450.0,A,12459000
1996-11-14 00:00:00+00:00,2850.0,A,12459000
1996-11-15 00:00:00+00:00,2570.0,A,12459000
1996-11-16 00:00:00+00:00,2310.0,A,12459000
1996-11-17 00:00:00+00:00,2130.0,A,12459000
1996-11-18 00:00:00+00:00,1950.0,A,12459000
1996-11-19 00:00:00+00:00,1830.0,A,12459000
1996-11-20 00:00:00+00:00,1710.0,A,12459000
1996-11-21 00:00:00+00:00,1590.0,A,12459000
1996-11-22 00:00:00+00:00,1460.0,A,12459000
1996-11-23 00:00:00+00:00,1310.0,A,12459000
1996-11-24 00:00:00+00:00,1290.0,A,12459000
1996-11-25 00:00:00+00:00,1270.0,A,12459000
1996-11-26 00:00:00+00:00,1220.0,A,12459000
1996-11-27 00:00:00+00:00,1230.0,A,12459000
1996-11-28 00:00:00+00:00,1990.0,A,12459000
1996-11-29 00:00:00+00:00,1770.0,A,12459000
1996-11-30 00:00:00+00:00,1610.0,A,12459000
1996-12-01 00:00:00+00:00,1560.0,A,12459000
1996-12-02 00:00:00+00:00,1460.0,A,12459000
1996-12-03 00:00:00+00:00,1380.0,A,12459000
1996-12-04 00:00:00+00:00,1240.0,A,12459000
1996-12-05 00:00:00+00:00,1230.0,A,12459000
1996-12-06 00:00:00+00:00,1260.0,A,12459000
1996-12-07 00:00:00+00:00,1260.0,A,12459000
1996-12-08 00:00:00+00:00,1230.0,A,12459000
1996-12-09 00:00:00+00:00,1200.0,A,12459000
1996-12-10 00:00:00+00:00,1190.0,A,12459000
1996-12-11 00:00:00+00:00,1150.0,A,12459000
1996-12-12 00:00:00+00:00,1100.0,A,12459000
1996-12-13 00:00:00+00:00,1080.0,A,12459000
1996-12-14 00:00:00+00:00,1040.0,A,12459000
1996-12-15 00:00:00+00:00,1000.0,A,12459000
1996-12-16 00:00:00+00:00,977.0,A,12459000
1996-12-17 00:00:00+00:00,888.0,A,12459000
1996-12-18 00:00:00+00:00,810.0,"A, e",12459000
1996-12-19 00:00:00+00:00,800.0,"A, e",12459000
1996-12-20 00:00:00+00:00,920.0,"A, e",12459000
1996-12-21 00:00:00+00:00,900.0,"A, e",12459000
1996-12-22 00:00:00+00:00,858.0,A,12459000
1996-12-23 00:00:00+00:00,857.0,A,12459000
1996-12-24 00:00:00+00:00,840.0,"A, e",12459000
1996-12-25 00:00:00+00:00,830.0,"A, e",12459000
1996-12-26 00:00:00+00:00,800.0,"A, e",12459000
1996-12-27 00:00:00+00:00,780.0,"A, e",12459000
1996-12-28 00:00:00+00:00,720.0,"A, e",12459000
1996-12-29 00:00:00+00:00,620.0,"A, e",12459000
1996-12-30 00:00:00+00:00,680.0,"A, e",12459000
1996-12-31 00:00:00+00:00,900.0,"A, e",12459000
1997-01-01 00:00:00+00:00,1300.0,"A, e",12459000
1997-01-02 00:00:00+00:00,1750.0,"A, e",12459000
1997-01-03 00:00:00+00:00,2020.0,"A, e",12459000
1997-01-04 00:00:00+00:00,1840.0,"A, e",12459000
1997-01-05 00:00:00+00:00,1660.0,"A, e",12459000
1997-01-06 00:00:00+00:00,1600.0,A,12459000
1997-01-07 00:00:00+00:00,1610.0,A,12459000
1997-01-08 00:00:00+00:00,1700.0,A,12459000
1997-01-09 00:00:00+00:00,1690.0,A,12459000
1997-01-10 00:00:00+00:00,1690.0,A,12459000
1997-01-11 00:00:00+00:00,1690.0,A,12459000
1997-01-12 00:00:00+00:00,1570.0,A,12459000
1997-01-13 00:00:00+00:00,1320.0,"A, e",12459000
1997-01-14 00:00:00+00:00,1270.0,"A, e",12459000
1997-01-15 00:00:00+00:00,1200.0,"A, e",12459000
1997-01-16 00:00:00+00:00,1130.0,"A, e",12459000
1997-01-17 00:00:00+00:00,1180.0,"A, e",12459000
1997-01-18 00:00:00+00:00,1250.0,"A, e",12459000
1997-01-19 00:00:00+00:00,1310.0,A,12459000
1997-01-20 00:00:00+00:00,1400.0,A,12459000
1997-01-21 00:00:00+00:00,1480.0,A,12459000
1997-01-22 00:00:00+00:00,1430.0,A,12459000
1997-01-23 00:00:00+00:00,1370.0,A,12459000
1997-01-24 00:00:00+00:00,1350.0,A,12459000
1997-01-25 00:00:00+00:00,1260.0,A,12459000
1997-01-26 00:00:00+00:00,1180.0,A,12459000
1997-01-27 00:00:00+00:00,1100.0,"A, e",12459000
1997-01-28 00:00:00+00:00,1150.0,"A, e",12459000
1997-01-29 00:00:00+00:00,1180.0,A,12459000
1997-01-30 00:00:00+00:00,1480.0,A,12459000
1997-01-31 00:00:00+00:00,2680.0,A,12459000
