datetime,00060_Mean,00060_Mean_cd,site_no
1998-10-01 00:00:00+00:00,1030.0,A,06186500
1998-10-02 00:00:00+00:00,1030.0,A,06186500
1998-10-03 00:00:00+00:00,1010.0,A,06186500
1998-10-04 00:00:00+00:00,981.0,A,06186500
1998-10-05 00:00:00+00:00,965.0,A,06186500
1998-10-06 00:00:00+00:00,945.0,A,06186500
1998-10-07 00:00:00+00:00,949.0,A,06186500
1998-10-08 00:00:00+00:00,940.0,A,06186500
1998-10-09 00:00:00+00:00,927.0,A,06186500
1998-10-10 00:00:00+00:00,908.0,A,06186500
1998-10-11 00:00:00+00:00,891.0,A,06186500
1998-10-12 00:00:00+00:00,879.0,A,06186500
1998-10-13 00:00:00+00:00,870.0,A,06186500
1998-10-14 00:00:00+00:00,862.0,A,06186500
1998-10-15 00:00:00+00:00,843.0,A,06186500
1998-10-16 00:00:00+00:00,821.0,A,06186500
1998-10-17 00:00:00+00:00,824.0,A,06186500
1998-10-18 00:00:00+00:00,811.0,A,06186500
1998-10-19 00:00:00+00:00,805.0,A,06186500
1998-10-20 00:00:00+00:00,793.0,A,06186500
1998-10-21 00:00:00+00:00,791.0,A,06186500
1998-10-22 00:00:00+00:00,780.0,A,06186500
1998-10-23 00:00:00+00:00,783.0,A,06186500
1998-10-24 00:00:00+00:00,776.0,A,06186500
1998-10-25 00:00:00+00:00,771.0,A,06186500
1998-10-26 00:00:00+00:00,769.0,A,06186500
1998-10-27 00:00:00+00:00,764.0,A,06186500
1998-10-28 00:00:00+00:00,758.0,A,06186500
1998-10-29 00:00:00+00:00,748.0,A,06186500
1998-10-30 00:00:00+00:00,744.0,A,06186500
1998-10-31 00:00:00+00:00,735.0,A,06186500
1998-11-01 00:00:00+00:00,730.0,A,06186500
1998-11-02 00:00:00+00:00,729.0,A,06186500
1998-11-03 00:00:00+00:00,733.0,A,06186500
1998-11-04 00:00:00+00:00,731.0,A,06186500
1998-11-05 00:00:00+00:00,726.0,A,06186500
1998-11-06 00:00:00+00:00,724.0,A,06186500
1998-11-07 00:00:00+00:00,715.0,A,06186500
