datetime,00060_Mean,00060_Mean_cd,site_no
2000-10-01 00:00:00+00:00,245.0,A,08220000
2000-10-02 00:00:00+00:00,234.0,A,08220000
2000-10-03 00:00:00+00:00,229.0,A,08220000
2000-10-04 00:00:00+00:00,233.0,A,08220000
2000-10-05 00:00:00+00:00,260.0,A,08220000
2000-10-06 00:00:00+00:00,255.0,A,08220000
2000-10-07 00:00:00+00:00,238.0,A,08220000
2000-10-08 00:00:00+00:00,246.0,A,08220000
2000-10-09 00:00:00+00:00,278.0,A,08220000
2000-10-10 00:00:00+00:00,268.0,A,08220000
2000-10-11 00:00:00+00:00,287.0,A,08220000
2000-10-12 00:00:00+00:00,449.0,A,08220000
2000-10-13 00:00:00+00:00,462.0,A,08220000
2000-10-14 00:00:00+00:00,400.0,A,08220000
2000-10-15 00:00:00+00:00,358.0,A,08220000
2000-10-16 00:00:00+00:00,336.0,A,08220000
2000-10-17 00:00:00+00:00,335.0,A,08220000
2000-10-18 00:00:00+00:00,320.0,A,08220000
2000-10-19 00:00:00+00:00,317.0,A,08220000
2000-10-20 00:00:00+00:00,320.0,A,08220000
2000-10-21 00:00:00+00:00,300.0,A,08220000
2000-10-22 00:00:00+00:00,295.0,A,08220000
2000-10-23 00:00:00+00:00,318.0,A,08220000
2000-10-24 00:00:00+00:00,413.0,A,08220000
2000-10-25 00:00:00+00:00,414.0,A,08220000
2000-10-26 00:00:00+00:00,365.0,A,08220000
2000-10-27 00:00:00+00:00,351.0,A,08220000
2000-10-28 00:00:00+00:00,429.0,A,08220000
2000-10-29 00:00:00+00:00,452.0,A,08220000
2000-10-30 00:00:00+00:00,413.0,A,08220000
2000-10-31 00:00:00+00:00,421.0,A,08220000
2000-11-01 00:00:00+00:00,356.0,A,08220000
2000-11-02 00:00:00+00:00,261.0,A,08220000
2000-11-03 00:00:00+00:00,236.0,A,08220000
2000-11-04 00:00:00+00:00,246.0,A,08220000
2000-11-05 00:00:00+00:00,234.0,A,08220000
2000-11-06 00:00:00+00:00,205.0,A,08220000
2000-11-07 00:00:00+00:00,167.0,A,08220000
2000-11-08 00:00:00+00:00,155.0,"A, e",08220000
2000-11-09 00:00:00+00:00,191.0,A,08220000
2000-11-10 00:00:00+00:00,214.0,A,08220000
2000-11-11 00:00:00+00:00,227.0,A,08220000
2000-11-12 00:00:00+00:00,175.0,"A, e",08220000
2000-11-13 00:00:00+00:00,170.0,"A, e",08220000
2000-11-14 00:00:00+00:00,180.0,"A, e",08220000
2000-11-15 00:00:00+00:00,200.0,"A, e",08220000
