datetime,00060_Mean,00060_Mean_cd,site_no
2001-10-01 00:00:00+00:00,200.0,A,09205000
2001-10-02 00:00:00+00:00,202.0,A,09205000
2001-10-03 00:00:00+00:00,199.0,A,09205000
2001-10-04 00:00:00+00:00,199.0,A,09205000
2001-10-05 00:00:00+00:00,199.0,A,09205000
2001-10-06 00:00:00+00:00,201.0,A,09205000
2001-10-07 00:00:00+00:00,207.0,A,09205000
2001-10-08 00:00:00+00:00,207.0,A,09205000
2001-10-09 00:00:00+00:00,207.0,A,09205000
2001-10-10 00:00:00+00:00,205.0,A,09205000
2001-10-11 00:00:00+00:00,196.0,A,09205000
2001-10-12 00:00:00+00:00,197.0,A,09205000
2001-10-13 00:00:00+00:00,202.0,A,09205000
2001-10-14 00:00:00+00:00,206.0,A,09205000
2001-10-15 00:00:00+00:00,225.0,A,09205000
2001-10-16 00:00:00+00:00,227.0,A,09205000
2001-10-17 00:00:00+00:00,227.0,A,09205000
2001-10-18 00:00:00+00:00,227.0,A,09205000
2001-10-19 00:00:00+00:00,219.0,A,09205000
2001-10-20 00:00:00+00:00,219.0,A,09205000
2001-10-21 00:00:00+00:00,227.0,A,09205000
2001-10-22 00:00:00+00:00,236.0,A,09205000
2001-10-23 00:00:00+00:00,237.0,A,09205000
2001-10-24 00:00:00+00:00,245.0,A,09205000
2001-10-25 00:00:00+00:00,241.0,A,09205000
2001-10-26 00:00:00+00:00,237.0,A,09205000
2001-10-27 00:00:00+00:00,242.0,A,09205000
2001-10-28 00:00:00+00:00,241.0,A,09205000
2001-10-29 00:00:00+00:00,245.0,A,09205000
2001-10-30 00:00:00+00:00,246.0,A,09205000
2001-10-31 00:00:00+00:00,255.0,A,09205000
2001-11-01 00:00:00+00:00,260.0,A,09205000
2001-11-02 00:00:00+00:00,256.0,A,09205000
2001-11-03 00:00:00+00:00,246.0,A,09205000
2001-11-04 00:00:00+00:00,242.0,A,09205000
2001-11-05 00:00:00+00:00,237.0,A,09205000
2001-11-06 00:00:00+00:00,236.0,A,09205000
2001-11-07 00:00:00+00:00,248.0,A,09205000
2001-11-08 00:00:00+00:00,261.0,A,09205000
2001-11-09 00:00:00+00:00,245.0,A,09205000
2001-11-10 00:00:00+00:00,235.0,A,09205000
2001-11-11 00:00:00+00:00,225.0,A,09205000
2001-11-12 00:00:00+00:00,227.0,A,09205000
2001-11-13 00:00:00+00:00,227.0,A,09205000
2001-11-14 00:00:00+00:00,226.0,A,09205000
2001-11-15 00:00:00+00:00,223.0,A,09205000
2001-11-16 00:00:00+00:00,223.0,A,09205000
2001-11-17 00:00:00+00:00,223.0,A,09205000
2001-11-18 00:00:00+00:00,223.0,A,09205000
2001-11-19 00:00:00+00:00,223.0,A,09205000
2001-11-20 00:00:00+00:00,212.0,A,09205000
2001-11-21 00:00:00+00:00,218.0,A,09205000
