datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2001-10-01 00:00:00+00:00,11.0,A,12334510,161.0,A
2001-10-02 00:00:00+00:00,11.0,A,12334510,162.0,A
2001-10-03 00:00:00+00:00,10.5,A,12334510,162.0,A
2001-10-04 00:00:00+00:00,8.5,A,12334510,166.0,A
2001-10-05 00:00:00+00:00,7.0,A,12334510,168.0,A
2001-10-06 00:00:00+00:00,7.0,A,12334510,170.0,A
2001-10-07 00:00:00+00:00,8.0,A,12334510,168.0,A
2001-10-08 00:00:00+00:00,9.0,A,12334510,168.0,A
2001-10-09 00:00:00+00:00,8.0,A,12334510,169.0,A
2001-10-10 00:00:00+00:00,7.5,A,12334510,168.0,A
2001-10-11 00:00:00+00:00,8.5,A,12334510,178.0,A
2001-10-12 00:00:00+00:00,7.0,A,12334510,187.0,A
2001-10-13 00:00:00+00:00,8.0,A,12334510,196.0,A
2001-10-14 00:00:00+00:00,7.5,A,12334510,212.0,A
2001-10-15 00:00:00+00:00,8.0,A,12334510,217.0,A
2001-10-16 00:00:00+00:00,7.5,A,12334510,206.0,A
2001-10-17 00:00:00+00:00,7.5,A,12334510,195.0,A
2001-10-18 00:00:00+00:00,6.0,A,12334510,192.0,A
2001-10-19 00:00:00+00:00,6.5,A,12334510,201.0,A
2001-10-20 00:00:00+00:00,7.0,A,12334510,213.0,A
2001-10-21 00:00:00+00:00,6.5,A,12334510,215.0,A
2001-10-22 00:00:00+00:00,7.0,A,12334510,208.0,A
2001-10-23 00:00:00+00:00,6.5,A,12334510,220.0,A
2001-10-24 00:00:00+00:00,5.0,A,12334510,228.0,A
2001-10-25 00:00:00+00:00,5.0,A,12334510,219.0,A
2001-10-26 00:00:00+00:00,5.0,A,12334510,208.0,A
2001-10-27 00:00:00+00:00,5.5,A,12334510,201.0,A
2001-10-28 00:00:00+00:00,7.0,A,12334510,209.0,A
2001-10-29 00:00:00+00:00,7.5,A,12334510,221.0,A
2001-10-30 00:00:00+00:00,8.0,A,12334510,230.0,A
2001-10-31 00:00:00+00:00,8.0,A,12334510,240.0,A
2001-11-01 00:00:00+00:00,7.0,A,12334510,263.0,A
2001-11-02 00:00:00+00:00,7.0,A,12334510,254.0,A
2001-11-03 00:00:00+00:00,6.5,A,12334510,237.0,A
2001-11-04 00:00:00+00:00,5.5,A,12334510,230.0,A
2001-11-05 00:00:00+00:00,5.0,A,12334510,223.0,A
2001-11-06 00:00:00+00:00,5.5,A,12334510,218.0,A
2001-11-07 00:00:00+00:00,5.0,A,12334510,215.0,A
2001-11-08 00:00:00+00:00,3.0,A,12334510,205.0,A
2001-11-09 00:00:00+00:00,2.5,A,12334510,189.0,A
2001-11-10 00:00:00+00:00,2.0,A,12334510,189.0,A
2001-11-11 00:00:00+00:00,2.0,A,12334510,185.0,A
2001-11-12 00:00:00+00:00,2.5,A,12334510,187.0,A
2001-11-13 00:00:00+00:00,3.0,A,12334510,194.0,A
2001-11-14 00:00:00+00:00,4.0,A,12334510,194.0,A
2001-11-15 00:00:00+00:00,4.5,A,12334510,193.0,A
2001-11-16 00:00:00+00:00,4.5,A,12334510,190.0,A
2001-11-17 00:00:00+00:00,4.5,A,12334510,189.0,A
2001-11-18 00:00:00+00:00,4.5,A,12334510,194.0,A
2001-11-19 00:00:00+00:00,3.5,A,12334510,195.0,A
2001-11-20 00:00:00+00:00,4.0,A,12334510,190.0,A
2001-11-21 00:00:00+00:00,5.0,A,12334510,192.0,A
2001-11-22 00:00:00+00:00,4.5,A,12334510,193.0,A
2001-11-23 00:00:00+00:00,4.5,A,12334510,193.0,A
2001-11-24 00:00:00+00:00,3.5,A,12334510,189.0,A
2001-11-25 00:00:00+00:00,3.0,A,12334510,181.0,A
2001-11-26 00:00:00+00:00,2.5,A,12334510,182.0,A
2001-11-27 00:00:00+00:00,2.0,A,12334510,171.0,A
2001-11-28 00:00:00+00:00,0.5,A,12334510,147.0,A
2001-11-29 00:00:00+00:00,1.0,A,12334510,143.0,A
2001-11-30 00:00:00+00:00,1.5,A,12334510,175.0,A
2001-12-01 00:00:00+00:00,1.0,A,12334510,163.0,A
2001-12-02 00:00:00+00:00,1.5,A,12334510,166.0,A
2001-12-03 00:00:00+00:00,2.0,A,12334510,177.0,A
2001-12-04 00:00:00+00:00,1.0,A,12334510,165.0,A
2001-12-05 00:00:00+00:00,0.5,A,12334510,147.0,A
2001-12-06 00:00:00+00:00,0.5,A,12334510,151.0,A
2001-12-07 00:00:00+00:00,1.0,A,12334510,164.0,A
2001-12-08 00:00:00+00:00,1.0,A,12334510,159.0,A
2001-12-09 00:00:00+00:00,0.5,A,12334510,153.0,A
2001-12-10 00:00:00+00:00,0.5,A,12334510,145.0,A
2001-12-11 00:00:00+00:00,0.5,A,12334510,133.0,A
2001-12-12 00:00:00+00:00,0.5,A,12334510,130.0,A
2001-12-13 00:00:00+00:00,1.0,A,12334510,142.0,A
2001-12-14 00:00:00+00:00,1.0,A,12334510,187.0,A
2001-12-15 00:00:00+00:00,0.5,A,12334510,154.0,A
2001-12-16 00:00:00+00:00,0.5,A,12334510,139.0,A
2001-12-17 00:00:00+00:00,1.0,A,12334510,173.0,A
2001-12-18 00:00:00+00:00,0.5,A,12334510,142.0,A
2001-12-19 00:00:00+00:00,0.5,A,12334510,140.0,A
2001-12-20 00:00:00+00:00,0.5,A,12334510,145.0,A
2001-12-21 00:00:00+00:00,0.5,A,12334510,153.0,A
2001-12-22 00:00:00+00:00,1.0,A,12334510,160.0,A
2001-12-23 00:00:00+00:00,0.5,A,12334510,143.0,A
2001-12-24 00:00:00+00:00,0.0,A,12334510,100.0,"A, e"
2001-12-25 00:00:00+00:00,0.0,A,12334510,95.0,"A, e"
2001-12-26 00:00:00+00:00,0.0,A,12334510,90.0,"A, e"
2001-12-27 00:00:00+00:00,0.0,A,12334510,90.0,"A, e"
2001-12-28 00:00:00+00:00,0.5,A,12334510,95.0,"A, e"
2001-12-29 00:00:00+00:00,0.5,A,12334510,100.0,"A, e"
2001-12-30 00:00:00+00:00,0.5,A,12334510,120.0,"A, e"
2001-12-31 00:00:00+00:00,0.5,A,12334510,140.0,"A, e"
2002-01-01 00:00:00+00:00,0.5,A,12334510,130.0,"A, e"
2002-01-02 00:00:00+00:00,0.0,A,12334510,120.0,"A, e"
2002-01-03 00:00:00+00:00,0.5,A,12334510,132.0,A
2002-01-04 00:00:00+00:00,0.5,A,12334510,162.0,A
2002-01-05 00:00:00+00:00,0.5,A,12334510,165.0,A
2002-01-06 00:00:00+00:00,1.0,A,12334510,166.0,A
2002-01-07 00:00:00+00:00,1.0,A,12334510,178.0,A
2002-01-08 00:00:00+00:00,1.5,A,12334510,202.0,A
2002-01-09 00:00:00+00:00,1.0,A,12334510,201.0,A
2002-01-10 00:00:00+00:00,1.0,A,12334510,171.0,A
2002-01-11 00:00:00+00:00,1.5,A,12334510,161.0,A
2002-01-12 00:00:00+00:00,1.0,A,12334510,170.0,A
2002-01-13 00:00:00+00:00,1.0,A,12334510,168.0,A
2002-01-14 00:00:00+00:00,1.0,A,12334510,153.0,A
