datetime,00060_Mean,00060_Mean_cd,site_no
2002-10-01 00:00:00+00:00,7.02,A,06632400
2002-10-02 00:00:00+00:00,7.68,A,06632400
2002-10-03 00:00:00+00:00,10.8,A,06632400
2002-10-04 00:00:00+00:00,10.9,A,06632400
2002-10-05 00:00:00+00:00,10.8,A,06632400
2002-10-06 00:00:00+00:00,10.7,A,06632400
2002-10-07 00:00:00+00:00,10.7,A,06632400
2002-10-08 00:00:00+00:00,11.1,A,06632400
2002-10-09 00:00:00+00:00,10.8,A,06632400
2002-10-10 00:00:00+00:00,9.8,A,06632400
2002-10-11 00:00:00+00:00,9.43,A,06632400
2002-10-12 00:00:00+00:00,8.76,A,06632400
2002-10-13 00:00:00+00:00,7.06,A,06632400
2002-10-14 00:00:00+00:00,8.57,A,06632400
2002-10-15 00:00:00+00:00,7.67,A,06632400
2002-10-16 00:00:00+00:00,8.37,A,06632400
2002-10-17 00:00:00+00:00,7.61,A,06632400
2002-10-18 00:00:00+00:00,7.71,A,06632400
2002-10-19 00:00:00+00:00,6.86,A,06632400
2002-10-20 00:00:00+00:00,6.99,A,06632400
2002-10-21 00:00:00+00:00,7.16,A,06632400
2002-10-22 00:00:00+00:00,6.69,A,06632400
2002-10-23 00:00:00+00:00,9.53,A,06632400
2002-10-24 00:00:00+00:00,9.28,A,06632400
2002-10-25 00:00:00+00:00,9.36,A,06632400
2002-10-26 00:00:00+00:00,7.68,A,06632400
2002-10-27 00:00:00+00:00,10.2,A,06632400
2002-10-28 00:00:00+00:00,7.81,A,06632400
2002-10-29 00:00:00+00:00,9.64,"A, e",06632400
2002-10-30 00:00:00+00:00,8.23,"A, e",06632400
2002-10-31 00:00:00+00:00,7.44,"A, e",06632400
2002-11-01 00:00:00+00:00,7.23,"A, e",06632400
2002-11-02 00:00:00+00:00,7.23,"A, e",06632400
2002-11-03 00:00:00+00:00,7.4,"A, e",06632400
2002-11-04 00:00:00+00:00,7.6,"A, e",06632400
2002-11-05 00:00:00+00:00,8.2,"A, e",06632400
2002-11-06 00:00:00+00:00,8.55,A,06632400
2002-11-07 00:00:00+00:00,8.4,A,06632400
2002-11-08 00:00:00+00:00,8.43,A,06632400
2002-11-09 00:00:00+00:00,8.67,A,06632400
2002-11-10 00:00:00+00:00,8.23,"A, e",06632400
2002-11-11 00:00:00+00:00,8.0,"A, e",06632400
2002-11-12 00:00:00+00:00,7.33,"A, e",06632400
2002-11-13 00:00:00+00:00,8.68,A,06632400
2002-11-14 00:00:00+00:00,8.47,A,06632400
2002-11-15 00:00:00+00:00,7.54,A,06632400
