datetime,00060_Mean,00060_Mean_cd,site_no,00095_Mean,00095_Mean_cd,90856_Mean,90856_Mean_cd
2002-10-01 00:00:00+00:00,136.0,A,06306300,708.0,A,0.89,A
2002-10-02 00:00:00+00:00,149.0,A,06306300,708.0,A,0.89,A
2002-10-03 00:00:00+00:00,156.0,A,06306300,686.0,A,0.85,A
2002-10-04 00:00:00+00:00,153.0,A,06306300,695.0,A,0.86,A
2002-10-05 00:00:00+00:00,157.0,A,06306300,681.0,A,0.84,A
2002-10-06 00:00:00+00:00,162.0,A,06306300,684.0,A,0.85,A
2002-10-07 00:00:00+00:00,162.0,A,06306300,682.0,A,0.84,A
2002-10-08 00:00:00+00:00,159.0,A,06306300,685.0,A,0.85,A
2002-10-09 00:00:00+00:00,160.0,A,06306300,682.0,A,0.84,A
2002-10-10 00:00:00+00:00,163.0,A,06306300,693.0,A,0.86,A
2002-10-11 00:00:00+00:00,156.0,A,06306300,708.0,A,0.89,A
2002-10-12 00:00:00+00:00,159.0,A,06306300,719.0,A,0.91,A
2002-10-13 00:00:00+00:00,155.0,A,06306300,744.0,A,0.95,A
2002-10-14 00:00:00+00:00,147.0,A,06306300,744.0,A,0.95,A
2002-10-15 00:00:00+00:00,146.0,A,06306300,737.0,A,0.94,A
2002-10-16 00:00:00+00:00,143.0,A,06306300,756.0,A,0.97,A
2002-10-17 00:00:00+00:00,143.0,A,06306300,758.0,A,0.98,A
2002-10-18 00:00:00+00:00,143.0,A,06306300,751.0,A,0.96,A
2002-10-19 00:00:00+00:00,136.0,A,06306300,755.0,A,0.97,A
2002-10-20 00:00:00+00:00,138.0,A,06306300,756.0,A,0.97,A
2002-10-21 00:00:00+00:00,140.0,A,06306300,762.0,A,0.98,A
2002-10-22 00:00:00+00:00,147.0,A,06306300,746.0,A,0.95,A
2002-10-23 00:00:00+00:00,161.0,A,06306300,729.0,A,0.92,A
2002-10-24 00:00:00+00:00,149.0,A,06306300,732.0,A,0.93,A
2002-10-25 00:00:00+00:00,143.0,A,06306300,739.0,A,0.94,A
2002-10-26 00:00:00+00:00,144.0,A,06306300,750.0,A,0.96,A
2002-10-27 00:00:00+00:00,142.0,A,06306300,755.0,A,0.97,A
2002-10-28 00:00:00+00:00,139.0,A,06306300,779.0,A,1.02,A
2002-10-29 00:00:00+00:00,140.0,"A, e",06306300,796.0,A,1.05,A
2002-10-30 00:00:00+00:00,130.0,"A, e",06306300,787.0,A,1.03,A
2002-10-31 00:00:00+00:00,120.0,"A, e",06306300,785.0,A,1.03,A
2002-11-01 00:00:00+00:00,120.0,"A, e",06306300,799.0,A,1.06,A
2002-11-02 00:00:00+00:00,120.0,"A, e",06306300,852.0,A,1.17,A
2002-11-03 00:00:00+00:00,120.0,"A, e",06306300,881.0,A,1.24,A
2002-11-04 00:00:00+00:00,130.0,"A, e",06306300,873.0,A,1.22,A
2002-11-05 00:00:00+00:00,140.0,"A, e",06306300,853.0,A,1.17,A
2002-11-06 00:00:00+00:00,148.0,A,06306300,837.0,A,1.14,A
2002-11-07 00:00:00+00:00,150.0,A,06306300,812.0,A,1.08,A
2002-11-08 00:00:00+00:00,149.0,A,06306300,785.0,A,1.03,A
2002-11-09 00:00:00+00:00,149.0,A,06306300,775.0,A,1.01,A
2002-11-10 00:00:00+00:00,150.0,A,06306300,764.0,A,0.99,A
2002-11-11 00:00:00+00:00,147.0,A,06306300,759.0,A,0.98,A
2002-11-12 00:00:00+00:00,144.0,A,06306300,748.0,A,0.96,A
2002-11-13 00:00:00+00:00,140.0,A,06306300,742.0,A,0.95,A
2002-11-14 00:00:00+00:00,138.0,A,06306300,762.0,A,0.98,A
2002-11-15 00:00:00+00:00,140.0,A,06306300,757.0,A,0.97,A
2002-11-16 00:00:00+00:00,144.0,A,06306300,750.0,A,0.96,A
2002-11-17 00:00:00+00:00,140.0,A,06306300,766.0,A,0.99,A
2002-11-18 00:00:00+00:00,143.0,A,06306300,752.0,A,0.97,A
2002-11-19 00:00:00+00:00,142.0,A,06306300,752.0,A,0.97,A
2002-11-20 00:00:00+00:00,141.0,A,06306300,750.0,A,0.96,A
2002-11-21 00:00:00+00:00,140.0,A,06306300,,,,
2002-11-22 00:00:00+00:00,135.0,A,06306300,,,,
2002-11-23 00:00:00+00:00,137.0,A,06306300,,,,
2002-11-24 00:00:00+00:00,140.0,"A, e",06306300,,,,
2002-11-25 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-11-26 00:00:00+00:00,110.0,"A, e",06306300,,,,
2002-11-27 00:00:00+00:00,120.0,"A, e",06306300,,,,
2002-11-28 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-11-29 00:00:00+00:00,120.0,"A, e",06306300,,,,
2002-11-30 00:00:00+00:00,120.0,"A, e",06306300,,,,
2002-12-01 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-02 00:00:00+00:00,120.0,"A, e",06306300,,,,
2002-12-03 00:00:00+00:00,110.0,"A, e",06306300,,,,
2002-12-04 00:00:00+00:00,100.0,"A, e",06306300,,,,
2002-12-05 00:00:00+00:00,100.0,"A, e",06306300,,,,
2002-12-06 00:00:00+00:00,110.0,"A, e",06306300,,,,
2002-12-07 00:00:00+00:00,110.0,"A, e",06306300,,,,
2002-12-08 00:00:00+00:00,120.0,"A, e",06306300,,,,
2002-12-09 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-10 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-11 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-12 00:00:00+00:00,120.0,"A, e",06306300,,,,
2002-12-13 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-14 00:00:00+00:00,140.0,"A, e",06306300,,,,
2002-12-15 00:00:00+00:00,140.0,"A, e",06306300,,,,
2002-12-16 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-17 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-18 00:00:00+00:00,140.0,"A, e",06306300,,,,
2002-12-19 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-20 00:00:00+00:00,120.0,"A, e",06306300,,,,
2002-12-21 00:00:00+00:00,110.0,"A, e",06306300,,,,
2002-12-22 00:00:00+00:00,100.0,"A, e",06306300,,,,
2002-12-23 00:00:00+00:00,100.0,"A, e",06306300,,,,
2002-12-24 00:00:00+00:00,100.0,"A, e",06306300,,,,
2002-12-25 00:00:00+00:00,110.0,"A, e",06306300,,,,
2002-12-26 00:00:00+00:00,120.0,"A, e",06306300,,,,
2002-12-27 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-28 00:00:00+00:00,140.0,"A, e",06306300,,,,
2002-12-29 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-30 00:00:00+00:00,130.0,"A, e",06306300,,,,
2002-12-31 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-01-01 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-01-02 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-01-03 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-01-04 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-01-05 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-01-06 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-01-07 00:00:00+00:00,170.0,"A, e",06306300,,,,
2003-01-08 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-01-09 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-01-10 00:00:00+00:00,120.0,"A, e",06306300,,,,
2003-01-11 00:00:00+00:00,110.0,"A, e",06306300,,,,
2003-01-12 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-01-13 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-01-14 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-01-15 00:00:00+00:00,120.0,"A, e",06306300,,,,
2003-01-16 00:00:00+00:00,120.0,"A, e",06306300,,,,
2003-01-17 00:00:00+00:00,120.0,"A, e",06306300,,,,
2003-01-18 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-01-19 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-01-20 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-01-21 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-01-22 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-01-23 00:00:00+00:00,120.0,"A, e",06306300,,,,
2003-01-24 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-01-25 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-01-26 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-01-27 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-01-28 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-01-29 00:00:00+00:00,170.0,"A, e",06306300,,,,
2003-01-30 00:00:00+00:00,190.0,"A, e",06306300,,,,
2003-01-31 00:00:00+00:00,170.0,"A, e",06306300,,,,
2003-02-01 00:00:00+00:00,180.0,"A, e",06306300,,,,
2003-02-02 00:00:00+00:00,190.0,"A, e",06306300,,,,
2003-02-03 00:00:00+00:00,180.0,"A, e",06306300,,,,
2003-02-04 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-02-05 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-02-06 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-02-07 00:00:00+00:00,120.0,"A, e",06306300,,,,
2003-02-08 00:00:00+00:00,100.0,"A, e",06306300,,,,
2003-02-09 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-02-10 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-02-11 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-02-12 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-02-13 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-02-14 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-02-15 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-02-16 00:00:00+00:00,170.0,"A, e",06306300,,,,
2003-02-17 00:00:00+00:00,180.0,"A, e",06306300,,,,
2003-02-18 00:00:00+00:00,180.0,"A, e",06306300,,,,
2003-02-19 00:00:00+00:00,180.0,"A, e",06306300,,,,
2003-02-20 00:00:00+00:00,170.0,"A, e",06306300,,,,
2003-02-21 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-02-22 00:00:00+00:00,120.0,"A, e",06306300,,,,
2003-02-23 00:00:00+00:00,90.0,"A, e",06306300,,,,
2003-02-24 00:00:00+00:00,100.0,"A, e",06306300,,,,
2003-02-25 00:00:00+00:00,110.0,"A, e",06306300,,,,
2003-02-26 00:00:00+00:00,120.0,"A, e",06306300,,,,
2003-02-27 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-02-28 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-03-01 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-03-02 00:00:00+00:00,130.0,"A, e",06306300,,,,
2003-03-03 00:00:00+00:00,140.0,"A, e",06306300,,,,
2003-03-04 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-03-05 00:00:00+00:00,150.0,"A, e",06306300,,,,
2003-03-06 00:00:00+00:00,160.0,"A, e",06306300,,,,
2003-03-07 00:00:00+00:00,170.0,"A, e",06306300,,,,
2003-03-08 00:00:00+00:00,220.0,"A, e",06306300,,,,
2003-03-09 00:00:00+00:00,280.0,"A, e",06306300,,,,
2003-03-10 00:00:00+00:00,300.0,"A, e",06306300,,,,
2003-03-11 00:00:00+00:00,349.0,A,06306300,,,,
2003-03-12 00:00:00+00:00,464.0,A,06306300,,,,
2003-03-13 00:00:00+00:00,926.0,A,06306300,,,,
2003-03-14 00:00:00+00:00,1810.0,A,06306300,,,,
2003-03-15 00:00:00+00:00,1890.0,A,06306300,,,,
2003-03-16 00:00:00+00:00,1480.0,A,06306300,,,,
2003-03-17 00:00:00+00:00,615.0,A,06306300,,,,
2003-03-18 00:00:00+00:00,589.0,A,06306300,,,,
2003-03-19 00:00:00+00:00,464.0,A,06306300,,,,
2003-03-20 00:00:00+00:00,328.0,A,06306300,,,,
2003-03-21 00:00:00+00:00,312.0,A,06306300,,,,
2003-03-22 00:00:00+00:00,318.0,A,06306300,,,,
2003-03-23 00:00:00+00:00,321.0,A,06306300,,,,
2003-03-24 00:00:00+00:00,331.0,A,06306300,,,,
2003-03-25 00:00:00+00:00,294.0,A,06306300,,,,
2003-03-26 00:00:00+00:00,259.0,A,06306300,,,,
2003-03-27 00:00:00+00:00,252.0,A,06306300,,,,
2003-03-28 00:00:00+00:00,245.0,A,06306300,,,,
2003-03-29 00:00:00+00:00,231.0,A,06306300,,,,
2003-03-30 00:00:00+00:00,211.0,A,06306300,,,,
2003-03-31 00:00:00+00:00,213.0,A,06306300,,,,
2003-04-01 00:00:00+00:00,234.0,A,06306300,,,,
2003-04-02 00:00:00+00:00,252.0,A,06306300,,,,
2003-04-03 00:00:00+00:00,267.0,A,06306300,,,,
2003-04-04 00:00:00+00:00,267.0,A,06306300,,,,
2003-04-05 00:00:00+00:00,238.0,A,06306300,,,,
2003-04-06 00:00:00+00:00,215.0,A,06306300,,,,
2003-04-07 00:00:00+00:00,212.0,A,06306300,,,,
2003-04-08 00:00:00+00:00,205.0,A,06306300,,,,
2003-04-09 00:00:00+00:00,195.0,A,06306300,,,,
2003-04-10 00:00:00+00:00,192.0,A,06306300,,,,
2003-04-11 00:00:00+00:00,201.0,A,06306300,800.0,A,1.06,A
2003-04-12 00:00:00+00:00,227.0,A,06306300,756.0,A,0.97,A
2003-04-13 00:00:00+00:00,252.0,A,06306300,701.0,A,0.88,A
2003-04-14 00:00:00+00:00,297.0,A,06306300,618.0,A,0.75,A
2003-04-15 00:00:00+00:00,322.0,A,06306300,549.0,A,0.65,A
2003-04-16 00:00:00+00:00,361.0,A,06306300,513.0,A,0.61,A
2003-04-17 00:00:00+00:00,359.0,A,06306300,478.0,A,0.57,A
2003-04-18 00:00:00+00:00,337.0,A,06306300,481.0,A,0.57,A
2003-04-19 00:00:00+00:00,336.0,A,06306300,486.0,A,0.58,A
2003-04-20 00:00:00+00:00,336.0,A,06306300,492.0,A,0.59,A
2003-04-21 00:00:00+00:00,300.0,A,06306300,521.0,A,0.62,A
2003-04-22 00:00:00+00:00,292.0,A,06306300,534.0,A,0.64,A
2003-04-23 00:00:00+00:00,304.0,A,06306300,529.0,A,0.63,A
2003-04-24 00:00:00+00:00,330.0,A,06306300,503.0,A,0.6,A
2003-04-25 00:00:00+00:00,400.0,A,06306300,458.0,A,0.55,A
2003-04-26 00:00:00+00:00,451.0,A,06306300,443.0,A,0.54,A
2003-04-27 00:00:00+00:00,502.0,A,06306300,508.0,A,0.6,A
2003-04-28 00:00:00+00:00,465.0,A,06306300,495.0,A,0.59,A
2003-04-29 00:00:00+00:00,439.0,A,06306300,482.0,A,0.58,A
2003-04-30 00:00:00+00:00,420.0,A,06306300,475.0,A,0.57,A
2003-05-01 00:00:00+00:00,638.0,A,06306300,489.0,A,0.58,A
2003-05-02 00:00:00+00:00,687.0,A,06306300,524.0,A,0.62,A
2003-05-03 00:00:00+00:00,565.0,A,06306300,557.0,A,0.67,A
2003-05-04 00:00:00+00:00,530.0,A,06306300,560.0,A,0.67,A
2003-05-05 00:00:00+00:00,536.0,A,06306300,531.0,A,0.63,A
2003-05-06 00:00:00+00:00,491.0,A,06306300,487.0,A,0.58,A
2003-05-07 00:00:00+00:00,461.0,A,06306300,488.0,A,0.58,A
2003-05-08 00:00:00+00:00,461.0,A,06306300,478.0,A,0.57,A
2003-05-09 00:00:00+00:00,558.0,A,06306300,473.0,A,0.57,A
2003-05-10 00:00:00+00:00,536.0,A,06306300,515.0,A,0.61,A
2003-05-11 00:00:00+00:00,660.0,A,06306300,517.0,A,0.62,A
2003-05-12 00:00:00+00:00,579.0,A,06306300,574.0,A,0.69,A
2003-05-13 00:00:00+00:00,535.0,A,06306300,557.0,A,0.67,A
2003-05-14 00:00:00+00:00,550.0,A,06306300,501.0,A,0.6,A
2003-05-15 00:00:00+00:00,578.0,A,06306300,487.0,A,0.58,A
2003-05-16 00:00:00+00:00,642.0,A,06306300,502.0,A,0.6,A
2003-05-17 00:00:00+00:00,758.0,A,06306300,469.0,A,0.56,A
2003-05-18 00:00:00+00:00,908.0,A,06306300,419.0,A,0.51,A
2003-05-19 00:00:00+00:00,952.0,A,06306300,386.0,A,0.48,A
2003-05-20 00:00:00+00:00,877.0,A,06306300,374.0,A,0.47,A
2003-05-21 00:00:00+00:00,821.0,A,06306300,372.0,A,0.47,A
2003-05-22 00:00:00+00:00,779.0,A,06306300,369.0,A,0.46,A
2003-05-23 00:00:00+00:00,843.0,A,06306300,350.0,A,0.45,A
2003-05-24 00:00:00+00:00,1030.0,A,06306300,318.0,A,0.42,A
2003-05-25 00:00:00+00:00,1260.0,A,06306300,287.0,A,0.39,A
2003-05-26 00:00:00+00:00,1590.0,A,06306300,269.0,A,0.38,A
2003-05-27 00:00:00+00:00,1860.0,A,06306300,237.0,A,0.36,A
2003-05-28 00:00:00+00:00,2140.0,A,06306300,193.0,A,0.33,A
2003-05-29 00:00:00+00:00,2260.0,A,06306300,177.0,A,0.32,A
2003-05-30 00:00:00+00:00,2450.0,A,06306300,169.0,A,0.31,A
2003-05-31 00:00:00+00:00,2550.0,A,06306300,175.0,A,0.32,A
2003-06-01 00:00:00+00:00,2520.0,A,06306300,170.0,A,0.32,A
