datetime,00060_Mean,00060_Mean_cd,site_no
2004-10-01 00:00:00+00:00,8130.0,A,11377100
2004-10-02 00:00:00+00:00,7940.0,A,11377100
2004-10-03 00:00:00+00:00,7980.0,A,11377100
2004-10-04 00:00:00+00:00,7970.0,A,11377100
2004-10-05 00:00:00+00:00,7910.0,A,11377100
2004-10-06 00:00:00+00:00,7870.0,A,11377100
2004-10-07 00:00:00+00:00,7890.0,A,11377100
2004-10-08 00:00:00+00:00,7870.0,A,11377100
2004-10-09 00:00:00+00:00,8080.0,A,11377100
2004-10-10 00:00:00+00:00,8200.0,A,11377100
2004-10-11 00:00:00+00:00,8210.0,A,11377100
2004-10-12 00:00:00+00:00,8250.0,A,11377100
2004-10-13 00:00:00+00:00,8330.0,A,11377100
2004-10-14 00:00:00+00:00,8260.0,A,11377100
2004-10-15 00:00:00+00:00,8200.0,A,11377100
2004-10-16 00:00:00+00:00,8550.0,A,11377100
2004-10-17 00:00:00+00:00,8670.0,A,11377100
2004-10-18 00:00:00+00:00,8780.0,A,11377100
2004-10-19 00:00:00+00:00,8990.0,A,11377100
2004-10-20 00:00:00+00:00,9610.0,A,11377100
2004-10-21 00:00:00+00:00,8710.0,A,11377100
2004-10-22 00:00:00+00:00,8270.0,A,11377100
2004-10-23 00:00:00+00:00,8320.0,A,11377100
2004-10-24 00:00:00+00:00,8560.0,A,11377100
2004-10-25 00:00:00+00:00,8300.0,A,11377100
2004-10-26 00:00:00+00:00,9100.0,A,11377100
2004-10-27 00:00:00+00:00,8630.0,A,11377100
2004-10-28 00:00:00+00:00,7970.0,A,11377100
2004-10-29 00:00:00+00:00,7730.0,A,11377100
2004-10-30 00:00:00+00:00,7470.0,A,11377100
2004-10-31 00:00:00+00:00,7380.0,A,11377100
2004-11-01 00:00:00+00:00,7320.0,A,11377100
2004-11-02 00:00:00+00:00,7270.0,A,11377100
2004-11-03 00:00:00+00:00,7180.0,A,11377100
2004-11-04 00:00:00+00:00,7280.0,A,11377100
2004-11-05 00:00:00+00:00,7020.0,A,11377100
2004-11-06 00:00:00+00:00,6800.0,A,11377100
2004-11-07 00:00:00+00:00,6690.0,A,11377100
2004-11-08 00:00:00+00:00,6670.0,A,11377100
2004-11-09 00:00:00+00:00,6600.0,A,11377100
2004-11-10 00:00:00+00:00,6560.0,A,11377100
2004-11-11 00:00:00+00:00,6530.0,A,11377100
2004-11-12 00:00:00+00:00,6460.0,A,11377100
2004-11-13 00:00:00+00:00,6310.0,A,11377100
2004-11-14 00:00:00+00:00,6060.0,A,11377100
2004-11-15 00:00:00+00:00,5800.0,A,11377100
2004-11-16 00:00:00+00:00,5590.0,A,11377100
2004-11-17 00:00:00+00:00,5490.0,A,11377100
2004-11-18 00:00:00+00:00,5470.0,A,11377100
2004-11-19 00:00:00+00:00,5460.0,A,11377100
2004-11-20 00:00:00+00:00,5310.0,A,11377100
2004-11-21 00:00:00+00:00,5230.0,A,11377100
2004-11-22 00:00:00+00:00,5190.0,A,11377100
2004-11-23 00:00:00+00:00,5190.0,A,11377100
2004-11-24 00:00:00+00:00,5180.0,A,11377100
2004-11-25 00:00:00+00:00,5220.0,A,11377100
2004-11-26 00:00:00+00:00,5270.0,A,11377100
2004-11-27 00:00:00+00:00,5480.0,A,11377100
2004-11-28 00:00:00+00:00,5650.0,A,11377100
2004-11-29 00:00:00+00:00,5580.0,A,11377100
2004-11-30 00:00:00+00:00,5540.0,A,11377100
2004-12-01 00:00:00+00:00,5460.0,A,11377100
2004-12-02 00:00:00+00:00,5450.0,A,11377100
2004-12-03 00:00:00+00:00,5270.0,A,11377100
2004-12-04 00:00:00+00:00,5280.0,A,11377100
2004-12-05 00:00:00+00:00,5160.0,A,11377100
2004-12-06 00:00:00+00:00,5180.0,A,11377100
2004-12-07 00:00:00+00:00,6180.0,A,11377100
2004-12-08 00:00:00+00:00,18100.0,A,11377100
2004-12-09 00:00:00+00:00,11600.0,A,11377100
2004-12-10 00:00:00+00:00,7690.0,A,11377100
2004-12-11 00:00:00+00:00,6750.0,A,11377100
2004-12-12 00:00:00+00:00,6360.0,A,11377100
2004-12-13 00:00:00+00:00,6140.0,A,11377100
2004-12-14 00:00:00+00:00,5950.0,A,11377100
2004-12-15 00:00:00+00:00,5870.0,A,11377100
2004-12-16 00:00:00+00:00,5670.0,A,11377100
2004-12-17 00:00:00+00:00,5620.0,A,11377100
2004-12-18 00:00:00+00:00,5620.0,A,11377100
2004-12-19 00:00:00+00:00,5510.0,A,11377100
2004-12-20 00:00:00+00:00,5460.0,A,11377100
2004-12-21 00:00:00+00:00,5430.0,A,11377100
