datetime,00060_Mean,00060_Mean_cd,site_no
2004-10-01 00:00:00+00:00,392.0,A,05017500
2004-10-02 00:00:00+00:00,372.0,A,05017500
2004-10-03 00:00:00+00:00,350.0,A,05017500
2004-10-04 00:00:00+00:00,333.0,A,05017500
2004-10-05 00:00:00+00:00,317.0,A,05017500
2004-10-06 00:00:00+00:00,299.0,A,05017500
2004-10-07 00:00:00+00:00,282.0,A,05017500
2004-10-08 00:00:00+00:00,269.0,A,05017500
2004-10-09 00:00:00+00:00,256.0,A,05017500
2004-10-10 00:00:00+00:00,249.0,A,05017500
2004-10-11 00:00:00+00:00,245.0,A,05017500
2004-10-12 00:00:00+00:00,235.0,A,05017500
2004-10-13 00:00:00+00:00,225.0,A,05017500
2004-10-14 00:00:00+00:00,218.0,A,05017500
2004-10-15 00:00:00+00:00,225.0,A,05017500
2004-10-16 00:00:00+00:00,224.0,A,05017500
2004-10-17 00:00:00+00:00,245.0,A,05017500
2004-10-18 00:00:00+00:00,268.0,A,05017500
2004-10-19 00:00:00+00:00,289.0,A,05017500
2004-10-20 00:00:00+00:00,307.0,A,05017500
2004-10-21 00:00:00+00:00,323.0,A,05017500
2004-10-22 00:00:00+00:00,346.0,A,05017500
2004-10-23 00:00:00+00:00,352.0,A,05017500
2004-10-24 00:00:00+00:00,345.0,A,05017500
2004-10-25 00:00:00+00:00,335.0,A,05017500
2004-10-26 00:00:00+00:00,317.0,A,05017500
2004-10-27 00:00:00+00:00,303.0,A,05017500
2004-10-28 00:00:00+00:00,289.0,A,05017500
2004-10-29 00:00:00+00:00,283.0,A,05017500
2004-10-30 00:00:00+00:00,280.0,A,05017500
2004-10-31 00:00:00+00:00,266.0,A,05017500
2004-11-01 00:00:00+00:00,253.0,A,05017500
2004-11-02 00:00:00+00:00,266.0,A,05017500
2004-11-03 00:00:00+00:00,251.0,A,05017500
2004-11-04 00:00:00+00:00,249.0,A,05017500
2004-11-05 00:00:00+00:00,254.0,A,05017500
2004-11-06 00:00:00+00:00,236.0,A,05017500
2004-11-07 00:00:00+00:00,221.0,A,05017500
2004-11-08 00:00:00+00:00,214.0,A,05017500
2004-11-09 00:00:00+00:00,200.0,A,05017500
2004-11-10 00:00:00+00:00,194.0,A,05017500
2004-11-11 00:00:00+00:00,189.0,A,05017500
2004-11-12 00:00:00+00:00,187.0,A,05017500
