datetime,00060_Mean,00060_Mean_cd,site_no
2004-10-01 00:00:00+00:00,105.0,A,09147500
2004-10-02 00:00:00+00:00,107.0,A,09147500
2004-10-03 00:00:00+00:00,105.0,A,09147500
2004-10-04 00:00:00+00:00,103.0,A,09147500
2004-10-05 00:00:00+00:00,105.0,A,09147500
2004-10-06 00:00:00+00:00,146.0,A,09147500
2004-10-07 00:00:00+00:00,195.0,A,09147500
2004-10-08 00:00:00+00:00,173.0,A,09147500
2004-10-09 00:00:00+00:00,180.0,A,09147500
2004-10-10 00:00:00+00:00,182.0,A,09147500
2004-10-11 00:00:00+00:00,184.0,A,09147500
2004-10-12 00:00:00+00:00,188.0,A,09147500
2004-10-13 00:00:00+00:00,199.0,A,09147500
2004-10-14 00:00:00+00:00,174.0,A,09147500
2004-10-15 00:00:00+00:00,150.0,A,09147500
2004-10-16 00:00:00+00:00,145.0,A,09147500
2004-10-17 00:00:00+00:00,144.0,A,09147500
2004-10-18 00:00:00+00:00,144.0,A,09147500
2004-10-19 00:00:00+00:00,144.0,A,09147500
2004-10-20 00:00:00+00:00,143.0,A,09147500
2004-10-21 00:00:00+00:00,142.0,A,09147500
2004-10-22 00:00:00+00:00,143.0,A,09147500
2004-10-23 00:00:00+00:00,141.0,A,09147500
2004-10-24 00:00:00+00:00,146.0,A,09147500
2004-10-25 00:00:00+00:00,257.0,A,09147500
2004-10-26 00:00:00+00:00,359.0,A,09147500
2004-10-27 00:00:00+00:00,359.0,A,09147500
2004-10-28 00:00:00+00:00,362.0,A,09147500
2004-10-29 00:00:00+00:00,249.0,A,09147500
2004-10-30 00:00:00+00:00,81.0,A,09147500
2004-10-31 00:00:00+00:00,82.6,A,09147500
2004-11-01 00:00:00+00:00,72.9,A,09147500
2004-11-02 00:00:00+00:00,62.3,A,09147500
2004-11-03 00:00:00+00:00,66.1,A,09147500
2004-11-04 00:00:00+00:00,70.1,A,09147500
2004-11-05 00:00:00+00:00,68.8,A,09147500
2004-11-06 00:00:00+00:00,67.4,A,09147500
2004-11-07 00:00:00+00:00,64.5,A,09147500
2004-11-08 00:00:00+00:00,63.2,A,09147500
2004-11-09 00:00:00+00:00,67.4,A,09147500
2004-11-10 00:00:00+00:00,65.4,A,09147500
2004-11-11 00:00:00+00:00,64.8,A,09147500
2004-11-12 00:00:00+00:00,60.2,A,09147500
2004-11-13 00:00:00+00:00,57.6,A,09147500
2004-11-14 00:00:00+00:00,58.6,A,09147500
2004-11-15 00:00:00+00:00,56.3,A,09147500
2004-11-16 00:00:00+00:00,55.7,A,09147500
2004-11-17 00:00:00+00:00,56.6,"A, e",09147500
2004-11-18 00:00:00+00:00,54.4,"A, e",09147500
2004-11-19 00:00:00+00:00,51.7,A,09147500
2004-11-20 00:00:00+00:00,50.9,A,09147500
2004-11-21 00:00:00+00:00,52.7,A,09147500
2004-11-22 00:00:00+00:00,49.7,A,09147500
2004-11-23 00:00:00+00:00,50.7,A,09147500
2004-11-24 00:00:00+00:00,50.6,A,09147500
2004-11-25 00:00:00+00:00,49.0,A,09147500
2004-11-26 00:00:00+00:00,50.4,A,09147500
2004-11-27 00:00:00+00:00,47.0,A,09147500
2004-11-28 00:00:00+00:00,51.1,A,09147500
2004-11-29 00:00:00+00:00,48.1,A,09147500
2004-11-30 00:00:00+00:00,52.5,"A, e",09147500
2004-12-01 00:00:00+00:00,49.0,"A, e",09147500
2004-12-02 00:00:00+00:00,55.5,"A, e",09147500
2004-12-03 00:00:00+00:00,57.7,"A, e",09147500
2004-12-04 00:00:00+00:00,55.0,"A, e",09147500
2004-12-05 00:00:00+00:00,57.5,A,09147500
2004-12-06 00:00:00+00:00,58.6,A,09147500
2004-12-07 00:00:00+00:00,59.1,A,09147500
2004-12-08 00:00:00+00:00,59.9,A,09147500
2004-12-09 00:00:00+00:00,59.2,A,09147500
2004-12-10 00:00:00+00:00,59.1,A,09147500
2004-12-11 00:00:00+00:00,59.4,A,09147500
2004-12-12 00:00:00+00:00,60.8,A,09147500
2004-12-13 00:00:00+00:00,61.6,A,09147500
2004-12-14 00:00:00+00:00,61.5,A,09147500
2004-12-15 00:00:00+00:00,60.4,A,09147500
2004-12-16 00:00:00+00:00,59.9,A,09147500
2004-12-17 00:00:00+00:00,55.8,A,09147500
2004-12-18 00:00:00+00:00,57.7,A,09147500
2004-12-19 00:00:00+00:00,57.0,A,09147500
2004-12-20 00:00:00+00:00,58.5,A,09147500
2004-12-21 00:00:00+00:00,59.9,A,09147500
2004-12-22 00:00:00+00:00,55.0,"A, e",09147500
2004-12-23 00:00:00+00:00,55.9,A,09147500
2004-12-24 00:00:00+00:00,55.0,"A, e",09147500
2004-12-25 00:00:00+00:00,58.0,"A, e",09147500
2004-12-26 00:00:00+00:00,57.7,A,09147500
2004-12-27 00:00:00+00:00,58.1,A,09147500
2004-12-28 00:00:00+00:00,58.3,A,09147500
2004-12-29 00:00:00+00:00,58.7,A,09147500
2004-12-30 00:00:00+00:00,59.3,A,09147500
2004-12-31 00:00:00+00:00,57.4,A,09147500
2005-01-01 00:00:00+00:00,57.0,A,09147500
2005-01-02 00:00:00+00:00,56.6,A,09147500
2005-01-03 00:00:00+00:00,56.8,A,09147500
2005-01-04 00:00:00+00:00,57.7,A,09147500
2005-01-05 00:00:00+00:00,57.0,A,09147500
2005-01-06 00:00:00+00:00,56.5,A,09147500
2005-01-07 00:00:00+00:00,55.0,"A, e",09147500
2005-01-08 00:00:00+00:00,57.8,A,09147500
2005-01-09 00:00:00+00:00,58.5,A,09147500
2005-01-10 00:00:00+00:00,79.7,A,09147500
2005-01-11 00:00:00+00:00,84.9,A,09147500
2005-01-12 00:00:00+00:00,82.6,A,09147500
2005-01-13 00:00:00+00:00,78.5,A,09147500
2005-01-14 00:00:00+00:00,80.2,A,09147500
2005-01-15 00:00:00+00:00,83.2,A,09147500
2005-01-16 00:00:00+00:00,82.2,A,09147500
2005-01-17 00:00:00+00:00,82.7,A,09147500
2005-01-18 00:00:00+00:00,81.7,A,09147500
2005-01-19 00:00:00+00:00,81.6,A,09147500
2005-01-20 00:00:00+00:00,83.2,A,09147500
2005-01-21 00:00:00+00:00,85.5,A,09147500
2005-01-22 00:00:00+00:00,84.1,A,09147500
2005-01-23 00:00:00+00:00,85.3,A,09147500
2005-01-24 00:00:00+00:00,86.1,A,09147500
2005-01-25 00:00:00+00:00,84.9,A,09147500
2005-01-26 00:00:00+00:00,84.2,A,09147500
2005-01-27 00:00:00+00:00,84.4,A,09147500
2005-01-28 00:00:00+00:00,84.0,A,09147500
2005-01-29 00:00:00+00:00,82.4,A,09147500
2005-01-30 00:00:00+00:00,82.3,A,09147500
2005-01-31 00:00:00+00:00,82.5,A,09147500
2005-02-01 00:00:00+00:00,83.1,A,09147500
2005-02-02 00:00:00+00:00,82.2,A,09147500
2005-02-03 00:00:00+00:00,82.0,"A, e",09147500
2005-02-04 00:00:00+00:00,84.8,A,09147500
2005-02-05 00:00:00+00:00,86.9,A,09147500
2005-02-06 00:00:00+00:00,86.5,A,09147500
2005-02-07 00:00:00+00:00,85.0,A,09147500
2005-02-08 00:00:00+00:00,84.9,A,09147500
2005-02-09 00:00:00+00:00,82.0,"A, e",09147500
2005-02-10 00:00:00+00:00,83.7,A,09147500
2005-02-11 00:00:00+00:00,85.0,A,09147500
2005-02-12 00:00:00+00:00,84.4,A,09147500
2005-02-13 00:00:00+00:00,86.2,A,09147500
2005-02-14 00:00:00+00:00,86.2,A,09147500
2005-02-15 00:00:00+00:00,84.6,A,09147500
2005-02-16 00:00:00+00:00,82.3,A,09147500
2005-02-17 00:00:00+00:00,82.0,A,09147500
2005-02-18 00:00:00+00:00,81.8,A,09147500
2005-02-19 00:00:00+00:00,81.1,A,09147500
2005-02-20 00:00:00+00:00,80.9,A,09147500
2005-02-21 00:00:00+00:00,80.4,A,09147500
2005-02-22 00:00:00+00:00,80.6,A,09147500
2005-02-23 00:00:00+00:00,81.0,A,09147500
2005-02-24 00:00:00+00:00,79.4,A,09147500
2005-02-25 00:00:00+00:00,80.3,A,09147500
2005-02-26 00:00:00+00:00,79.9,A,09147500
2005-02-27 00:00:00+00:00,80.2,A,09147500
2005-02-28 00:00:00+00:00,70.1,A,09147500
2005-03-01 00:00:00+00:00,58.1,A,09147500
2005-03-02 00:00:00+00:00,58.6,A,09147500
2005-03-03 00:00:00+00:00,59.4,A,09147500
2005-03-04 00:00:00+00:00,58.5,A,09147500
2005-03-05 00:00:00+00:00,59.4,A,09147500
2005-03-06 00:00:00+00:00,59.1,A,09147500
2005-03-07 00:00:00+00:00,60.1,A,09147500
2005-03-08 00:00:00+00:00,60.0,A,09147500
2005-03-09 00:00:00+00:00,59.6,A,09147500
2005-03-10 00:00:00+00:00,62.4,A,09147500
2005-03-11 00:00:00+00:00,63.5,A,09147500
2005-03-12 00:00:00+00:00,66.1,A,09147500
2005-03-13 00:00:00+00:00,69.2,A,09147500
2005-03-14 00:00:00+00:00,63.8,A,09147500
2005-03-15 00:00:00+00:00,59.4,A,09147500
2005-03-16 00:00:00+00:00,48.5,A,09147500
2005-03-17 00:00:00+00:00,50.0,A,09147500
2005-03-18 00:00:00+00:00,53.4,A,09147500
2005-03-19 00:00:00+00:00,58.5,A,09147500
2005-03-20 00:00:00+00:00,59.5,A,09147500
2005-03-21 00:00:00+00:00,125.0,A,09147500
2005-03-22 00:00:00+00:00,208.0,A,09147500
2005-03-23 00:00:00+00:00,233.0,A,09147500
2005-03-24 00:00:00+00:00,272.0,A,09147500
2005-03-25 00:00:00+00:00,304.0,A,09147500
2005-03-26 00:00:00+00:00,304.0,A,09147500
2005-03-27 00:00:00+00:00,300.0,A,09147500
2005-03-28 00:00:00+00:00,279.0,A,09147500
2005-03-29 00:00:00+00:00,150.0,A,09147500
2005-03-30 00:00:00+00:00,99.0,A,09147500
2005-03-31 00:00:00+00:00,98.5,A,09147500
2005-04-01 00:00:00+00:00,101.0,A,09147500
2005-04-02 00:00:00+00:00,108.0,A,09147500
2005-04-03 00:00:00+00:00,119.0,A,09147500
2005-04-04 00:00:00+00:00,122.0,A,09147500
2005-04-05 00:00:00+00:00,120.0,A,09147500
2005-04-06 00:00:00+00:00,113.0,A,09147500
2005-04-07 00:00:00+00:00,184.0,A,09147500
2005-04-08 00:00:00+00:00,306.0,A,09147500
2005-04-09 00:00:00+00:00,323.0,A,09147500
2005-04-10 00:00:00+00:00,314.0,A,09147500
2005-04-11 00:00:00+00:00,310.0,A,09147500
2005-04-12 00:00:00+00:00,309.0,A,09147500
2005-04-13 00:00:00+00:00,317.0,A,09147500
2005-04-14 00:00:00+00:00,339.0,A,09147500
2005-04-15 00:00:00+00:00,372.0,A,09147500
2005-04-16 00:00:00+00:00,356.0,A,09147500
2005-04-17 00:00:00+00:00,379.0,A,09147500
2005-04-18 00:00:00+00:00,408.0,A,09147500
2005-04-19 00:00:00+00:00,442.0,A,09147500
2005-04-20 00:00:00+00:00,436.0,A,09147500
2005-04-21 00:00:00+00:00,398.0,A,09147500
2005-04-22 00:00:00+00:00,391.0,A,09147500
2005-04-23 00:00:00+00:00,406.0,A,09147500
2005-04-24 00:00:00+00:00,450.0,A,09147500
2005-04-25 00:00:00+00:00,402.0,A,09147500
2005-04-26 00:00:00+00:00,377.0,A,09147500
2005-04-27 00:00:00+00:00,367.0,A,09147500
2005-04-28 00:00:00+00:00,374.0,A,09147500
2005-04-29 00:00:00+00:00,405.0,A,09147500
