datetime,00060_Mean,00060_Mean_cd,site_no
2008-10-01 00:00:00+00:00,602.0,A,12370000
2008-10-02 00:00:00+00:00,590.0,A,12370000
2008-10-03 00:00:00+00:00,580.0,A,12370000
2008-10-04 00:00:00+00:00,578.0,A,12370000
2008-10-05 00:00:00+00:00,570.0,A,12370000
2008-10-06 00:00:00+00:00,572.0,A,12370000
2008-10-07 00:00:00+00:00,568.0,A,12370000
2008-10-08 00:00:00+00:00,562.0,A,12370000
2008-10-09 00:00:00+00:00,563.0,A,12370000
2008-10-10 00:00:00+00:00,557.0,A,12370000
2008-10-11 00:00:00+00:00,546.0,A,12370000
2008-10-12 00:00:00+00:00,534.0,A,12370000
2008-10-13 00:00:00+00:00,538.0,A,12370000
2008-10-14 00:00:00+00:00,526.0,A,12370000
2008-10-15 00:00:00+00:00,526.0,A,12370000
2008-10-16 00:00:00+00:00,524.0,A,12370000
2008-10-17 00:00:00+00:00,519.0,A,12370000
2008-10-18 00:00:00+00:00,521.0,A,12370000
2008-10-19 00:00:00+00:00,523.0,A,12370000
2008-10-20 00:00:00+00:00,531.0,A,12370000
2008-10-21 00:00:00+00:00,531.0,A,12370000
2008-10-22 00:00:00+00:00,548.0,A,12370000
2008-10-23 00:00:00+00:00,543.0,A,12370000
2008-10-24 00:00:00+00:00,539.0,A,12370000
2008-10-25 00:00:00+00:00,529.0,A,12370000
2008-10-26 00:00:00+00:00,527.0,A,12370000
2008-10-27 00:00:00+00:00,523.0,A,12370000
2008-10-28 00:00:00+00:00,518.0,A,12370000
2008-10-29 00:00:00+00:00,516.0,A,12370000
2008-10-30 00:00:00+00:00,517.0,A,12370000
2008-10-31 00:00:00+00:00,510.0,A,12370000
2008-11-01 00:00:00+00:00,502.0,A,12370000
2008-11-02 00:00:00+00:00,502.0,A,12370000
2008-11-03 00:00:00+00:00,512.0,A,12370000
2008-11-04 00:00:00+00:00,528.0,A,12370000
2008-11-05 00:00:00+00:00,553.0,A,12370000
