datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,46.7,A,13011500
2010-10-02 00:00:00+00:00,46.4,A,13011500
2010-10-03 00:00:00+00:00,45.8,A,13011500
2010-10-04 00:00:00+00:00,46.0,A,13011500
2010-10-05 00:00:00+00:00,46.5,A,13011500
2010-10-06 00:00:00+00:00,47.1,A,13011500
2010-10-07 00:00:00+00:00,47.6,A,13011500
2010-10-08 00:00:00+00:00,52.5,A,13011500
2010-10-09 00:00:00+00:00,54.4,A,13011500
2010-10-10 00:00:00+00:00,52.6,A,13011500
2010-10-11 00:00:00+00:00,52.5,A,13011500
2010-10-12 00:00:00+00:00,53.4,A,13011500
2010-10-13 00:00:00+00:00,51.3,A,13011500
2010-10-14 00:00:00+00:00,50.0,A,13011500
2010-10-15 00:00:00+00:00,49.2,A,13011500
2010-10-16 00:00:00+00:00,49.0,A,13011500
2010-10-17 00:00:00+00:00,48.4,A,13011500
2010-10-18 00:00:00+00:00,48.0,A,13011500
2010-10-19 00:00:00+00:00,48.3,A,13011500
2010-10-20 00:00:00+00:00,43.9,A,13011500
2010-10-21 00:00:00+00:00,36.9,A,13011500
2010-10-22 00:00:00+00:00,36.8,A,13011500
2010-10-23 00:00:00+00:00,36.0,A,13011500
2010-10-24 00:00:00+00:00,46.9,A,13011500
2010-10-25 00:00:00+00:00,109.0,A,13011500
2010-10-26 00:00:00+00:00,83.6,A,13011500
2010-10-27 00:00:00+00:00,77.4,A,13011500
2010-10-28 00:00:00+00:00,58.4,A,13011500
2010-10-29 00:00:00+00:00,53.5,A,13011500
2010-10-30 00:00:00+00:00,63.6,A,13011500
2010-10-31 00:00:00+00:00,79.4,A,13011500
2010-11-01 00:00:00+00:00,85.8,A,13011500
2010-11-02 00:00:00+00:00,72.0,A,13011500
2010-11-03 00:00:00+00:00,66.9,A,13011500
2010-11-04 00:00:00+00:00,61.1,A,13011500
2010-11-05 00:00:00+00:00,60.3,A,13011500
2010-11-06 00:00:00+00:00,62.6,A,13011500
2010-11-07 00:00:00+00:00,65.7,A,13011500
2010-11-08 00:00:00+00:00,72.2,A,13011500
2010-11-09 00:00:00+00:00,72.2,A,13011500
2010-11-10 00:00:00+00:00,58.2,A,13011500
2010-11-11 00:00:00+00:00,50.6,A,13011500
2010-11-12 00:00:00+00:00,52.1,A,13011500
2010-11-13 00:00:00+00:00,48.1,A,13011500
2010-11-14 00:00:00+00:00,50.0,A,13011500
2010-11-15 00:00:00+00:00,48.9,A,13011500
2010-11-16 00:00:00+00:00,54.1,A,13011500
2010-11-17 00:00:00+00:00,48.2,A,13011500
2010-11-18 00:00:00+00:00,46.0,A,13011500
2010-11-19 00:00:00+00:00,48.5,A,13011500
2010-11-20 00:00:00+00:00,54.8,A,13011500
2010-11-21 00:00:00+00:00,50.1,"A, e",13011500
2010-11-22 00:00:00+00:00,40.0,"A, e",13011500
2010-11-23 00:00:00+00:00,38.0,"A, e",13011500
2010-11-24 00:00:00+00:00,35.0,"A, e",13011500
2010-11-25 00:00:00+00:00,35.1,"A, e",13011500
2010-11-26 00:00:00+00:00,40.1,"A, e",13011500
2010-11-27 00:00:00+00:00,44.9,"A, e",13011500
2010-11-28 00:00:00+00:00,50.0,"A, e",13011500
2010-11-29 00:00:00+00:00,40.1,"A, e",13011500
2010-11-30 00:00:00+00:00,38.0,"A, e",13011500
2010-12-01 00:00:00+00:00,49.9,"A, e",13011500
2010-12-02 00:00:00+00:00,59.6,"A, e",13011500
2010-12-03 00:00:00+00:00,50.1,"A, e",13011500
2010-12-04 00:00:00+00:00,48.4,"A, e",13011500
2010-12-05 00:00:00+00:00,54.3,"A, e",13011500
2010-12-06 00:00:00+00:00,58.2,"A, e",13011500
2010-12-07 00:00:00+00:00,55.5,A,13011500
2010-12-08 00:00:00+00:00,54.4,A,13011500
2010-12-09 00:00:00+00:00,53.5,A,13011500
2010-12-10 00:00:00+00:00,53.5,A,13011500
2010-12-11 00:00:00+00:00,47.8,A,13011500
2010-12-12 00:00:00+00:00,51.3,A,13011500
2010-12-13 00:00:00+00:00,50.7,A,13011500
2010-12-14 00:00:00+00:00,52.9,A,13011500
2010-12-15 00:00:00+00:00,50.2,A,13011500
2010-12-16 00:00:00+00:00,44.9,"A, e",13011500
2010-12-17 00:00:00+00:00,35.7,"A, e",13011500
2010-12-18 00:00:00+00:00,38.8,"A, e",13011500
2010-12-19 00:00:00+00:00,45.0,"A, e",13011500
2010-12-20 00:00:00+00:00,49.9,"A, e",13011500
2010-12-21 00:00:00+00:00,48.1,"A, e",13011500
2010-12-22 00:00:00+00:00,45.0,"A, e",13011500
2010-12-23 00:00:00+00:00,47.3,"A, e",13011500
2010-12-24 00:00:00+00:00,49.9,"A, e",13011500
2010-12-25 00:00:00+00:00,45.0,"A, e",13011500
2010-12-26 00:00:00+00:00,41.0,"A, e",13011500
2010-12-27 00:00:00+00:00,44.2,"A, e",13011500
2010-12-28 00:00:00+00:00,48.6,"A, e",13011500
2010-12-29 00:00:00+00:00,46.4,"A, e",13011500
2010-12-30 00:00:00+00:00,49.1,"A, e",13011500
2010-12-31 00:00:00+00:00,46.7,"A, e",13011500
2011-01-01 00:00:00+00:00,34.0,"A, e",13011500
2011-01-02 00:00:00+00:00,30.0,"A, e",13011500
2011-01-03 00:00:00+00:00,32.0,"A, e",13011500
2011-01-04 00:00:00+00:00,31.0,"A, e",13011500
2011-01-05 00:00:00+00:00,35.0,"A, e",13011500
2011-01-06 00:00:00+00:00,25.0,"A, e",13011500
2011-01-07 00:00:00+00:00,27.0,"A, e",13011500
2011-01-08 00:00:00+00:00,35.0,"A, e",13011500
2011-01-09 00:00:00+00:00,32.0,"A, e",13011500
2011-01-10 00:00:00+00:00,31.0,"A, e",13011500
2011-01-11 00:00:00+00:00,32.0,"A, e",13011500
2011-01-12 00:00:00+00:00,31.0,"A, e",13011500
2011-01-13 00:00:00+00:00,35.0,"A, e",13011500
2011-01-14 00:00:00+00:00,37.0,"A, e",13011500
2011-01-15 00:00:00+00:00,38.0,"A, e",13011500
2011-01-16 00:00:00+00:00,39.0,"A, e",13011500
2011-01-17 00:00:00+00:00,40.0,"A, e",13011500
2011-01-18 00:00:00+00:00,37.0,"A, e",13011500
2011-01-19 00:00:00+00:00,32.0,"A, e",13011500
2011-01-20 00:00:00+00:00,28.0,"A, e",13011500
2011-01-21 00:00:00+00:00,35.0,"A, e",13011500
2011-01-22 00:00:00+00:00,34.0,"A, e",13011500
2011-01-23 00:00:00+00:00,32.0,"A, e",13011500
2011-01-24 00:00:00+00:00,31.0,"A, e",13011500
