datetime,00060_Mean,00060_Mean_cd,site_no
2010-10-01 00:00:00+00:00,26.5,A,09237450
2010-10-02 00:00:00+00:00,25.4,A,09237450
2010-10-03 00:00:00+00:00,26.2,A,09237450
2010-10-04 00:00:00+00:00,28.9,A,09237450
2010-10-05 00:00:00+00:00,29.6,A,09237450
2010-10-06 00:00:00+00:00,29.7,A,09237450
2010-10-07 00:00:00+00:00,32.0,A,09237450
2010-10-08 00:00:00+00:00,33.3,A,09237450
2010-10-09 00:00:00+00:00,35.2,A,09237450
2010-10-10 00:00:00+00:00,38.4,A,09237450
2010-10-11 00:00:00+00:00,34.8,A,09237450
2010-10-12 00:00:00+00:00,38.4,A,09237450
2010-10-13 00:00:00+00:00,37.3,A,09237450
2010-10-14 00:00:00+00:00,36.2,A,09237450
2010-10-15 00:00:00+00:00,34.5,A,09237450
2010-10-16 00:00:00+00:00,34.1,A,09237450
2010-10-17 00:00:00+00:00,36.5,A,09237450
2010-10-18 00:00:00+00:00,37.5,A,09237450
2010-10-19 00:00:00+00:00,40.4,A,09237450
2010-10-20 00:00:00+00:00,37.7,A,09237450
2010-10-21 00:00:00+00:00,37.0,A,09237450
2010-10-22 00:00:00+00:00,39.6,A,09237450
2010-10-23 00:00:00+00:00,57.3,A,09237450
2010-10-24 00:00:00+00:00,54.8,A,09237450
2010-10-25 00:00:00+00:00,62.3,A,09237450
2010-10-26 00:00:00+00:00,62.5,A,09237450
2010-10-27 00:00:00+00:00,58.2,A,09237450
2010-10-28 00:00:00+00:00,60.9,"A, e",09237450
2010-10-29 00:00:00+00:00,62.1,"A, e",09237450
2010-10-30 00:00:00+00:00,66.5,A,09237450
2010-10-31 00:00:00+00:00,66.7,A,09237450
2010-11-01 00:00:00+00:00,61.4,A,09237450
2010-11-02 00:00:00+00:00,57.1,A,09237450
2010-11-03 00:00:00+00:00,55.1,A,09237450
2010-11-04 00:00:00+00:00,53.8,A,09237450
2010-11-05 00:00:00+00:00,52.5,A,09237450
2010-11-06 00:00:00+00:00,54.4,A,09237450
2010-11-07 00:00:00+00:00,51.5,A,09237450
2010-11-08 00:00:00+00:00,50.0,A,09237450
2010-11-09 00:00:00+00:00,47.7,"A, e",09237450
2010-11-10 00:00:00+00:00,45.3,A,09237450
2010-11-11 00:00:00+00:00,44.6,A,09237450
2010-11-12 00:00:00+00:00,44.4,A,09237450
2010-11-13 00:00:00+00:00,43.0,A,09237450
2010-11-14 00:00:00+00:00,44.8,A,09237450
2010-11-15 00:00:00+00:00,44.0,A,09237450
2010-11-16 00:00:00+00:00,44.4,A,09237450
2010-11-17 00:00:00+00:00,44.5,"A, e",09237450
2010-11-18 00:00:00+00:00,44.2,"A, e",09237450
2010-11-19 00:00:00+00:00,44.7,"A, e",09237450
2010-11-20 00:00:00+00:00,45.2,"A, e",09237450
2010-11-21 00:00:00+00:00,45.3,"A, e",09237450
2010-11-22 00:00:00+00:00,44.7,"A, e",09237450
2010-11-23 00:00:00+00:00,44.6,"A, e",09237450
2010-11-24 00:00:00+00:00,44.3,"A, e",09237450
2010-11-25 00:00:00+00:00,41.3,"A, e",09237450
2010-11-26 00:00:00+00:00,41.8,"A, e",09237450
2010-11-27 00:00:00+00:00,42.8,"A, e",09237450
2010-11-28 00:00:00+00:00,43.5,"A, e",09237450
2010-11-29 00:00:00+00:00,43.3,"A, e",09237450
2010-11-30 00:00:00+00:00,42.7,"A, e",09237450
2010-12-01 00:00:00+00:00,42.7,"A, e",09237450
2010-12-02 00:00:00+00:00,42.7,"A, e",09237450
2010-12-03 00:00:00+00:00,42.8,"A, e",09237450
2010-12-04 00:00:00+00:00,42.5,"A, e",09237450
2010-12-05 00:00:00+00:00,41.8,"A, e",09237450
2010-12-06 00:00:00+00:00,41.5,"A, e",09237450
2010-12-07 00:00:00+00:00,42.3,"A, e",09237450
2010-12-08 00:00:00+00:00,42.0,"A, e",09237450
2010-12-09 00:00:00+00:00,42.8,"A, e",09237450
2010-12-10 00:00:00+00:00,42.4,"A, e",09237450
2010-12-11 00:00:00+00:00,41.6,"A, e",09237450
