datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd
2011-10-01 00:00:00+00:00,20.2,A,09379500,502.0,A,707.0,A
2011-10-02 00:00:00+00:00,19.7,A,09379500,523.0,A,689.0,A
2011-10-03 00:00:00+00:00,19.6,A,09379500,532.0,A,654.0,A
2011-10-04 00:00:00+00:00,19.1,A,09379500,532.0,A,640.0,A
2011-10-05 00:00:00+00:00,17.2,A,09379500,686.0,A,636.0,A
2011-10-06 00:00:00+00:00,14.7,A,09379500,1510.0,A,821.0,A
2011-10-07 00:00:00+00:00,12.4,A,09379500,2630.0,A,772.0,A
2011-10-08 00:00:00+00:00,10.8,A,09379500,2090.0,A,822.0,A
2011-10-09 00:00:00+00:00,11.3,A,09379500,1410.0,A,735.0,A
2011-10-10 00:00:00+00:00,11.9,A,09379500,1200.0,A,739.0,A
2011-10-11 00:00:00+00:00,13.2,A,09379500,1080.0,A,737.0,A
2011-10-12 00:00:00+00:00,13.8,A,09379500,961.0,A,725.0,A
2011-10-13 00:00:00+00:00,13.8,A,09379500,905.0,A,711.0,A
2011-10-14 00:00:00+00:00,14.1,A,09379500,854.0,A,700.0,A
2011-10-15 00:00:00+00:00,14.6,A,09379500,812.0,A,693.0,A
2011-10-16 00:00:00+00:00,15.0,A,09379500,745.0,A,686.0,A
2011-10-17 00:00:00+00:00,15.1,A,09379500,705.0,A,679.0,A
2011-10-18 00:00:00+00:00,14.2,A,09379500,727.0,A,672.0,A
2011-10-19 00:00:00+00:00,13.3,A,09379500,706.0,A,666.0,A
2011-10-20 00:00:00+00:00,12.8,A,09379500,704.0,A,659.0,A
2011-10-21 00:00:00+00:00,12.6,A,09379500,785.0,A,652.0,A
2011-10-22 00:00:00+00:00,12.5,A,09379500,785.0,A,643.0,A
2011-10-23 00:00:00+00:00,12.4,A,09379500,697.0,A,632.0,A
2011-10-24 00:00:00+00:00,12.5,A,09379500,681.0,A,621.0,A
2011-10-25 00:00:00+00:00,13.4,A,09379500,671.0,A,615.0,A
2011-10-26 00:00:00+00:00,12.9,A,09379500,693.0,A,611.0,A
2011-10-27 00:00:00+00:00,10.7,A,09379500,1750.0,A,608.0,A
2011-10-28 00:00:00+00:00,8.7,A,09379500,1670.0,A,709.0,A
2011-10-29 00:00:00+00:00,8.3,A,09379500,1480.0,A,729.0,A
2011-10-30 00:00:00+00:00,8.8,A,09379500,1110.0,A,708.0,A
2011-10-31 00:00:00+00:00,9.2,A,09379500,986.0,A,691.0,A
2011-11-01 00:00:00+00:00,9.4,A,09379500,929.0,A,683.0,A
2011-11-02 00:00:00+00:00,8.7,A,09379500,961.0,A,686.0,A
2011-11-03 00:00:00+00:00,7.9,A,09379500,929.0,A,682.0,A
2011-11-04 00:00:00+00:00,7.7,A,09379500,769.0,A,699.0,A
