datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,63680_Mean,63680_Mean_cd
2013-10-01 00:00:00+00:00,4.3,A,15292700,3690.0,A,4.2,A
2013-10-02 00:00:00+00:00,4.5,A,15292700,3600.0,A,2.8,A
2013-10-03 00:00:00+00:00,4.8,A,15292700,3460.0,A,2.1,A
2013-10-04 00:00:00+00:00,4.2,A,15292700,3240.0,A,2.3,A
2013-10-05 00:00:00+00:00,3.4,A,15292700,3020.0,A,2.5,A
2013-10-06 00:00:00+00:00,3.9,A,15292700,3070.0,A,2.0,A
2013-10-07 00:00:00+00:00,4.1,A,15292700,3190.0,A,1.8,A
2013-10-08 00:00:00+00:00,3.6,A,15292700,3510.0,A,3.5,A
2013-10-09 00:00:00+00:00,3.4,A,15292700,4480.0,A,7.4,A
2013-10-10 00:00:00+00:00,2.6,A,15292700,3640.0,A,4.1,A
2013-10-11 00:00:00+00:00,2.8,A,15292700,3550.0,A,1.5,A
2013-10-12 00:00:00+00:00,3.6,A,15292700,3540.0,A,1.6,A
2013-10-13 00:00:00+00:00,3.9,A,15292700,3520.0,A,2.1,A
2013-10-14 00:00:00+00:00,3.7,A,15292700,3910.0,A,10.5,A
2013-10-15 00:00:00+00:00,3.8,A,15292700,4650.0,A,,
2013-10-16 00:00:00+00:00,3.9,A,15292700,8030.0,A,11.8,A
2013-10-17 00:00:00+00:00,4.3,A,15292700,7410.0,A,4.5,A
2013-10-18 00:00:00+00:00,4.5,A,15292700,7060.0,A,4.8,A
2013-10-19 00:00:00+00:00,4.0,A,15292700,6630.0,A,4.1,A
2013-10-20 00:00:00+00:00,3.9,A,15292700,6030.0,A,2.9,A
2013-10-21 00:00:00+00:00,3.3,A,15292700,5320.0,A,,
2013-10-22 00:00:00+00:00,2.7,A,15292700,4780.0,A,,
2013-10-23 00:00:00+00:00,1.5,A,15292700,4220.0,A,,
2013-10-24 00:00:00+00:00,0.5,A,15292700,3570.0,A,,
2013-10-25 00:00:00+00:00,1.4,A,15292700,3550.0,A,,
