datetime,00060_Mean,00060_Mean_cd,site_no
2015-10-01 00:00:00+00:00,86.2,A,09349800
2015-10-02 00:00:00+00:00,81.6,A,09349800
2015-10-03 00:00:00+00:00,79.5,A,09349800
2015-10-04 00:00:00+00:00,79.8,A,09349800
2015-10-05 00:00:00+00:00,89.4,A,09349800
2015-10-06 00:00:00+00:00,211.0,A,09349800
2015-10-07 00:00:00+00:00,188.0,A,09349800
2015-10-08 00:00:00+00:00,152.0,A,09349800
2015-10-09 00:00:00+00:00,132.0,A,09349800
2015-10-10 00:00:00+00:00,122.0,A,09349800
2015-10-11 00:00:00+00:00,114.0,A,09349800
2015-10-12 00:00:00+00:00,109.0,A,09349800
2015-10-13 00:00:00+00:00,104.0,A,09349800
2015-10-14 00:00:00+00:00,101.0,A,09349800
2015-10-15 00:00:00+00:00,97.9,A,09349800
2015-10-16 00:00:00+00:00,96.4,A,09349800
2015-10-17 00:00:00+00:00,97.7,A,09349800
2015-10-18 00:00:00+00:00,104.0,A,09349800
2015-10-19 00:00:00+00:00,281.0,A,09349800
2015-10-20 00:00:00+00:00,443.0,A,09349800
2015-10-21 00:00:00+00:00,390.0,A,09349800
2015-10-22 00:00:00+00:00,417.0,A,09349800
2015-10-23 00:00:00+00:00,380.0,A,09349800
2015-10-24 00:00:00+00:00,335.0,A,09349800
2015-10-25 00:00:00+00:00,316.0,A,09349800
2015-10-26 00:00:00+00:00,304.0,A,09349800
2015-10-27 00:00:00+00:00,290.0,A,09349800
2015-10-28 00:00:00+00:00,260.0,A,09349800
2015-10-29 00:00:00+00:00,239.0,A,09349800
2015-10-30 00:00:00+00:00,239.0,A,09349800
2015-10-31 00:00:00+00:00,230.0,A,09349800
2015-11-01 00:00:00+00:00,212.0,A,09349800
2015-11-02 00:00:00+00:00,200.0,A,09349800
2015-11-03 00:00:00+00:00,191.0,A,09349800
2015-11-04 00:00:00+00:00,200.0,A,09349800
2015-11-05 00:00:00+00:00,199.0,A,09349800
2015-11-06 00:00:00+00:00,195.0,A,09349800
2015-11-07 00:00:00+00:00,182.0,A,09349800
2015-11-08 00:00:00+00:00,176.0,A,09349800
2015-11-09 00:00:00+00:00,176.0,A,09349800
2015-11-10 00:00:00+00:00,177.0,A,09349800
2015-11-11 00:00:00+00:00,174.0,A,09349800
2015-11-12 00:00:00+00:00,153.0,A,09349800
2015-11-13 00:00:00+00:00,155.0,A,09349800
2015-11-14 00:00:00+00:00,152.0,A,09349800
2015-11-15 00:00:00+00:00,149.0,A,09349800
2015-11-16 00:00:00+00:00,175.0,A,09349800
2015-11-17 00:00:00+00:00,162.0,A,09349800
2015-11-18 00:00:00+00:00,144.0,A,09349800
2015-11-19 00:00:00+00:00,142.0,A,09349800
2015-11-20 00:00:00+00:00,143.0,A,09349800
2015-11-21 00:00:00+00:00,144.0,A,09349800
2015-11-22 00:00:00+00:00,131.0,A,09349800
2015-11-23 00:00:00+00:00,136.0,A,09349800
2015-11-24 00:00:00+00:00,141.0,A,09349800
2015-11-25 00:00:00+00:00,142.0,A,09349800
2015-11-26 00:00:00+00:00,148.0,A,09349800
2015-11-27 00:00:00+00:00,145.0,A,09349800
2015-11-28 00:00:00+00:00,139.0,A,09349800
2015-11-29 00:00:00+00:00,131.0,A,09349800
2015-11-30 00:00:00+00:00,123.0,A,09349800
2015-12-01 00:00:00+00:00,96.5,"A, e",09349800
2015-12-02 00:00:00+00:00,96.8,"A, e",09349800
2015-12-03 00:00:00+00:00,105.0,"A, e",09349800
2015-12-04 00:00:00+00:00,110.0,"A, e",09349800
2015-12-05 00:00:00+00:00,120.0,"A, e",09349800
2015-12-06 00:00:00+00:00,103.0,"A, e",09349800
2015-12-07 00:00:00+00:00,105.0,"A, e",09349800
2015-12-08 00:00:00+00:00,107.0,"A, e",09349800
2015-12-09 00:00:00+00:00,110.0,"A, e",09349800
2015-12-10 00:00:00+00:00,110.0,"A, e",09349800
2015-12-11 00:00:00+00:00,112.0,"A, e",09349800
2015-12-12 00:00:00+00:00,116.0,"A, e",09349800
2015-12-13 00:00:00+00:00,111.0,"A, e",09349800
2015-12-14 00:00:00+00:00,107.0,"A, e",09349800
2015-12-15 00:00:00+00:00,104.0,"A, e",09349800
2015-12-16 00:00:00+00:00,98.4,"A, e",09349800
2015-12-17 00:00:00+00:00,102.0,"A, e",09349800
2015-12-18 00:00:00+00:00,94.7,"A, e",09349800
2015-12-19 00:00:00+00:00,100.0,"A, e",09349800
2015-12-20 00:00:00+00:00,110.0,"A, e",09349800
2015-12-21 00:00:00+00:00,108.0,"A, e",09349800
2015-12-22 00:00:00+00:00,107.0,"A, e",09349800
2015-12-23 00:00:00+00:00,107.0,"A, e",09349800
2015-12-24 00:00:00+00:00,95.8,"A, e",09349800
2015-12-25 00:00:00+00:00,103.0,"A, e",09349800
2015-12-26 00:00:00+00:00,85.1,"A, e",09349800
2015-12-27 00:00:00+00:00,93.2,"A, e",09349800
2015-12-28 00:00:00+00:00,97.8,"A, e",09349800
2015-12-29 00:00:00+00:00,101.0,"A, e",09349800
2015-12-30 00:00:00+00:00,105.0,"A, e",09349800
2015-12-31 00:00:00+00:00,100.0,"A, e",09349800
2016-01-01 00:00:00+00:00,94.7,"A, e",09349800
2016-01-02 00:00:00+00:00,91.7,"A, e",09349800
2016-01-03 00:00:00+00:00,100.0,"A, e",09349800
2016-01-04 00:00:00+00:00,104.0,"A, e",09349800
2016-01-05 00:00:00+00:00,107.0,"A, e",09349800
2016-01-06 00:00:00+00:00,109.0,"A, e",09349800
2016-01-07 00:00:00+00:00,107.0,"A, e",09349800
2016-01-08 00:00:00+00:00,104.0,"A, e",09349800
2016-01-09 00:00:00+00:00,104.0,"A, e",09349800
2016-01-10 00:00:00+00:00,104.0,"A, e",09349800
2016-01-11 00:00:00+00:00,92.2,"A, e",09349800
2016-01-12 00:00:00+00:00,98.9,"A, e",09349800
2016-01-13 00:00:00+00:00,102.0,"A, e",09349800
2016-01-14 00:00:00+00:00,103.0,"A, e",09349800
2016-01-15 00:00:00+00:00,104.0,"A, e",09349800
2016-01-16 00:00:00+00:00,102.0,"A, e",09349800
2016-01-17 00:00:00+00:00,98.4,"A, e",09349800
2016-01-18 00:00:00+00:00,100.0,"A, e",09349800
2016-01-19 00:00:00+00:00,106.0,"A, e",09349800
2016-01-20 00:00:00+00:00,99.4,"A, e",09349800
2016-01-21 00:00:00+00:00,100.0,"A, e",09349800
2016-01-22 00:00:00+00:00,103.0,"A, e",09349800
2016-01-23 00:00:00+00:00,104.0,"A, e",09349800
