datetime,00060_Mean,00060_Mean_cd,site_no
2015-10-01 00:00:00+00:00,219.0,A,12395000
2015-10-02 00:00:00+00:00,219.0,A,12395000
2015-10-03 00:00:00+00:00,208.0,A,12395000
2015-10-04 00:00:00+00:00,191.0,A,12395000
2015-10-05 00:00:00+00:00,191.0,A,12395000
2015-10-06 00:00:00+00:00,191.0,A,12395000
2015-10-07 00:00:00+00:00,193.0,A,12395000
2015-10-08 00:00:00+00:00,201.0,A,12395000
2015-10-09 00:00:00+00:00,197.0,A,12395000
2015-10-10 00:00:00+00:00,801.0,A,12395000
2015-10-11 00:00:00+00:00,1010.0,A,12395000
2015-10-12 00:00:00+00:00,1020.0,A,12395000
2015-10-13 00:00:00+00:00,1150.0,A,12395000
2015-10-14 00:00:00+00:00,1830.0,A,12395000
2015-10-15 00:00:00+00:00,1830.0,A,12395000
2015-10-16 00:00:00+00:00,1810.0,A,12395000
2015-10-17 00:00:00+00:00,2290.0,A,12395000
2015-10-18 00:00:00+00:00,2250.0,A,12395000
2015-10-19 00:00:00+00:00,2190.0,A,12395000
2015-10-20 00:00:00+00:00,2240.0,A,12395000
2015-10-21 00:00:00+00:00,2110.0,A,12395000
2015-10-22 00:00:00+00:00,1970.0,A,12395000
2015-10-23 00:00:00+00:00,1860.0,A,12395000
2015-10-24 00:00:00+00:00,1740.0,A,12395000
2015-10-25 00:00:00+00:00,1620.0,A,12395000
2015-10-26 00:00:00+00:00,1510.0,A,12395000
2015-10-27 00:00:00+00:00,1430.0,A,12395000
2015-10-28 00:00:00+00:00,1340.0,A,12395000
2015-10-29 00:00:00+00:00,1270.0,A,12395000
2015-10-30 00:00:00+00:00,1230.0,A,12395000
2015-10-31 00:00:00+00:00,1290.0,A,12395000
2015-11-01 00:00:00+00:00,1330.0,A,12395000
2015-11-02 00:00:00+00:00,1230.0,A,12395000
2015-11-03 00:00:00+00:00,1170.0,A,12395000
2015-11-04 00:00:00+00:00,1100.0,A,12395000
2015-11-05 00:00:00+00:00,1050.0,A,12395000
2015-11-06 00:00:00+00:00,1000.0,A,12395000
2015-11-07 00:00:00+00:00,959.0,A,12395000
2015-11-08 00:00:00+00:00,975.0,A,12395000
2015-11-09 00:00:00+00:00,1030.0,A,12395000
2015-11-10 00:00:00+00:00,968.0,A,12395000
2015-11-11 00:00:00+00:00,914.0,A,12395000
