datetime,00060_Mean,00060_Mean_cd,site_no
2015-10-01 00:00:00+00:00,65.8,A,12301300
2015-10-02 00:00:00+00:00,65.7,A,12301300
2015-10-03 00:00:00+00:00,64.4,A,12301300
2015-10-04 00:00:00+00:00,63.5,A,12301300
2015-10-05 00:00:00+00:00,62.7,A,12301300
2015-10-06 00:00:00+00:00,63.7,A,12301300
2015-10-07 00:00:00+00:00,63.5,A,12301300
2015-10-08 00:00:00+00:00,67.9,A,12301300
2015-10-09 00:00:00+00:00,65.4,A,12301300
2015-10-10 00:00:00+00:00,64.4,A,12301300
2015-10-11 00:00:00+00:00,64.7,A,12301300
2015-10-12 00:00:00+00:00,64.3,A,12301300
2015-10-13 00:00:00+00:00,65.4,A,12301300
2015-10-14 00:00:00+00:00,64.2,A,12301300
2015-10-15 00:00:00+00:00,64.2,A,12301300
2015-10-16 00:00:00+00:00,64.2,A,12301300
2015-10-17 00:00:00+00:00,64.2,A,12301300
2015-10-18 00:00:00+00:00,64.2,A,12301300
2015-10-19 00:00:00+00:00,64.2,A,12301300
2015-10-20 00:00:00+00:00,64.2,A,12301300
2015-10-21 00:00:00+00:00,64.2,A,12301300
2015-10-22 00:00:00+00:00,64.2,A,12301300
2015-10-23 00:00:00+00:00,63.8,A,12301300
2015-10-24 00:00:00+00:00,63.4,A,12301300
2015-10-25 00:00:00+00:00,62.8,A,12301300
2015-10-26 00:00:00+00:00,64.7,A,12301300
2015-10-27 00:00:00+00:00,69.7,A,12301300
2015-10-28 00:00:00+00:00,68.4,A,12301300
2015-10-29 00:00:00+00:00,67.8,A,12301300
2015-10-30 00:00:00+00:00,73.5,A,12301300
2015-10-31 00:00:00+00:00,97.6,A,12301300
2015-11-01 00:00:00+00:00,165.0,A,12301300
2015-11-02 00:00:00+00:00,130.0,A,12301300
2015-11-03 00:00:00+00:00,108.0,A,12301300
2015-11-04 00:00:00+00:00,95.9,A,12301300
2015-11-05 00:00:00+00:00,89.6,A,12301300
2015-11-06 00:00:00+00:00,87.7,A,12301300
2015-11-07 00:00:00+00:00,84.4,A,12301300
