datetime,00060_Mean,00060_Mean_cd,site_no
2015-10-01 00:00:00+00:00,6670.0,A,14191000
2015-10-02 00:00:00+00:00,6600.0,A,14191000
2015-10-03 00:00:00+00:00,6560.0,A,14191000
2015-10-04 00:00:00+00:00,6560.0,A,14191000
2015-10-05 00:00:00+00:00,6570.0,A,14191000
2015-10-06 00:00:00+00:00,6540.0,A,14191000
2015-10-07 00:00:00+00:00,6470.0,A,14191000
2015-10-08 00:00:00+00:00,6340.0,A,14191000
2015-10-09 00:00:00+00:00,6280.0,A,14191000
2015-10-10 00:00:00+00:00,6380.0,A,14191000
2015-10-11 00:00:00+00:00,6670.0,A,14191000
2015-10-12 00:00:00+00:00,6710.0,A,14191000
2015-10-13 00:00:00+00:00,6660.0,A,14191000
2015-10-14 00:00:00+00:00,6550.0,A,14191000
2015-10-15 00:00:00+00:00,6530.0,A,14191000
2015-10-16 00:00:00+00:00,6670.0,A,14191000
2015-10-17 00:00:00+00:00,7330.0,A,14191000
2015-10-18 00:00:00+00:00,7620.0,A,14191000
2015-10-19 00:00:00+00:00,7690.0,A,14191000
2015-10-20 00:00:00+00:00,7730.0,A,14191000
2015-10-21 00:00:00+00:00,7570.0,A,14191000
2015-10-22 00:00:00+00:00,7420.0,A,14191000
2015-10-23 00:00:00+00:00,7260.0,A,14191000
2015-10-24 00:00:00+00:00,7030.0,A,14191000
2015-10-25 00:00:00+00:00,7070.0,A,14191000
2015-10-26 00:00:00+00:00,7160.0,A,14191000
2015-10-27 00:00:00+00:00,7390.0,A,14191000
2015-10-28 00:00:00+00:00,7520.0,A,14191000
2015-10-29 00:00:00+00:00,7430.0,A,14191000
2015-10-30 00:00:00+00:00,7680.0,A,14191000
2015-10-31 00:00:00+00:00,8930.0,A,14191000
2015-11-01 00:00:00+00:00,15500.0,A,14191000
2015-11-02 00:00:00+00:00,14300.0,A,14191000
2015-11-03 00:00:00+00:00,12400.0,A,14191000
2015-11-04 00:00:00+00:00,11100.0,A,14191000
2015-11-05 00:00:00+00:00,10100.0,A,14191000
2015-11-06 00:00:00+00:00,9260.0,A,14191000
2015-11-07 00:00:00+00:00,8250.0,A,14191000
2015-11-08 00:00:00+00:00,8060.0,A,14191000
2015-11-09 00:00:00+00:00,9680.0,A,14191000
2015-11-10 00:00:00+00:00,10300.0,A,14191000
2015-11-11 00:00:00+00:00,9780.0,A,14191000
2015-11-12 00:00:00+00:00,9450.0,A,14191000
2015-11-13 00:00:00+00:00,9230.0,A,14191000
2015-11-14 00:00:00+00:00,10700.0,A,14191000
2015-11-15 00:00:00+00:00,10900.0,A,14191000
2015-11-16 00:00:00+00:00,10700.0,A,14191000
2015-11-17 00:00:00+00:00,11800.0,A,14191000
2015-11-18 00:00:00+00:00,21700.0,A,14191000
2015-11-19 00:00:00+00:00,23100.0,A,14191000
2015-11-20 00:00:00+00:00,30100.0,A,14191000
2015-11-21 00:00:00+00:00,28600.0,A,14191000
2015-11-22 00:00:00+00:00,21300.0,A,14191000
2015-11-23 00:00:00+00:00,17500.0,A,14191000
2015-11-24 00:00:00+00:00,16000.0,A,14191000
2015-11-25 00:00:00+00:00,15400.0,A,14191000
2015-11-26 00:00:00+00:00,14300.0,A,14191000
2015-11-27 00:00:00+00:00,14300.0,A,14191000
2015-11-28 00:00:00+00:00,14100.0,A,14191000
2015-11-29 00:00:00+00:00,13600.0,A,14191000
2015-11-30 00:00:00+00:00,12900.0,A,14191000
2015-12-01 00:00:00+00:00,12500.0,A,14191000
2015-12-02 00:00:00+00:00,13300.0,A,14191000
2015-12-03 00:00:00+00:00,15300.0,A,14191000
2015-12-04 00:00:00+00:00,17900.0,A,14191000
2015-12-05 00:00:00+00:00,27100.0,A,14191000
2015-12-06 00:00:00+00:00,29200.0,A,14191000
2015-12-07 00:00:00+00:00,39200.0,A,14191000
2015-12-08 00:00:00+00:00,64900.0,A,14191000
2015-12-09 00:00:00+00:00,73800.0,A,14191000
2015-12-10 00:00:00+00:00,74200.0,A,14191000
2015-12-11 00:00:00+00:00,74000.0,A,14191000
2015-12-12 00:00:00+00:00,76000.0,A,14191000
2015-12-13 00:00:00+00:00,85000.0,A,14191000
2015-12-14 00:00:00+00:00,93700.0,A,14191000
2015-12-15 00:00:00+00:00,93900.0,A,14191000
2015-12-16 00:00:00+00:00,85200.0,A,14191000
2015-12-17 00:00:00+00:00,75700.0,A,14191000
2015-12-18 00:00:00+00:00,101000.0,A,14191000
2015-12-19 00:00:00+00:00,121000.0,A,14191000
2015-12-20 00:00:00+00:00,120000.0,A,14191000
2015-12-21 00:00:00+00:00,112000.0,A,14191000
2015-12-22 00:00:00+00:00,95800.0,A,14191000
2015-12-23 00:00:00+00:00,86700.0,A,14191000
2015-12-24 00:00:00+00:00,92300.0,A,14191000
2015-12-25 00:00:00+00:00,95500.0,A,14191000
2015-12-26 00:00:00+00:00,92000.0,A,14191000
2015-12-27 00:00:00+00:00,84100.0,A,14191000
2015-12-28 00:00:00+00:00,79200.0,A,14191000
2015-12-29 00:00:00+00:00,74400.0,A,14191000
2015-12-30 00:00:00+00:00,64000.0,A,14191000
2015-12-31 00:00:00+00:00,50500.0,A,14191000
