datetime,00060_Mean,00060_Mean_cd,site_no,00095_Mean,00095_Mean_cd
2016-10-01 00:00:00+00:00,264.0,A,06306300,453.0,A
2016-10-02 00:00:00+00:00,244.0,A,06306300,,
2016-10-03 00:00:00+00:00,228.0,A,06306300,447.0,A
2016-10-04 00:00:00+00:00,253.0,A,06306300,454.0,A
2016-10-05 00:00:00+00:00,311.0,A,06306300,448.0,A
2016-10-06 00:00:00+00:00,281.0,A,06306300,447.0,A
2016-10-07 00:00:00+00:00,259.0,A,06306300,450.0,A
2016-10-08 00:00:00+00:00,250.0,A,06306300,472.0,A
2016-10-09 00:00:00+00:00,236.0,A,06306300,494.0,A
2016-10-10 00:00:00+00:00,227.0,A,06306300,513.0,A
2016-10-11 00:00:00+00:00,231.0,A,06306300,563.0,A
2016-10-12 00:00:00+00:00,244.0,A,06306300,625.0,A
2016-10-13 00:00:00+00:00,234.0,A,06306300,646.0,A
2016-10-14 00:00:00+00:00,234.0,A,06306300,612.0,A
2016-10-15 00:00:00+00:00,235.0,A,06306300,605.0,A
2016-10-16 00:00:00+00:00,226.0,A,06306300,595.0,A
2016-10-17 00:00:00+00:00,222.0,A,06306300,591.0,A
2016-10-18 00:00:00+00:00,229.0,A,06306300,580.0,A
2016-10-19 00:00:00+00:00,233.0,A,06306300,574.0,A
2016-10-20 00:00:00+00:00,223.0,A,06306300,588.0,A
2016-10-21 00:00:00+00:00,217.0,A,06306300,582.0,A
2016-10-22 00:00:00+00:00,221.0,A,06306300,585.0,A
2016-10-23 00:00:00+00:00,219.0,A,06306300,582.0,A
2016-10-24 00:00:00+00:00,214.0,A,06306300,580.0,A
2016-10-25 00:00:00+00:00,214.0,A,06306300,577.0,A
2016-10-26 00:00:00+00:00,212.0,A,06306300,575.0,A
2016-10-27 00:00:00+00:00,210.0,A,06306300,577.0,A
2016-10-28 00:00:00+00:00,210.0,A,06306300,582.0,A
2016-10-29 00:00:00+00:00,227.0,A,06306300,577.0,A
2016-10-30 00:00:00+00:00,295.0,A,06306300,557.0,A
2016-10-31 00:00:00+00:00,307.0,A,06306300,545.0,A
2016-11-01 00:00:00+00:00,277.0,A,06306300,545.0,A
2016-11-02 00:00:00+00:00,258.0,A,06306300,540.0,A
2016-11-03 00:00:00+00:00,246.0,A,06306300,550.0,A
2016-11-04 00:00:00+00:00,242.0,A,06306300,570.0,A
2016-11-05 00:00:00+00:00,236.0,A,06306300,564.0,A
2016-11-06 00:00:00+00:00,232.0,A,06306300,564.0,A
2016-11-07 00:00:00+00:00,228.0,A,06306300,565.0,A
2016-11-08 00:00:00+00:00,225.0,A,06306300,570.0,A
2016-11-09 00:00:00+00:00,221.0,A,06306300,,
2016-11-10 00:00:00+00:00,222.0,A,06306300,,
2016-11-11 00:00:00+00:00,217.0,A,06306300,,
2016-11-12 00:00:00+00:00,213.0,A,06306300,,
2016-11-13 00:00:00+00:00,211.0,A,06306300,,
2016-11-14 00:00:00+00:00,209.0,A,06306300,,
2016-11-15 00:00:00+00:00,213.0,A,06306300,,
2016-11-16 00:00:00+00:00,213.0,"A, e",06306300,,
2016-11-17 00:00:00+00:00,209.0,"A, e",06306300,,
2016-11-18 00:00:00+00:00,186.0,"A, e",06306300,,
2016-11-19 00:00:00+00:00,144.0,"A, e",06306300,,
2016-11-20 00:00:00+00:00,123.0,"A, e",06306300,,
2016-11-21 00:00:00+00:00,127.0,"A, e",06306300,,
2016-11-22 00:00:00+00:00,127.0,"A, e",06306300,,
2016-11-23 00:00:00+00:00,121.0,"A, e",06306300,,
2016-11-24 00:00:00+00:00,115.0,"A, e",06306300,,
2016-11-25 00:00:00+00:00,113.0,"A, e",06306300,,
2016-11-26 00:00:00+00:00,106.0,"A, e",06306300,,
2016-11-27 00:00:00+00:00,103.0,"A, e",06306300,,
2016-11-28 00:00:00+00:00,98.7,"A, e",06306300,,
2016-11-29 00:00:00+00:00,95.4,"A, e",06306300,,
2016-11-30 00:00:00+00:00,92.2,"A, e",06306300,,
2016-12-01 00:00:00+00:00,89.8,"A, e",06306300,,
2016-12-02 00:00:00+00:00,89.2,"A, e",06306300,,
2016-12-03 00:00:00+00:00,87.9,"A, e",06306300,,
2016-12-04 00:00:00+00:00,87.4,"A, e",06306300,,
2016-12-05 00:00:00+00:00,88.7,"A, e",06306300,,
2016-12-06 00:00:00+00:00,86.4,"A, e",06306300,,
2016-12-07 00:00:00+00:00,85.5,"A, e",06306300,,
2016-12-08 00:00:00+00:00,100.0,"A, e",06306300,,
2016-12-09 00:00:00+00:00,115.0,"A, e",06306300,,
2016-12-10 00:00:00+00:00,127.0,"A, e",06306300,,
2016-12-11 00:00:00+00:00,129.0,"A, e",06306300,,
2016-12-12 00:00:00+00:00,131.0,"A, e",06306300,,
2016-12-13 00:00:00+00:00,136.0,"A, e",06306300,,
2016-12-14 00:00:00+00:00,139.0,"A, e",06306300,,
2016-12-15 00:00:00+00:00,141.0,"A, e",06306300,,
2016-12-16 00:00:00+00:00,134.0,"A, e",06306300,,
2016-12-17 00:00:00+00:00,122.0,"A, e",06306300,,
2016-12-18 00:00:00+00:00,133.0,"A, e",06306300,,
2016-12-19 00:00:00+00:00,150.0,"A, e",06306300,,
2016-12-20 00:00:00+00:00,161.0,"A, e",06306300,,
2016-12-21 00:00:00+00:00,166.0,"A, e",06306300,,
2016-12-22 00:00:00+00:00,164.0,"A, e",06306300,,
2016-12-23 00:00:00+00:00,154.0,"A, e",06306300,,
2016-12-24 00:00:00+00:00,146.0,"A, e",06306300,,
2016-12-25 00:00:00+00:00,141.0,"A, e",06306300,,
2016-12-26 00:00:00+00:00,140.0,"A, e",06306300,,
2016-12-27 00:00:00+00:00,139.0,"A, e",06306300,,
2016-12-28 00:00:00+00:00,139.0,"A, e",06306300,,
2016-12-29 00:00:00+00:00,139.0,"A, e",06306300,,
2016-12-30 00:00:00+00:00,139.0,"A, e",06306300,,
2016-12-31 00:00:00+00:00,141.0,"A, e",06306300,,
2017-01-01 00:00:00+00:00,141.0,"A, e",06306300,,
2017-01-02 00:00:00+00:00,141.0,"A, e",06306300,,
2017-01-03 00:00:00+00:00,141.0,"A, e",06306300,,
2017-01-04 00:00:00+00:00,143.0,"A, e",06306300,,
2017-01-05 00:00:00+00:00,143.0,"A, e",06306300,,
2017-01-06 00:00:00+00:00,143.0,"A, e",06306300,,
2017-01-07 00:00:00+00:00,141.0,"A, e",06306300,,
2017-01-08 00:00:00+00:00,142.0,"A, e",06306300,,
2017-01-09 00:00:00+00:00,144.0,"A, e",06306300,,
2017-01-10 00:00:00+00:00,131.0,"A, e",06306300,,
2017-01-11 00:00:00+00:00,127.0,"A, e",06306300,,
2017-01-12 00:00:00+00:00,127.0,"A, e",06306300,,
2017-01-13 00:00:00+00:00,127.0,"A, e",06306300,,
2017-01-14 00:00:00+00:00,127.0,"A, e",06306300,,
2017-01-15 00:00:00+00:00,127.0,"A, e",06306300,,
2017-01-16 00:00:00+00:00,127.0,"A, e",06306300,,
2017-01-17 00:00:00+00:00,127.0,"A, e",06306300,,
2017-01-18 00:00:00+00:00,127.0,"A, e",06306300,,
2017-01-19 00:00:00+00:00,124.0,"A, e",06306300,,
2017-01-20 00:00:00+00:00,122.0,"A, e",06306300,,
2017-01-21 00:00:00+00:00,120.0,"A, e",06306300,,
2017-01-22 00:00:00+00:00,119.0,"A, e",06306300,,
