datetime,00060_Mean,00060_Mean_cd,site_no
2017-10-01 00:00:00+00:00,326.0,A,12359800
2017-10-02 00:00:00+00:00,336.0,A,12359800
2017-10-03 00:00:00+00:00,347.0,A,12359800
2017-10-04 00:00:00+00:00,337.0,A,12359800
2017-10-05 00:00:00+00:00,333.0,A,12359800
2017-10-06 00:00:00+00:00,330.0,A,12359800
2017-10-07 00:00:00+00:00,344.0,A,12359800
2017-10-08 00:00:00+00:00,368.0,A,12359800
2017-10-09 00:00:00+00:00,366.0,A,12359800
2017-10-10 00:00:00+00:00,355.0,A,12359800
2017-10-11 00:00:00+00:00,349.0,A,12359800
2017-10-12 00:00:00+00:00,347.0,A,12359800
2017-10-13 00:00:00+00:00,348.0,A,12359800
2017-10-14 00:00:00+00:00,347.0,A,12359800
2017-10-15 00:00:00+00:00,334.0,A,12359800
2017-10-16 00:00:00+00:00,331.0,A,12359800
2017-10-17 00:00:00+00:00,328.0,A,12359800
2017-10-18 00:00:00+00:00,333.0,A,12359800
2017-10-19 00:00:00+00:00,341.0,A,12359800
2017-10-20 00:00:00+00:00,347.0,A,12359800
2017-10-21 00:00:00+00:00,357.0,A,12359800
2017-10-22 00:00:00+00:00,465.0,A,12359800
2017-10-23 00:00:00+00:00,581.0,A,12359800
2017-10-24 00:00:00+00:00,528.0,A,12359800
2017-10-25 00:00:00+00:00,481.0,A,12359800
2017-10-26 00:00:00+00:00,499.0,A,12359800
2017-10-27 00:00:00+00:00,507.0,A,12359800
2017-10-28 00:00:00+00:00,486.0,A,12359800
2017-10-29 00:00:00+00:00,471.0,A,12359800
2017-10-30 00:00:00+00:00,462.0,A,12359800
2018-03-31 00:00:00+00:00,884.0,"A, e",12359800
2018-04-01 00:00:00+00:00,872.0,"A, e",12359800
2018-04-02 00:00:00+00:00,864.0,"A, e",12359800
2018-04-03 00:00:00+00:00,844.0,"A, e",12359800
2018-04-04 00:00:00+00:00,819.0,A,12359800
2018-04-05 00:00:00+00:00,798.0,A,12359800
2018-04-06 00:00:00+00:00,772.0,A,12359800
2018-04-07 00:00:00+00:00,754.0,A,12359800
2018-04-08 00:00:00+00:00,791.0,A,12359800
2018-04-09 00:00:00+00:00,837.0,A,12359800
2018-04-10 00:00:00+00:00,864.0,A,12359800
2018-04-11 00:00:00+00:00,950.0,A,12359800
2018-04-12 00:00:00+00:00,1150.0,A,12359800
2018-04-13 00:00:00+00:00,1200.0,A,12359800
2018-04-14 00:00:00+00:00,1190.0,A,12359800
2018-04-15 00:00:00+00:00,1350.0,A,12359800
2018-04-16 00:00:00+00:00,1640.0,A,12359800
2018-04-17 00:00:00+00:00,2020.0,A,12359800
2018-04-18 00:00:00+00:00,1930.0,A,12359800
2018-04-19 00:00:00+00:00,1950.0,A,12359800
2018-04-20 00:00:00+00:00,2310.0,A,12359800
2018-04-21 00:00:00+00:00,2940.0,A,12359800
2018-04-22 00:00:00+00:00,3250.0,A,12359800
2018-04-23 00:00:00+00:00,3540.0,A,12359800
2018-04-24 00:00:00+00:00,3430.0,A,12359800
2018-04-25 00:00:00+00:00,3970.0,A,12359800
2018-04-26 00:00:00+00:00,4740.0,A,12359800
2018-04-27 00:00:00+00:00,6660.0,A,12359800
2018-04-28 00:00:00+00:00,9670.0,A,12359800
2018-04-29 00:00:00+00:00,12000.0,A,12359800
2018-04-30 00:00:00+00:00,10700.0,A,12359800
2018-05-01 00:00:00+00:00,9600.0,A,12359800
2018-05-02 00:00:00+00:00,8680.0,A,12359800
2018-05-03 00:00:00+00:00,8640.0,A,12359800
2018-05-04 00:00:00+00:00,11300.0,A,12359800
2018-05-05 00:00:00+00:00,14100.0,A,12359800
2018-05-06 00:00:00+00:00,14900.0,A,12359800
2018-05-07 00:00:00+00:00,17300.0,A,12359800
2018-05-08 00:00:00+00:00,18300.0,A,12359800
2018-05-09 00:00:00+00:00,19500.0,A,12359800
2018-05-10 00:00:00+00:00,20500.0,A,12359800
2018-05-11 00:00:00+00:00,19700.0,A,12359800
2018-05-12 00:00:00+00:00,15900.0,A,12359800
2018-05-13 00:00:00+00:00,14300.0,A,12359800
2018-05-14 00:00:00+00:00,15100.0,A,12359800
2018-05-15 00:00:00+00:00,17300.0,A,12359800
2018-05-16 00:00:00+00:00,19400.0,A,12359800
2018-05-17 00:00:00+00:00,18500.0,A,12359800
2018-05-18 00:00:00+00:00,16900.0,A,12359800
2018-05-19 00:00:00+00:00,14900.0,A,12359800
2018-05-20 00:00:00+00:00,13500.0,A,12359800
2018-05-21 00:00:00+00:00,14700.0,A,12359800
2018-05-22 00:00:00+00:00,16100.0,A,12359800
2018-05-23 00:00:00+00:00,18100.0,A,12359800
2018-05-24 00:00:00+00:00,18500.0,A,12359800
2018-05-25 00:00:00+00:00,18900.0,A,12359800
2018-05-26 00:00:00+00:00,20100.0,A,12359800
2018-05-27 00:00:00+00:00,19000.0,A,12359800
2018-05-28 00:00:00+00:00,18300.0,A,12359800
2018-05-29 00:00:00+00:00,17800.0,A,12359800
2018-05-30 00:00:00+00:00,16400.0,A,12359800
2018-05-31 00:00:00+00:00,15000.0,A,12359800
2018-06-01 00:00:00+00:00,14900.0,A,12359800
2018-06-02 00:00:00+00:00,13400.0,A,12359800
2018-06-03 00:00:00+00:00,12100.0,A,12359800
2018-06-04 00:00:00+00:00,12900.0,A,12359800
2018-06-05 00:00:00+00:00,13400.0,A,12359800
2018-06-06 00:00:00+00:00,12100.0,A,12359800
2018-06-07 00:00:00+00:00,10900.0,A,12359800
2018-06-08 00:00:00+00:00,11100.0,A,12359800
2018-06-09 00:00:00+00:00,11700.0,A,12359800
2018-06-10 00:00:00+00:00,12400.0,A,12359800
