datetime,00060_Mean,00060_Mean_cd,site_no,00065_base gage_Mean,00065_base gage_Mean_cd,"00065_auxiliary gage, [auxiliary gage_Mean","00065_auxiliary gage, [auxiliary gage_Mean_cd"
2018-10-01 00:00:00+00:00,18400.0,A,12396500,86.83,A,84.67,A
2018-10-02 00:00:00+00:00,20600.0,A,12396500,87.48,A,85.39,A
2018-10-03 00:00:00+00:00,19900.0,A,12396500,87.47,A,85.63,A
2018-10-04 00:00:00+00:00,20500.0,A,12396500,87.4,A,85.04,A
2018-10-05 00:00:00+00:00,23600.0,A,12396500,88.33,A,86.49,A
2018-10-06 00:00:00+00:00,22500.0,A,12396500,87.95,A,86.07,A
2018-10-07 00:00:00+00:00,24800.0,A,12396500,89.45,A,88.26,A
2018-10-08 00:00:00+00:00,24500.0,A,12396500,89.03,A,87.61,A
2018-10-09 00:00:00+00:00,26000.0,A,12396500,88.94,A,87.26,A
2018-10-10 00:00:00+00:00,25900.0,A,12396500,89.06,A,87.44,A
2018-10-11 00:00:00+00:00,24800.0,A,12396500,88.51,A,86.61,A
2018-10-12 00:00:00+00:00,25400.0,A,12396500,88.97,A,87.38,A
2018-10-13 00:00:00+00:00,25300.0,A,12396500,88.62,A,86.69,A
2018-10-14 00:00:00+00:00,26100.0,A,12396500,89.17,A,87.69,A
2018-10-15 00:00:00+00:00,26000.0,A,12396500,89.03,A,87.37,A
2018-10-16 00:00:00+00:00,27700.0,A,12396500,89.68,A,88.25,A
2018-10-17 00:00:00+00:00,27800.0,A,12396500,89.68,A,88.16,A
2018-10-18 00:00:00+00:00,27700.0,A,12396500,89.24,A,87.47,A
2018-10-19 00:00:00+00:00,28200.0,A,12396500,89.56,A,87.9,A
2018-10-20 00:00:00+00:00,28900.0,A,12396500,89.45,A,87.6,A
2018-10-21 00:00:00+00:00,29800.0,A,12396500,90.05,A,88.52,A
2018-10-22 00:00:00+00:00,29800.0,A,12396500,90.34,A,88.94,A
2018-10-23 00:00:00+00:00,30400.0,A,12396500,90.17,A,88.55,A
2018-10-24 00:00:00+00:00,31200.0,A,12396500,90.37,A,88.8,A
2018-10-25 00:00:00+00:00,31500.0,A,12396500,91.24,A,90.02,A
2018-10-26 00:00:00+00:00,30900.0,A,12396500,90.34,A,88.79,A
2018-10-27 00:00:00+00:00,31200.0,A,12396500,90.83,A,89.51,A
2018-10-28 00:00:00+00:00,31800.0,A,12396500,91.11,A,89.84,A
2018-10-29 00:00:00+00:00,32100.0,A,12396500,91.04,A,89.69,A
2018-10-30 00:00:00+00:00,28800.0,A,12396500,90.21,A,88.81,A
2018-10-31 00:00:00+00:00,25200.0,A,12396500,88.63,A,86.73,A
2018-11-01 00:00:00+00:00,25200.0,A,12396500,88.7,A,86.93,A
2018-11-02 00:00:00+00:00,26700.0,A,12396500,89.35,A,87.82,A
2018-11-03 00:00:00+00:00,27000.0,A,12396500,89.4,A,87.87,A
2018-11-04 00:00:00+00:00,26800.0,A,12396500,89.5,A,88.09,A
2018-11-05 00:00:00+00:00,26800.0,A,12396500,89.15,A,87.48,A
2018-11-06 00:00:00+00:00,24200.0,A,12396500,88.8,A,87.37,A
2018-11-07 00:00:00+00:00,17900.0,A,12396500,88.08,A,87.19,A
2018-11-08 00:00:00+00:00,14600.0,A,12396500,87.27,A,86.45,A
2018-11-09 00:00:00+00:00,14600.0,A,12396500,86.61,A,85.24,A
2018-11-10 00:00:00+00:00,14200.0,A,12396500,86.05,A,84.61,A
2018-11-11 00:00:00+00:00,13800.0,A,12396500,86.12,A,84.79,A
2018-11-12 00:00:00+00:00,16900.0,A,12396500,86.55,A,84.81,A
2018-11-13 00:00:00+00:00,17700.0,A,12396500,87.19,A,85.84,A
2018-11-14 00:00:00+00:00,19300.0,A,12396500,88.17,A,87.06,A
2018-11-15 00:00:00+00:00,19500.0,A,12396500,88.35,A,87.31,A
