datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2019-10-01 00:00:00+00:00,,,06052500,878.0,A
2019-10-02 00:00:00+00:00,,,06052500,898.0,A
2019-10-03 00:00:00+00:00,,,06052500,917.0,A
2019-10-04 00:00:00+00:00,,,06052500,898.0,A
2019-10-05 00:00:00+00:00,,,06052500,927.0,A
2019-10-06 00:00:00+00:00,,,06052500,920.0,A
2019-10-07 00:00:00+00:00,,,06052500,902.0,A
2019-10-08 00:00:00+00:00,,,06052500,989.0,A
2019-10-09 00:00:00+00:00,,,06052500,1030.0,A
2019-10-10 00:00:00+00:00,,,06052500,1010.0,A
2019-10-11 00:00:00+00:00,,,06052500,957.0,A
2019-10-12 00:00:00+00:00,,,06052500,987.0,A
2019-10-13 00:00:00+00:00,,,06052500,1010.0,A
2019-10-14 00:00:00+00:00,,,06052500,1010.0,A
2019-10-15 00:00:00+00:00,,,06052500,992.0,A
2019-10-16 00:00:00+00:00,,,06052500,977.0,A
2019-10-17 00:00:00+00:00,,,06052500,974.0,A
2019-10-18 00:00:00+00:00,,,06052500,1030.0,A
2019-10-19 00:00:00+00:00,,,06052500,1010.0,A
2019-10-20 00:00:00+00:00,,,06052500,1020.0,A
2019-10-21 00:00:00+00:00,,,06052500,1020.0,A
2019-10-22 00:00:00+00:00,,,06052500,1010.0,A
2019-10-23 00:00:00+00:00,,,06052500,1010.0,A
2019-10-24 00:00:00+00:00,,,06052500,1010.0,A
2019-10-25 00:00:00+00:00,,,06052500,978.0,A
2019-10-26 00:00:00+00:00,,,06052500,1010.0,A
2019-10-27 00:00:00+00:00,,,06052500,1020.0,A
2019-10-28 00:00:00+00:00,,,06052500,916.0,A
2019-10-29 00:00:00+00:00,,,06052500,871.0,A
2019-10-30 00:00:00+00:00,,,06052500,873.0,A
2019-10-31 00:00:00+00:00,,,06052500,909.0,A
2019-11-01 00:00:00+00:00,,,06052500,888.0,A
2019-11-02 00:00:00+00:00,,,06052500,908.0,A
2019-11-03 00:00:00+00:00,,,06052500,935.0,A
2019-11-04 00:00:00+00:00,,,06052500,980.0,A
2019-11-05 00:00:00+00:00,,,06052500,1000.0,A
2019-11-06 00:00:00+00:00,,,06052500,1020.0,A
2019-11-07 00:00:00+00:00,,,06052500,975.0,A
2019-11-08 00:00:00+00:00,,,06052500,947.0,A
2019-11-09 00:00:00+00:00,,,06052500,967.0,A
2019-11-10 00:00:00+00:00,,,06052500,980.0,A
2019-11-11 00:00:00+00:00,,,06052500,960.0,A
2019-11-12 00:00:00+00:00,,,06052500,894.0,A
2019-11-13 00:00:00+00:00,,,06052500,983.0,A
2019-11-14 00:00:00+00:00,,,06052500,989.0,A
2019-11-15 00:00:00+00:00,,,06052500,963.0,A
2019-11-16 00:00:00+00:00,,,06052500,962.0,A
2019-11-17 00:00:00+00:00,,,06052500,965.0,A
2019-11-18 00:00:00+00:00,,,06052500,969.0,A
2019-11-19 00:00:00+00:00,,,06052500,995.0,A
2019-11-20 00:00:00+00:00,,,06052500,1030.0,A
2019-11-21 00:00:00+00:00,,,06052500,980.0,A
2019-11-22 00:00:00+00:00,,,06052500,900.0,A
2019-11-23 00:00:00+00:00,,,06052500,898.0,A
