datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2020-10-01 00:00:00+00:00,32.8,A,13335050,1.97,A
2020-10-02 00:00:00+00:00,33.2,A,13335050,1.97,A
2020-10-03 00:00:00+00:00,33.5,A,13335050,1.98,A
2020-10-04 00:00:00+00:00,32.7,A,13335050,1.97,A
2020-10-05 00:00:00+00:00,32.7,A,13335050,1.97,A
2020-10-06 00:00:00+00:00,33.3,A,13335050,1.97,A
2020-10-07 00:00:00+00:00,32.6,A,13335050,1.97,A
2020-10-08 00:00:00+00:00,32.1,A,13335050,1.97,A
2020-10-09 00:00:00+00:00,32.0,A,13335050,1.96,A
2020-10-10 00:00:00+00:00,34.8,A,13335050,1.99,A
2020-10-11 00:00:00+00:00,38.6,A,13335050,2.01,A
2020-10-12 00:00:00+00:00,42.3,A,13335050,2.04,A
2020-10-13 00:00:00+00:00,43.7,A,13335050,2.05,A
2020-10-14 00:00:00+00:00,46.3,A,13335050,2.06,A
2020-10-15 00:00:00+00:00,41.3,A,13335050,2.03,A
2020-10-16 00:00:00+00:00,40.4,A,13335050,2.02,A
2020-10-17 00:00:00+00:00,39.3,A,13335050,2.02,A
2020-10-18 00:00:00+00:00,40.2,A,13335050,2.02,A
2020-10-19 00:00:00+00:00,40.7,A,13335050,2.03,A
2020-10-20 00:00:00+00:00,40.6,A,13335050,2.03,A
2020-10-21 00:00:00+00:00,41.3,A,13335050,2.03,A
2020-10-22 00:00:00+00:00,42.9,A,13335050,2.04,A
2020-10-23 00:00:00+00:00,43.9,A,13335050,2.05,A
2020-10-24 00:00:00+00:00,53.9,A,13335050,2.11,A
2020-10-25 00:00:00+00:00,47.7,A,13335050,2.07,A
2020-10-26 00:00:00+00:00,43.7,A,13335050,2.05,A
2020-10-27 00:00:00+00:00,44.0,A,13335050,2.05,A
2020-10-28 00:00:00+00:00,44.7,A,13335050,2.05,A
2020-10-29 00:00:00+00:00,45.5,A,13335050,2.06,A
2020-10-30 00:00:00+00:00,44.1,A,13335050,2.05,A
2020-10-31 00:00:00+00:00,44.0,A,13335050,2.05,A
2020-11-01 00:00:00+00:00,43.7,A,13335050,2.05,A
2020-11-02 00:00:00+00:00,43.8,A,13335050,2.05,A
2020-11-03 00:00:00+00:00,44.0,A,13335050,2.05,A
2020-11-04 00:00:00+00:00,44.0,A,13335050,2.05,A
2020-11-05 00:00:00+00:00,44.5,A,13335050,2.05,A
2020-11-06 00:00:00+00:00,71.6,A,13335050,2.21,A
2020-11-07 00:00:00+00:00,70.4,A,13335050,2.21,A
2020-11-08 00:00:00+00:00,58.0,A,13335050,2.15,A
2020-11-09 00:00:00+00:00,52.3,A,13335050,2.12,A
2020-11-10 00:00:00+00:00,51.5,A,13335050,2.12,A
2020-11-11 00:00:00+00:00,53.9,A,13335050,2.13,A
2020-11-12 00:00:00+00:00,50.4,A,13335050,2.11,A
2020-11-13 00:00:00+00:00,53.4,A,13335050,2.13,A
2020-11-14 00:00:00+00:00,57.6,A,13335050,2.15,A
2020-11-15 00:00:00+00:00,55.3,A,13335050,2.14,A
2020-11-16 00:00:00+00:00,57.1,A,13335050,2.15,A
2020-11-17 00:00:00+00:00,62.8,A,13335050,2.18,A
2020-11-18 00:00:00+00:00,74.0,A,13335050,2.24,A
2020-11-19 00:00:00+00:00,79.9,A,13335050,2.27,A
2020-11-20 00:00:00+00:00,76.5,A,13335050,2.25,A
2020-11-21 00:00:00+00:00,72.7,A,13335050,2.23,A
2020-11-22 00:00:00+00:00,69.2,A,13335050,2.22,A
2020-11-23 00:00:00+00:00,66.6,A,13335050,2.2,A
2020-11-24 00:00:00+00:00,63.8,A,13335050,2.19,A
2020-11-25 00:00:00+00:00,62.4,A,13335050,2.18,A
2020-11-26 00:00:00+00:00,60.2,A,13335050,2.17,A
2020-11-27 00:00:00+00:00,58.6,A,13335050,2.16,A
2020-11-28 00:00:00+00:00,57.3,A,13335050,2.15,A
2020-11-29 00:00:00+00:00,55.8,A,13335050,2.14,A
2020-11-30 00:00:00+00:00,55.7,A,13335050,2.14,A
2020-12-01 00:00:00+00:00,54.4,A,13335050,2.13,A
2020-12-02 00:00:00+00:00,53.0,A,13335050,2.12,A
2020-12-03 00:00:00+00:00,52.9,A,13335050,2.12,A
2020-12-04 00:00:00+00:00,52.2,A,13335050,2.12,A
2020-12-05 00:00:00+00:00,51.1,A,13335050,2.11,A
2020-12-06 00:00:00+00:00,50.9,A,13335050,2.11,A
2020-12-07 00:00:00+00:00,50.9,A,13335050,2.11,A
2020-12-08 00:00:00+00:00,51.2,A,13335050,2.11,A
2020-12-09 00:00:00+00:00,52.5,A,13335050,2.12,A
2020-12-10 00:00:00+00:00,52.5,A,13335050,2.12,A
2020-12-11 00:00:00+00:00,52.2,A,13335050,2.12,A
2020-12-12 00:00:00+00:00,51.2,A,13335050,2.11,A
2020-12-13 00:00:00+00:00,51.0,A,13335050,2.11,A
2020-12-14 00:00:00+00:00,51.0,A,13335050,2.11,A
2020-12-15 00:00:00+00:00,50.7,A,13335050,2.11,A
2020-12-16 00:00:00+00:00,50.2,A,13335050,2.11,A
2020-12-17 00:00:00+00:00,51.8,A,13335050,2.12,A
2020-12-18 00:00:00+00:00,50.8,A,13335050,2.11,A
2020-12-19 00:00:00+00:00,50.6,A,13335050,2.11,A
2020-12-20 00:00:00+00:00,54.7,A,13335050,2.13,A
2020-12-21 00:00:00+00:00,73.2,A,13335050,2.24,A
2020-12-22 00:00:00+00:00,88.3,A,13335050,2.31,A
2020-12-23 00:00:00+00:00,83.6,A,13335050,2.29,A
2020-12-24 00:00:00+00:00,79.2,A,13335050,2.27,A
2020-12-25 00:00:00+00:00,77.8,A,13335050,2.26,A
2020-12-26 00:00:00+00:00,76.0,A,13335050,2.25,A
2020-12-27 00:00:00+00:00,72.9,A,13335050,2.24,A
2020-12-28 00:00:00+00:00,69.8,A,13335050,2.22,A
2020-12-29 00:00:00+00:00,66.9,A,13335050,2.2,A
2020-12-30 00:00:00+00:00,66.6,A,13335050,2.2,A
2020-12-31 00:00:00+00:00,65.3,A,13335050,2.19,A
2021-01-01 00:00:00+00:00,63.4,A,13335050,2.18,A
2021-01-02 00:00:00+00:00,63.0,A,13335050,2.18,A
2021-01-03 00:00:00+00:00,68.5,A,13335050,2.21,A
2021-01-04 00:00:00+00:00,73.9,A,13335050,2.24,A
2021-01-05 00:00:00+00:00,88.9,A,13335050,2.32,A
2021-01-06 00:00:00+00:00,84.8,A,13335050,2.3,A
2021-01-07 00:00:00+00:00,80.7,A,13335050,2.28,A
2021-01-08 00:00:00+00:00,76.8,A,13335050,2.26,A
2021-01-09 00:00:00+00:00,75.4,A,13335050,2.25,A
2021-01-10 00:00:00+00:00,72.9,A,13335050,2.24,A
2021-01-11 00:00:00+00:00,72.1,A,13335050,2.23,A
2021-01-12 00:00:00+00:00,91.1,A,13335050,2.32,A
2021-01-13 00:00:00+00:00,315.0,A,13335050,3.15,A
2021-01-14 00:00:00+00:00,236.0,A,13335050,2.92,A
2021-01-15 00:00:00+00:00,170.0,A,13335050,2.68,A
2021-01-16 00:00:00+00:00,138.0,A,13335050,2.55,A
2021-01-17 00:00:00+00:00,124.0,A,13335050,2.48,A
2021-01-18 00:00:00+00:00,116.0,A,13335050,2.45,A
2021-01-19 00:00:00+00:00,106.0,A,13335050,2.4,A
2021-01-20 00:00:00+00:00,99.6,A,13335050,2.37,A
2021-01-21 00:00:00+00:00,95.8,A,13335050,2.35,A
2021-01-22 00:00:00+00:00,92.1,A,13335050,2.33,A
2021-01-23 00:00:00+00:00,88.8,A,13335050,2.32,A
2021-01-24 00:00:00+00:00,83.3,A,13335050,2.29,A
2021-01-25 00:00:00+00:00,83.4,A,13335050,2.29,A
2021-01-26 00:00:00+00:00,82.1,A,13335050,2.28,A
2021-01-27 00:00:00+00:00,80.1,A,13335050,2.27,A
2021-01-28 00:00:00+00:00,78.0,A,13335050,2.26,A
2021-01-29 00:00:00+00:00,75.9,A,13335050,2.25,A
2021-01-30 00:00:00+00:00,73.6,A,13335050,2.24,A
2021-01-31 00:00:00+00:00,71.4,A,13335050,2.23,A
2021-02-01 00:00:00+00:00,70.2,A,13335050,2.22,A
2021-02-02 00:00:00+00:00,71.4,A,13335050,2.23,A
2021-02-03 00:00:00+00:00,73.8,A,13335050,2.24,A
2021-02-04 00:00:00+00:00,70.9,A,13335050,2.23,A
2021-02-05 00:00:00+00:00,70.1,A,13335050,2.22,A
2021-02-06 00:00:00+00:00,70.1,A,13335050,2.22,A
