datetime,00060_Mean,00060_Mean_cd,site_no
2022-10-01 00:00:00+00:00,24.5,P,08291000
2022-10-02 00:00:00+00:00,24.8,P,08291000
2022-10-03 00:00:00+00:00,26.8,P,08291000
2022-10-04 00:00:00+00:00,28.2,P,08291000
2022-10-05 00:00:00+00:00,43.8,P,08291000
2022-10-06 00:00:00+00:00,33.4,P,08291000
2022-10-07 00:00:00+00:00,30.4,P,08291000
2022-10-08 00:00:00+00:00,32.5,P,08291000
2022-10-09 00:00:00+00:00,35.0,P,08291000
2022-10-10 00:00:00+00:00,32.8,P,08291000
2022-10-11 00:00:00+00:00,31.3,P,08291000
2022-10-12 00:00:00+00:00,29.7,P,08291000
2022-10-13 00:00:00+00:00,29.0,P,08291000
2022-10-14 00:00:00+00:00,28.4,P,08291000
2022-10-15 00:00:00+00:00,27.4,P,08291000
2022-10-16 00:00:00+00:00,32.4,P,08291000
2022-10-17 00:00:00+00:00,31.5,P,08291000
2022-10-18 00:00:00+00:00,30.4,P,08291000
2022-10-19 00:00:00+00:00,29.1,P,08291000
2022-10-20 00:00:00+00:00,28.1,P,08291000
2022-10-21 00:00:00+00:00,27.0,P,08291000
2022-10-22 00:00:00+00:00,26.4,P,08291000
2022-10-23 00:00:00+00:00,26.9,P,08291000
2022-10-24 00:00:00+00:00,27.8,P,08291000
2022-10-25 00:00:00+00:00,27.1,P,08291000
2022-10-26 00:00:00+00:00,27.3,P,08291000
2022-10-27 00:00:00+00:00,26.8,P,08291000
2022-10-28 00:00:00+00:00,26.0,P,08291000
2022-10-29 00:00:00+00:00,25.4,P,08291000
2022-10-30 00:00:00+00:00,24.5,P,08291000
2022-10-31 00:00:00+00:00,23.6,P,08291000
2022-11-01 00:00:00+00:00,23.1,P,08291000
2022-11-02 00:00:00+00:00,22.8,P,08291000
2022-11-03 00:00:00+00:00,22.9,P,08291000
2022-11-04 00:00:00+00:00,22.4,P,08291000
2022-11-05 00:00:00+00:00,22.5,P,08291000
2022-11-06 00:00:00+00:00,24.0,P,08291000
2022-11-07 00:00:00+00:00,24.0,P,08291000
2022-11-08 00:00:00+00:00,23.9,P,08291000
2022-11-09 00:00:00+00:00,23.6,P,08291000
2022-11-10 00:00:00+00:00,22.8,P,08291000
2022-11-11 00:00:00+00:00,16.1,P,08291000
2022-11-12 00:00:00+00:00,17.7,P,08291000
2022-11-13 00:00:00+00:00,22.5,P,08291000
2022-11-14 00:00:00+00:00,23.1,P,08291000
2022-11-15 00:00:00+00:00,15.8,P,08291000
