datetime,00060_Mean,00060_Mean_cd,site_no
2022-10-01 00:00:00+00:00,5.05,A,09329050
2022-10-02 00:00:00+00:00,5.32,A,09329050
2022-10-03 00:00:00+00:00,5.48,A,09329050
2022-10-04 00:00:00+00:00,5.19,A,09329050
2022-10-05 00:00:00+00:00,5.15,A,09329050
2022-10-06 00:00:00+00:00,5.1,A,09329050
2022-10-07 00:00:00+00:00,5.07,A,09329050
2022-10-08 00:00:00+00:00,5.12,A,09329050
2022-10-09 00:00:00+00:00,5.12,A,09329050
2022-10-10 00:00:00+00:00,5.05,A,09329050
2022-10-11 00:00:00+00:00,4.94,A,09329050
2022-10-12 00:00:00+00:00,4.79,A,09329050
2022-10-13 00:00:00+00:00,4.96,A,09329050
2022-10-14 00:00:00+00:00,5.04,A,09329050
2022-10-15 00:00:00+00:00,5.02,A,09329050
2022-10-16 00:00:00+00:00,4.99,A,09329050
2022-10-17 00:00:00+00:00,4.99,A,09329050
2022-10-18 00:00:00+00:00,5.02,A,09329050
2022-10-19 00:00:00+00:00,4.98,A,09329050
2022-10-20 00:00:00+00:00,4.95,A,09329050
2022-10-21 00:00:00+00:00,4.96,A,09329050
2022-10-22 00:00:00+00:00,4.92,"A, e",09329050
2022-10-23 00:00:00+00:00,4.85,"A, e",09329050
2022-10-24 00:00:00+00:00,4.87,"A, e",09329050
2022-10-25 00:00:00+00:00,4.93,"A, e",09329050
2022-10-26 00:00:00+00:00,5.04,"A, e",09329050
2022-10-27 00:00:00+00:00,4.97,"A, e",09329050
2022-10-28 00:00:00+00:00,4.9,"A, e",09329050
2022-10-29 00:00:00+00:00,4.98,"A, e",09329050
2022-10-30 00:00:00+00:00,5.1,"A, e",09329050
2022-10-31 00:00:00+00:00,5.16,"A, e",09329050
2022-11-01 00:00:00+00:00,5.2,"A, e",09329050
2022-11-02 00:00:00+00:00,5.2,"A, e",09329050
2022-11-03 00:00:00+00:00,5.22,"A, e",09329050
2022-11-04 00:00:00+00:00,5.12,"A, e",09329050
2022-11-05 00:00:00+00:00,5.05,"A, e",09329050
2022-11-06 00:00:00+00:00,5.02,"A, e",09329050
2022-11-07 00:00:00+00:00,5.02,"A, e",09329050
2022-11-08 00:00:00+00:00,5.06,"A, e",09329050
2022-11-09 00:00:00+00:00,5.13,"A, e",09329050
2022-11-10 00:00:00+00:00,5.21,"A, e",09329050
2022-11-11 00:00:00+00:00,5.32,"A, e",09329050
2022-11-12 00:00:00+00:00,5.56,"A, e",09329050
2022-11-13 00:00:00+00:00,5.67,"A, e",09329050
2022-11-14 00:00:00+00:00,5.66,A,09329050
2022-11-15 00:00:00+00:00,5.54,A,09329050
2022-11-16 00:00:00+00:00,5.64,A,09329050
2022-11-17 00:00:00+00:00,5.72,A,09329050
2022-11-18 00:00:00+00:00,6.13,A,09329050
2022-11-19 00:00:00+00:00,5.8,"A, e",09329050
2022-11-20 00:00:00+00:00,5.92,"A, e",09329050
2022-11-21 00:00:00+00:00,5.93,"A, e",09329050
2022-11-22 00:00:00+00:00,5.93,"A, e",09329050
2022-11-23 00:00:00+00:00,5.93,"A, e",09329050
2022-11-24 00:00:00+00:00,5.93,"A, e",09329050
2022-11-25 00:00:00+00:00,5.91,"A, e",09329050
2022-11-26 00:00:00+00:00,5.88,"A, e",09329050
2022-11-27 00:00:00+00:00,5.85,"A, e",09329050
2022-11-28 00:00:00+00:00,5.82,"A, e",09329050
2022-11-29 00:00:00+00:00,5.8,"A, e",09329050
2022-11-30 00:00:00+00:00,5.79,"A, e",09329050
2022-12-01 00:00:00+00:00,5.77,"A, e",09329050
2022-12-02 00:00:00+00:00,5.74,"A, e",09329050
2022-12-03 00:00:00+00:00,5.7,"A, e",09329050
2022-12-04 00:00:00+00:00,5.66,"A, e",09329050
2022-12-05 00:00:00+00:00,5.63,"A, e",09329050
2022-12-06 00:00:00+00:00,5.59,"A, e",09329050
2022-12-07 00:00:00+00:00,5.54,"A, e",09329050
2022-12-08 00:00:00+00:00,5.49,"A, e",09329050
2022-12-09 00:00:00+00:00,5.44,"A, e",09329050
2022-12-10 00:00:00+00:00,5.39,"A, e",09329050
2022-12-11 00:00:00+00:00,5.17,"A, e",09329050
2022-12-12 00:00:00+00:00,5.28,A,09329050
2022-12-13 00:00:00+00:00,5.27,A,09329050
2022-12-14 00:00:00+00:00,5.13,A,09329050
2022-12-15 00:00:00+00:00,5.12,A,09329050
2022-12-16 00:00:00+00:00,5.11,A,09329050
2022-12-17 00:00:00+00:00,5.11,A,09329050
2022-12-18 00:00:00+00:00,5.1,A,09329050
2022-12-19 00:00:00+00:00,4.97,A,09329050
2022-12-20 00:00:00+00:00,4.97,A,09329050
2022-12-21 00:00:00+00:00,4.96,A,09329050
2022-12-22 00:00:00+00:00,4.95,A,09329050
2022-12-23 00:00:00+00:00,4.96,A,09329050
2022-12-24 00:00:00+00:00,4.94,A,09329050
2022-12-25 00:00:00+00:00,4.95,A,09329050
2022-12-26 00:00:00+00:00,4.99,A,09329050
2022-12-27 00:00:00+00:00,5.07,A,09329050
2022-12-28 00:00:00+00:00,5.06,A,09329050
2022-12-29 00:00:00+00:00,4.9,A,09329050
2022-12-30 00:00:00+00:00,4.92,A,09329050
2022-12-31 00:00:00+00:00,5.04,A,09329050
2023-01-01 00:00:00+00:00,5.13,A,09329050
2023-01-02 00:00:00+00:00,5.15,A,09329050
2023-01-03 00:00:00+00:00,5.12,A,09329050
2023-01-04 00:00:00+00:00,5.06,A,09329050
2023-01-05 00:00:00+00:00,5.11,A,09329050
2023-01-06 00:00:00+00:00,5.12,A,09329050
2023-01-07 00:00:00+00:00,5.04,A,09329050
2023-01-08 00:00:00+00:00,4.98,A,09329050
2023-01-09 00:00:00+00:00,5.01,A,09329050
2023-01-10 00:00:00+00:00,5.08,A,09329050
2023-01-11 00:00:00+00:00,5.08,A,09329050
2023-01-12 00:00:00+00:00,5.15,A,09329050
2023-01-13 00:00:00+00:00,5.11,A,09329050
2023-01-14 00:00:00+00:00,5.11,A,09329050
2023-01-15 00:00:00+00:00,5.11,A,09329050
2023-01-16 00:00:00+00:00,5.22,A,09329050
2023-01-17 00:00:00+00:00,5.27,A,09329050
2023-01-18 00:00:00+00:00,5.18,A,09329050
2023-01-19 00:00:00+00:00,5.05,A,09329050
2023-01-20 00:00:00+00:00,5.0,A,09329050
2023-01-21 00:00:00+00:00,4.96,A,09329050
2023-01-22 00:00:00+00:00,4.94,A,09329050
2023-01-23 00:00:00+00:00,5.03,A,09329050
2023-01-24 00:00:00+00:00,5.05,A,09329050
2023-01-25 00:00:00+00:00,5.0,A,09329050
2023-01-26 00:00:00+00:00,5.09,A,09329050
2023-01-27 00:00:00+00:00,5.08,A,09329050
2023-01-28 00:00:00+00:00,5.1,A,09329050
2023-01-29 00:00:00+00:00,5.12,"A, e",09329050
2023-01-30 00:00:00+00:00,5.11,"A, e",09329050
