datetime,00060_Mean,00060_Mean_cd,site_no
2023-10-01 00:00:00+00:00,1.5,A,08379500
2023-10-02 00:00:00+00:00,56.8,A,08379500
2023-10-03 00:00:00+00:00,140.0,A,08379500
2023-10-04 00:00:00+00:00,6.25,"A, e",08379500
2023-10-05 00:00:00+00:00,6.67,"A, e",08379500
2023-10-06 00:00:00+00:00,7.44,"A, e",08379500
2023-10-07 00:00:00+00:00,12.7,"A, e",08379500
2023-10-08 00:00:00+00:00,7.67,"A, e",08379500
2023-10-09 00:00:00+00:00,4.1,"A, e",08379500
2023-10-10 00:00:00+00:00,3.15,"A, e",08379500
2023-10-11 00:00:00+00:00,2.07,"A, e",08379500
2023-10-12 00:00:00+00:00,3.64,"A, e",08379500
2023-10-13 00:00:00+00:00,7.04,"A, e",08379500
2023-10-14 00:00:00+00:00,9.17,"A, e",08379500
2023-10-15 00:00:00+00:00,10.6,"A, e",08379500
2023-10-16 00:00:00+00:00,22.6,"A, e",08379500
2023-10-17 00:00:00+00:00,25.1,"A, e",08379500
2023-10-18 00:00:00+00:00,25.9,"A, e",08379500
2023-10-19 00:00:00+00:00,15.3,"A, e",08379500
2023-10-20 00:00:00+00:00,6.04,"A, e",08379500
2023-10-21 00:00:00+00:00,2.94,"A, e",08379500
2023-10-22 00:00:00+00:00,3.1,"A, e",08379500
2023-10-23 00:00:00+00:00,4.11,"A, e",08379500
2023-10-24 00:00:00+00:00,5.32,"A, e",08379500
2023-10-25 00:00:00+00:00,4.65,"A, e",08379500
2023-10-26 00:00:00+00:00,4.44,"A, e",08379500
2023-10-27 00:00:00+00:00,4.74,"A, e",08379500
2023-10-28 00:00:00+00:00,4.54,"A, e",08379500
2023-10-29 00:00:00+00:00,4.89,"A, e",08379500
2023-10-30 00:00:00+00:00,4.71,"A, e",08379500
2023-10-31 00:00:00+00:00,5.51,"A, e",08379500
2023-11-01 00:00:00+00:00,5.95,"A, e",08379500
2023-11-02 00:00:00+00:00,5.94,"P, e",08379500
2023-11-03 00:00:00+00:00,5.11,P,08379500
2023-11-04 00:00:00+00:00,5.43,P,08379500
2023-11-05 00:00:00+00:00,5.45,P,08379500
2023-11-06 00:00:00+00:00,5.61,P,08379500
2023-11-07 00:00:00+00:00,4.03,P,08379500
2023-11-08 00:00:00+00:00,3.95,P,08379500
2023-11-09 00:00:00+00:00,5.21,P,08379500
2023-11-10 00:00:00+00:00,6.73,P,08379500
2023-11-11 00:00:00+00:00,7.25,P,08379500
2023-11-12 00:00:00+00:00,7.66,P,08379500
2023-11-13 00:00:00+00:00,8.21,P,08379500
2023-11-14 00:00:00+00:00,7.45,P,08379500
2023-11-15 00:00:00+00:00,7.37,P,08379500
2023-11-16 00:00:00+00:00,8.28,P,08379500
2023-11-17 00:00:00+00:00,8.15,P,08379500
2023-11-18 00:00:00+00:00,8.01,P,08379500
2023-11-19 00:00:00+00:00,7.6,P,08379500
2023-11-20 00:00:00+00:00,6.9,P,08379500
2023-11-21 00:00:00+00:00,5.88,P,08379500
2023-11-22 00:00:00+00:00,4.8,P,08379500
2023-11-23 00:00:00+00:00,4.7,P,08379500
2023-11-24 00:00:00+00:00,4.21,P,08379500
2023-11-25 00:00:00+00:00,4.42,P,08379500
2023-11-26 00:00:00+00:00,4.65,P,08379500
2023-11-27 00:00:00+00:00,4.96,P,08379500
2023-11-28 00:00:00+00:00,3.85,P,08379500
2023-11-29 00:00:00+00:00,3.41,P,08379500
2023-12-01 00:00:00+00:00,4.55,P,08379500
2023-12-02 00:00:00+00:00,5.89,P,08379500
2023-12-03 00:00:00+00:00,5.86,P,08379500
2023-12-04 00:00:00+00:00,5.57,P,08379500
2023-12-06 00:00:00+00:00,6.18,P,08379500
2023-12-07 00:00:00+00:00,7.68,P,08379500
2023-12-10 00:00:00+00:00,6.18,P,08379500
2023-12-12 00:00:00+00:00,3.29,P,08379500
2023-12-13 00:00:00+00:00,5.7,P,08379500
2023-12-14 00:00:00+00:00,7.58,P,08379500
2023-12-15 00:00:00+00:00,6.09,P,08379500
2023-12-16 00:00:00+00:00,4.62,P,08379500
2023-12-17 00:00:00+00:00,4.35,P,08379500
