datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1984-10-01 00:00:00+00:00,8.4,A,06041000,1870.0,A
1984-10-02 00:00:00+00:00,8.7,A,06041000,1770.0,A
1984-10-03 00:00:00+00:00,9.6,A,06041000,1880.0,A
1984-10-04 00:00:00+00:00,10.5,A,06041000,1870.0,A
1984-10-05 00:00:00+00:00,10.3,A,06041000,1860.0,A
1984-10-06 00:00:00+00:00,10.7,A,06041000,1860.0,A
1984-10-07 00:00:00+00:00,11.4,A,06041000,1860.0,A
1984-10-08 00:00:00+00:00,11.6,A,06041000,1850.0,A
1984-10-09 00:00:00+00:00,11.0,A,06041000,1860.0,A
1984-10-10 00:00:00+00:00,11.6,A,06041000,1860.0,A
1984-10-11 00:00:00+00:00,12.0,A,06041000,1850.0,A
1984-10-12 00:00:00+00:00,10.8,A,06041000,1880.0,A
1984-10-13 00:00:00+00:00,9.3,A,06041000,1850.0,A
1984-10-14 00:00:00+00:00,8.2,A,06041000,1820.0,A
1984-10-15 00:00:00+00:00,7.6,A,06041000,1850.0,A
1984-10-16 00:00:00+00:00,7.1,A,06041000,1880.0,A
1984-10-17 00:00:00+00:00,6.5,A,06041000,1860.0,A
1984-10-18 00:00:00+00:00,5.2,A,06041000,1870.0,A
1984-10-19 00:00:00+00:00,3.7,A,06041000,1820.0,A
1984-10-20 00:00:00+00:00,2.8,A,06041000,1800.0,A
1984-10-21 00:00:00+00:00,2.3,A,06041000,1770.0,A
1984-10-22 00:00:00+00:00,2.7,A,06041000,1760.0,A
1984-10-23 00:00:00+00:00,2.9,A,06041000,1760.0,A
1984-10-24 00:00:00+00:00,3.3,A,06041000,1760.0,A
1984-10-25 00:00:00+00:00,3.3,A,06041000,1840.0,A
1984-10-26 00:00:00+00:00,3.5,A,06041000,1770.0,A
1984-10-27 00:00:00+00:00,3.0,A,06041000,1720.0,A
1984-10-28 00:00:00+00:00,2.5,A,06041000,1740.0,A
1984-10-29 00:00:00+00:00,2.4,A,06041000,1710.0,A
1984-10-30 00:00:00+00:00,2.2,A,06041000,1710.0,A
1984-10-31 00:00:00+00:00,2.1,A,06041000,1680.0,A
1984-11-01 00:00:00+00:00,1.5,A,06041000,1730.0,A
1984-11-02 00:00:00+00:00,1.5,A,06041000,1750.0,A
1984-11-03 00:00:00+00:00,1.7,A,06041000,1650.0,A
1984-11-04 00:00:00+00:00,1.8,A,06041000,1660.0,A
1984-11-05 00:00:00+00:00,1.7,A,06041000,1670.0,A
1984-11-06 00:00:00+00:00,1.8,A,06041000,1660.0,A
1984-11-07 00:00:00+00:00,2.1,A,06041000,1670.0,A
1984-11-08 00:00:00+00:00,2.3,A,06041000,1690.0,A
1984-11-09 00:00:00+00:00,2.4,A,06041000,2080.0,A
1984-11-10 00:00:00+00:00,2.3,A,06041000,2400.0,A
1984-11-11 00:00:00+00:00,2.0,A,06041000,2390.0,A
1984-11-12 00:00:00+00:00,2.3,A,06041000,2460.0,A
1984-11-13 00:00:00+00:00,2.8,A,06041000,2550.0,A
1984-11-14 00:00:00+00:00,3.0,A,06041000,2530.0,A
1984-11-15 00:00:00+00:00,2.5,A,06041000,2810.0,A
1984-11-16 00:00:00+00:00,1.9,A,06041000,2850.0,A
1984-11-17 00:00:00+00:00,1.7,A,06041000,2770.0,A
1984-11-18 00:00:00+00:00,1.2,A,06041000,2780.0,A
1984-11-19 00:00:00+00:00,1.4,A,06041000,2800.0,A
1984-11-20 00:00:00+00:00,1.4,A,06041000,2810.0,A
1984-11-21 00:00:00+00:00,1.3,A,06041000,2770.0,A
1984-11-22 00:00:00+00:00,1.6,A,06041000,2840.0,A
1984-11-23 00:00:00+00:00,1.6,A,06041000,2950.0,A
1984-11-24 00:00:00+00:00,2.0,A,06041000,2950.0,A
1984-11-25 00:00:00+00:00,1.7,A,06041000,2950.0,A
1984-11-26 00:00:00+00:00,1.2,A,06041000,2990.0,A
1984-11-27 00:00:00+00:00,1.2,A,06041000,2960.0,A
1984-11-28 00:00:00+00:00,1.4,A,06041000,2920.0,A
1984-11-29 00:00:00+00:00,1.6,A,06041000,2960.0,A
1984-11-30 00:00:00+00:00,1.5,A,06041000,2960.0,A
1984-12-01 00:00:00+00:00,1.3,A,06041000,2960.0,A
1984-12-02 00:00:00+00:00,1.3,A,06041000,2950.0,A
1984-12-03 00:00:00+00:00,1.3,A,06041000,2890.0,A
1984-12-04 00:00:00+00:00,1.3,A,06041000,2750.0,A
1984-12-05 00:00:00+00:00,1.4,A,06041000,2340.0,A
1984-12-06 00:00:00+00:00,1.5,A,06041000,1990.0,A
1984-12-07 00:00:00+00:00,1.6,A,06041000,1380.0,A
1984-12-08 00:00:00+00:00,1.9,A,06041000,1230.0,A
1984-12-09 00:00:00+00:00,2.0,A,06041000,1400.0,A
1984-12-10 00:00:00+00:00,2.0,A,06041000,1670.0,A
1984-12-11 00:00:00+00:00,1.7,A,06041000,1700.0,A
1984-12-12 00:00:00+00:00,1.5,A,06041000,1600.0,A
1984-12-13 00:00:00+00:00,1.5,A,06041000,1500.0,A
1984-12-14 00:00:00+00:00,1.3,A,06041000,1450.0,A
1984-12-15 00:00:00+00:00,1.4,A,06041000,1400.0,A
1984-12-16 00:00:00+00:00,1.0,A,06041000,1450.0,A
1984-12-17 00:00:00+00:00,1.1,A,06041000,1490.0,A
1984-12-18 00:00:00+00:00,1.1,A,06041000,1450.0,A
1984-12-19 00:00:00+00:00,1.2,A,06041000,1550.0,A
1984-12-20 00:00:00+00:00,1.3,A,06041000,1510.0,A
1984-12-21 00:00:00+00:00,1.4,A,06041000,1420.0,A
1984-12-22 00:00:00+00:00,1.5,A,06041000,1490.0,A
1984-12-23 00:00:00+00:00,1.5,A,06041000,1580.0,A
1984-12-24 00:00:00+00:00,1.2,A,06041000,1620.0,A
1984-12-25 00:00:00+00:00,1.2,A,06041000,1510.0,A
1984-12-26 00:00:00+00:00,1.1,A,06041000,1430.0,A
1984-12-27 00:00:00+00:00,1.2,A,06041000,1570.0,A
1984-12-28 00:00:00+00:00,1.0,A,06041000,1710.0,A
1984-12-29 00:00:00+00:00,1.0,A,06041000,1720.0,A
1984-12-30 00:00:00+00:00,1.1,A,06041000,1620.0,A
1984-12-31 00:00:00+00:00,1.1,A,06041000,1680.0,A
