datetime,00060_Mean,00060_Mean_cd,site_no
1984-10-01 00:00:00+00:00,765.0,A,14113000
1984-10-02 00:00:00+00:00,764.0,A,14113000
1984-10-03 00:00:00+00:00,770.0,A,14113000
1984-10-04 00:00:00+00:00,780.0,A,14113000
1984-10-05 00:00:00+00:00,768.0,A,14113000
1984-10-06 00:00:00+00:00,766.0,A,14113000
1984-10-07 00:00:00+00:00,775.0,A,14113000
1984-10-08 00:00:00+00:00,790.0,A,14113000
1984-10-09 00:00:00+00:00,818.0,A,14113000
1984-10-10 00:00:00+00:00,815.0,A,14113000
1984-10-11 00:00:00+00:00,814.0,A,14113000
1984-10-12 00:00:00+00:00,805.0,A,14113000
1984-10-13 00:00:00+00:00,893.0,A,14113000
1984-10-14 00:00:00+00:00,873.0,A,14113000
1984-10-15 00:00:00+00:00,869.0,A,14113000
1984-10-16 00:00:00+00:00,845.0,A,14113000
1984-10-17 00:00:00+00:00,830.0,A,14113000
1984-10-18 00:00:00+00:00,818.0,A,14113000
1984-10-19 00:00:00+00:00,815.0,A,14113000
1984-10-20 00:00:00+00:00,818.0,A,14113000
1984-10-21 00:00:00+00:00,809.0,A,14113000
1984-10-22 00:00:00+00:00,802.0,A,14113000
1984-10-23 00:00:00+00:00,802.0,A,14113000
1984-10-24 00:00:00+00:00,809.0,A,14113000
1984-10-25 00:00:00+00:00,829.0,A,14113000
1984-10-26 00:00:00+00:00,912.0,A,14113000
1984-10-27 00:00:00+00:00,872.0,A,14113000
1984-10-28 00:00:00+00:00,862.0,A,14113000
1984-10-29 00:00:00+00:00,843.0,A,14113000
1984-10-30 00:00:00+00:00,830.0,A,14113000
1984-10-31 00:00:00+00:00,829.0,A,14113000
1984-11-01 00:00:00+00:00,819.0,A,14113000
1984-11-02 00:00:00+00:00,1040.0,A,14113000
1984-11-03 00:00:00+00:00,1320.0,A,14113000
1984-11-04 00:00:00+00:00,1150.0,A,14113000
1984-11-05 00:00:00+00:00,1020.0,A,14113000
1984-11-06 00:00:00+00:00,960.0,A,14113000
1984-11-07 00:00:00+00:00,935.0,A,14113000
1984-11-08 00:00:00+00:00,912.0,A,14113000
1984-11-09 00:00:00+00:00,917.0,A,14113000
1984-11-10 00:00:00+00:00,1080.0,A,14113000
1984-11-11 00:00:00+00:00,1150.0,A,14113000
1984-11-12 00:00:00+00:00,1370.0,A,14113000
1984-11-13 00:00:00+00:00,1440.0,A,14113000
1984-11-14 00:00:00+00:00,1380.0,A,14113000
1984-11-15 00:00:00+00:00,1190.0,A,14113000
1984-11-16 00:00:00+00:00,1110.0,A,14113000
