datetime,00060_Mean,00060_Mean_cd,site_no
1985-04-01 00:00:00+00:00,25.0,A,06278500
1985-04-02 00:00:00+00:00,31.0,A,06278500
1985-04-03 00:00:00+00:00,35.0,A,06278500
1985-04-04 00:00:00+00:00,27.0,A,06278500
1985-04-05 00:00:00+00:00,27.0,A,06278500
1985-04-06 00:00:00+00:00,25.0,A,06278500
1985-04-07 00:00:00+00:00,24.0,A,06278500
1985-04-08 00:00:00+00:00,25.0,A,06278500
1985-04-09 00:00:00+00:00,35.0,A,06278500
1985-04-10 00:00:00+00:00,46.0,A,06278500
1985-04-11 00:00:00+00:00,53.0,A,06278500
1985-04-12 00:00:00+00:00,51.0,A,06278500
1985-04-13 00:00:00+00:00,43.0,A,06278500
1985-04-14 00:00:00+00:00,52.0,A,06278500
1985-04-15 00:00:00+00:00,64.0,A,06278500
1985-04-16 00:00:00+00:00,76.0,A,06278500
1985-04-17 00:00:00+00:00,92.0,A,06278500
1985-04-18 00:00:00+00:00,108.0,A,06278500
1985-04-19 00:00:00+00:00,108.0,A,06278500
1985-04-20 00:00:00+00:00,78.0,A,06278500
1985-04-21 00:00:00+00:00,70.0,A,06278500
1985-04-22 00:00:00+00:00,69.0,A,06278500
1985-04-23 00:00:00+00:00,66.0,A,06278500
1985-04-24 00:00:00+00:00,62.0,A,06278500
1985-04-25 00:00:00+00:00,51.0,A,06278500
1985-04-26 00:00:00+00:00,50.0,A,06278500
1985-04-27 00:00:00+00:00,48.0,A,06278500
1985-04-28 00:00:00+00:00,55.0,A,06278500
1985-04-29 00:00:00+00:00,76.0,A,06278500
1985-04-30 00:00:00+00:00,119.0,A,06278500
1985-05-01 00:00:00+00:00,180.0,A,06278500
1985-05-02 00:00:00+00:00,272.0,A,06278500
1985-05-03 00:00:00+00:00,516.0,A,06278500
1985-05-04 00:00:00+00:00,690.0,A,06278500
1985-05-05 00:00:00+00:00,432.0,A,06278500
1985-05-06 00:00:00+00:00,268.0,A,06278500
1985-05-07 00:00:00+00:00,327.0,A,06278500
1985-05-08 00:00:00+00:00,522.0,A,06278500
1985-05-09 00:00:00+00:00,569.0,A,06278500
1985-05-10 00:00:00+00:00,492.0,A,06278500
1985-05-11 00:00:00+00:00,361.0,A,06278500
1985-05-12 00:00:00+00:00,240.0,A,06278500
1985-05-13 00:00:00+00:00,178.0,A,06278500
1985-05-14 00:00:00+00:00,160.0,A,06278500
1985-05-15 00:00:00+00:00,162.0,A,06278500
1985-05-16 00:00:00+00:00,192.0,A,06278500
1985-05-17 00:00:00+00:00,174.0,A,06278500
1985-05-18 00:00:00+00:00,162.0,A,06278500
1985-05-19 00:00:00+00:00,164.0,A,06278500
1985-05-20 00:00:00+00:00,232.0,A,06278500
1985-05-21 00:00:00+00:00,266.0,A,06278500
1985-05-22 00:00:00+00:00,334.0,A,06278500
1985-05-23 00:00:00+00:00,274.0,A,06278500
1985-05-24 00:00:00+00:00,390.0,A,06278500
1985-05-25 00:00:00+00:00,503.0,A,06278500
1985-05-26 00:00:00+00:00,484.0,A,06278500
1985-05-27 00:00:00+00:00,424.0,A,06278500
1985-05-28 00:00:00+00:00,376.0,A,06278500
1985-05-29 00:00:00+00:00,349.0,A,06278500
1985-05-30 00:00:00+00:00,297.0,A,06278500
1985-05-31 00:00:00+00:00,227.0,A,06278500
1985-06-01 00:00:00+00:00,214.0,A,06278500
1985-06-02 00:00:00+00:00,258.0,A,06278500
1985-06-03 00:00:00+00:00,245.0,A,06278500
1985-06-04 00:00:00+00:00,206.0,A,06278500
1985-06-05 00:00:00+00:00,242.0,A,06278500
1985-06-06 00:00:00+00:00,305.0,A,06278500
1985-06-07 00:00:00+00:00,343.0,A,06278500
1985-06-08 00:00:00+00:00,424.0,A,06278500
1985-06-09 00:00:00+00:00,325.0,A,06278500
1985-06-10 00:00:00+00:00,253.0,A,06278500
1985-06-11 00:00:00+00:00,209.0,A,06278500
1985-06-12 00:00:00+00:00,176.0,A,06278500
1985-06-13 00:00:00+00:00,160.0,A,06278500
1985-06-14 00:00:00+00:00,176.0,A,06278500
1985-06-15 00:00:00+00:00,176.0,A,06278500
1985-06-16 00:00:00+00:00,174.0,A,06278500
1985-06-17 00:00:00+00:00,166.0,A,06278500
1985-06-18 00:00:00+00:00,152.0,A,06278500
1985-06-19 00:00:00+00:00,136.0,A,06278500
1985-06-20 00:00:00+00:00,132.0,A,06278500
1985-06-21 00:00:00+00:00,150.0,A,06278500
1985-06-22 00:00:00+00:00,150.0,A,06278500
1985-06-23 00:00:00+00:00,130.0,A,06278500
1985-06-24 00:00:00+00:00,122.0,A,06278500
1985-06-25 00:00:00+00:00,135.0,A,06278500
1985-06-26 00:00:00+00:00,136.0,A,06278500
1985-06-27 00:00:00+00:00,130.0,A,06278500
1985-06-28 00:00:00+00:00,120.0,A,06278500
1985-06-29 00:00:00+00:00,112.0,A,06278500
1985-06-30 00:00:00+00:00,108.0,A,06278500
1985-07-01 00:00:00+00:00,104.0,A,06278500
1985-07-02 00:00:00+00:00,109.0,A,06278500
1985-07-03 00:00:00+00:00,103.0,A,06278500
1985-07-04 00:00:00+00:00,95.0,A,06278500
1985-07-05 00:00:00+00:00,93.0,A,06278500
1985-07-06 00:00:00+00:00,88.0,A,06278500
1985-07-07 00:00:00+00:00,85.0,A,06278500
1985-07-08 00:00:00+00:00,85.0,A,06278500
1985-07-09 00:00:00+00:00,87.0,A,06278500
1985-07-10 00:00:00+00:00,81.0,A,06278500
1985-07-11 00:00:00+00:00,78.0,A,06278500
1985-07-12 00:00:00+00:00,77.0,A,06278500
1985-07-13 00:00:00+00:00,77.0,A,06278500
1985-07-14 00:00:00+00:00,74.0,A,06278500
1985-07-15 00:00:00+00:00,70.0,A,06278500
1985-07-16 00:00:00+00:00,68.0,A,06278500
1985-07-17 00:00:00+00:00,68.0,A,06278500
1985-07-18 00:00:00+00:00,72.0,A,06278500
1985-07-19 00:00:00+00:00,78.0,A,06278500
1985-07-20 00:00:00+00:00,70.0,A,06278500
1985-07-21 00:00:00+00:00,65.0,A,06278500
