datetime,00060_Mean,00060_Mean_cd,site_no
1988-10-01 00:00:00+00:00,117.0,A,06016000
1988-10-02 00:00:00+00:00,119.0,A,06016000
1988-10-03 00:00:00+00:00,119.0,A,06016000
1988-10-04 00:00:00+00:00,119.0,A,06016000
1988-10-05 00:00:00+00:00,118.0,A,06016000
1988-10-06 00:00:00+00:00,119.0,A,06016000
1988-10-07 00:00:00+00:00,120.0,A,06016000
1988-10-08 00:00:00+00:00,124.0,A,06016000
1988-10-09 00:00:00+00:00,123.0,A,06016000
1988-10-10 00:00:00+00:00,124.0,A,06016000
1988-10-11 00:00:00+00:00,124.0,A,06016000
1988-10-12 00:00:00+00:00,124.0,A,06016000
1988-10-13 00:00:00+00:00,126.0,A,06016000
1988-10-14 00:00:00+00:00,126.0,A,06016000
1988-10-15 00:00:00+00:00,127.0,A,06016000
1988-10-16 00:00:00+00:00,126.0,A,06016000
1988-10-17 00:00:00+00:00,128.0,A,06016000
1988-10-18 00:00:00+00:00,129.0,A,06016000
1988-10-19 00:00:00+00:00,132.0,A,06016000
1988-10-20 00:00:00+00:00,132.0,A,06016000
1988-10-21 00:00:00+00:00,133.0,A,06016000
1988-10-22 00:00:00+00:00,131.0,A,06016000
1988-10-23 00:00:00+00:00,131.0,A,06016000
1988-10-24 00:00:00+00:00,131.0,A,06016000
1988-10-25 00:00:00+00:00,131.0,A,06016000
1988-10-26 00:00:00+00:00,132.0,A,06016000
1988-10-27 00:00:00+00:00,134.0,A,06016000
1988-10-28 00:00:00+00:00,133.0,A,06016000
1988-10-29 00:00:00+00:00,134.0,A,06016000
1988-10-30 00:00:00+00:00,134.0,A,06016000
1988-10-31 00:00:00+00:00,135.0,A,06016000
1989-03-01 00:00:00+00:00,140.0,A,06016000
1989-03-02 00:00:00+00:00,138.0,A,06016000
1989-03-03 00:00:00+00:00,138.0,A,06016000
1989-03-04 00:00:00+00:00,138.0,A,06016000
1989-03-05 00:00:00+00:00,138.0,A,06016000
1989-03-06 00:00:00+00:00,138.0,A,06016000
1989-03-07 00:00:00+00:00,137.0,A,06016000
1989-03-08 00:00:00+00:00,135.0,A,06016000
1989-03-09 00:00:00+00:00,135.0,A,06016000
1989-03-10 00:00:00+00:00,135.0,A,06016000
1989-03-11 00:00:00+00:00,135.0,A,06016000
1989-03-12 00:00:00+00:00,135.0,A,06016000
1989-03-13 00:00:00+00:00,135.0,A,06016000
1989-03-14 00:00:00+00:00,135.0,A,06016000
1989-03-15 00:00:00+00:00,135.0,A,06016000
1989-03-16 00:00:00+00:00,135.0,A,06016000
1989-03-17 00:00:00+00:00,133.0,A,06016000
1989-03-18 00:00:00+00:00,133.0,A,06016000
1989-03-19 00:00:00+00:00,133.0,A,06016000
1989-03-20 00:00:00+00:00,153.0,A,06016000
1989-03-21 00:00:00+00:00,152.0,A,06016000
1989-03-22 00:00:00+00:00,159.0,A,06016000
1989-03-23 00:00:00+00:00,162.0,A,06016000
1989-03-24 00:00:00+00:00,158.0,A,06016000
1989-03-25 00:00:00+00:00,163.0,A,06016000
1989-03-26 00:00:00+00:00,176.0,A,06016000
1989-03-27 00:00:00+00:00,183.0,A,06016000
1989-03-28 00:00:00+00:00,176.0,A,06016000
1989-03-29 00:00:00+00:00,169.0,A,06016000
1989-03-30 00:00:00+00:00,156.0,A,06016000
1989-03-31 00:00:00+00:00,158.0,A,06016000
