datetime,00060_Mean,00060_Mean_cd,site_no
1989-10-01 00:00:00+00:00,1580.0,A,14064500
1989-10-02 00:00:00+00:00,1420.0,A,14064500
1989-10-03 00:00:00+00:00,1350.0,A,14064500
1989-10-04 00:00:00+00:00,1280.0,A,14064500
1989-10-05 00:00:00+00:00,1230.0,A,14064500
1989-10-06 00:00:00+00:00,1210.0,A,14064500
1989-10-07 00:00:00+00:00,1210.0,A,14064500
1989-10-08 00:00:00+00:00,1210.0,A,14064500
1989-10-09 00:00:00+00:00,1210.0,A,14064500
1989-10-10 00:00:00+00:00,1220.0,A,14064500
1989-10-11 00:00:00+00:00,1240.0,A,14064500
1989-10-12 00:00:00+00:00,1320.0,A,14064500
1989-10-13 00:00:00+00:00,1420.0,A,14064500
1989-10-14 00:00:00+00:00,1400.0,A,14064500
1989-10-15 00:00:00+00:00,959.0,A,14064500
1989-10-16 00:00:00+00:00,576.0,A,14064500
1989-10-17 00:00:00+00:00,538.0,A,14064500
1989-10-18 00:00:00+00:00,619.0,A,14064500
1989-10-19 00:00:00+00:00,648.0,A,14064500
1989-10-20 00:00:00+00:00,624.0,A,14064500
1989-10-21 00:00:00+00:00,536.0,A,14064500
1989-10-22 00:00:00+00:00,511.0,A,14064500
1989-10-23 00:00:00+00:00,505.0,A,14064500
1989-10-24 00:00:00+00:00,504.0,A,14064500
1989-10-25 00:00:00+00:00,505.0,A,14064500
1989-10-26 00:00:00+00:00,517.0,A,14064500
1989-10-27 00:00:00+00:00,548.0,A,14064500
1989-10-28 00:00:00+00:00,539.0,A,14064500
1989-10-29 00:00:00+00:00,535.0,A,14064500
1989-10-30 00:00:00+00:00,534.0,A,14064500
1989-10-31 00:00:00+00:00,525.0,A,14064500
1989-11-01 00:00:00+00:00,518.0,A,14064500
1989-11-02 00:00:00+00:00,509.0,A,14064500
1989-11-03 00:00:00+00:00,508.0,A,14064500
1989-11-04 00:00:00+00:00,506.0,A,14064500
1989-11-05 00:00:00+00:00,504.0,A,14064500
1989-11-06 00:00:00+00:00,504.0,A,14064500
1989-11-07 00:00:00+00:00,507.0,A,14064500
1989-11-08 00:00:00+00:00,504.0,A,14064500
1989-11-09 00:00:00+00:00,504.0,A,14064500
1989-11-10 00:00:00+00:00,505.0,A,14064500
1989-11-11 00:00:00+00:00,506.0,A,14064500
1989-11-12 00:00:00+00:00,510.0,A,14064500
1989-11-13 00:00:00+00:00,508.0,A,14064500
1989-11-14 00:00:00+00:00,506.0,A,14064500
1989-11-15 00:00:00+00:00,514.0,A,14064500
