datetime,00060_Mean,00060_Mean_cd,site_no
1994-04-21 00:00:00+00:00,2400.0,A,06026500
1994-04-22 00:00:00+00:00,2690.0,A,06026500
1994-04-23 00:00:00+00:00,2990.0,A,06026500
1994-04-24 00:00:00+00:00,3290.0,A,06026500
1994-04-25 00:00:00+00:00,3290.0,A,06026500
1994-04-26 00:00:00+00:00,2940.0,A,06026500
1994-04-27 00:00:00+00:00,2550.0,A,06026500
1994-04-28 00:00:00+00:00,2230.0,A,06026500
1994-04-29 00:00:00+00:00,2040.0,A,06026500
1994-04-30 00:00:00+00:00,1860.0,A,06026500
1994-05-01 00:00:00+00:00,1790.0,A,06026500
1994-05-02 00:00:00+00:00,1680.0,A,06026500
1994-05-03 00:00:00+00:00,1670.0,A,06026500
1994-05-04 00:00:00+00:00,1670.0,A,06026500
1994-05-05 00:00:00+00:00,1530.0,A,06026500
1994-05-06 00:00:00+00:00,1450.0,A,06026500
1994-05-07 00:00:00+00:00,1450.0,A,06026500
1994-05-08 00:00:00+00:00,1440.0,A,06026500
1994-05-09 00:00:00+00:00,1510.0,A,06026500
1994-05-10 00:00:00+00:00,1620.0,A,06026500
1994-05-11 00:00:00+00:00,1760.0,A,06026500
1994-05-12 00:00:00+00:00,1740.0,A,06026500
1994-05-13 00:00:00+00:00,1940.0,A,06026500
1994-05-14 00:00:00+00:00,2020.0,A,06026500
1994-05-15 00:00:00+00:00,1770.0,A,06026500
1994-05-16 00:00:00+00:00,1660.0,A,06026500
1994-05-17 00:00:00+00:00,1600.0,A,06026500
1994-05-18 00:00:00+00:00,1630.0,A,06026500
1994-05-19 00:00:00+00:00,1780.0,A,06026500
1994-05-20 00:00:00+00:00,2340.0,A,06026500
1994-05-21 00:00:00+00:00,2940.0,A,06026500
1994-05-22 00:00:00+00:00,3040.0,A,06026500
1994-05-23 00:00:00+00:00,2710.0,A,06026500
1994-05-24 00:00:00+00:00,2380.0,A,06026500
1994-05-25 00:00:00+00:00,2030.0,A,06026500
1994-05-26 00:00:00+00:00,1750.0,A,06026500
1994-05-27 00:00:00+00:00,1650.0,A,06026500
1994-05-28 00:00:00+00:00,1920.0,A,06026500
1994-05-29 00:00:00+00:00,2270.0,A,06026500
1994-05-30 00:00:00+00:00,2270.0,A,06026500
1994-05-31 00:00:00+00:00,2100.0,A,06026500
1994-06-01 00:00:00+00:00,1930.0,A,06026500
1994-06-02 00:00:00+00:00,1970.0,A,06026500
1994-06-03 00:00:00+00:00,2000.0,A,06026500
1994-06-04 00:00:00+00:00,1930.0,A,06026500
1994-06-05 00:00:00+00:00,1760.0,A,06026500
1994-06-06 00:00:00+00:00,1590.0,A,06026500
1994-06-07 00:00:00+00:00,1590.0,A,06026500
1994-06-08 00:00:00+00:00,1700.0,A,06026500
1994-06-09 00:00:00+00:00,1660.0,A,06026500
1994-06-10 00:00:00+00:00,1560.0,A,06026500
1994-06-11 00:00:00+00:00,1490.0,A,06026500
1994-06-12 00:00:00+00:00,1410.0,A,06026500
1994-06-13 00:00:00+00:00,1420.0,A,06026500
1994-06-14 00:00:00+00:00,1480.0,A,06026500
1994-06-15 00:00:00+00:00,1560.0,A,06026500
1994-06-16 00:00:00+00:00,1600.0,A,06026500
1994-06-17 00:00:00+00:00,1650.0,A,06026500
1994-06-18 00:00:00+00:00,1520.0,A,06026500
1994-06-19 00:00:00+00:00,1330.0,A,06026500
1994-06-20 00:00:00+00:00,1100.0,A,06026500
1994-06-21 00:00:00+00:00,936.0,A,06026500
1994-06-22 00:00:00+00:00,871.0,A,06026500
1994-06-23 00:00:00+00:00,827.0,A,06026500
1994-06-24 00:00:00+00:00,754.0,A,06026500
1994-06-25 00:00:00+00:00,693.0,A,06026500
1994-06-26 00:00:00+00:00,615.0,A,06026500
1994-06-27 00:00:00+00:00,544.0,A,06026500
1994-06-28 00:00:00+00:00,506.0,A,06026500
1994-06-29 00:00:00+00:00,454.0,A,06026500
1994-06-30 00:00:00+00:00,434.0,A,06026500
1994-07-01 00:00:00+00:00,424.0,A,06026500
1994-07-02 00:00:00+00:00,440.0,A,06026500
1994-07-03 00:00:00+00:00,449.0,A,06026500
1994-07-04 00:00:00+00:00,447.0,A,06026500
1994-07-05 00:00:00+00:00,443.0,A,06026500
1994-07-06 00:00:00+00:00,569.0,A,06026500
1994-07-07 00:00:00+00:00,976.0,A,06026500
1994-07-08 00:00:00+00:00,1100.0,A,06026500
1994-07-09 00:00:00+00:00,948.0,A,06026500
1994-07-10 00:00:00+00:00,848.0,A,06026500
1994-07-11 00:00:00+00:00,781.0,A,06026500
1994-07-12 00:00:00+00:00,709.0,A,06026500
1994-07-13 00:00:00+00:00,637.0,A,06026500
1994-07-14 00:00:00+00:00,601.0,A,06026500
1994-07-15 00:00:00+00:00,592.0,A,06026500
1994-07-16 00:00:00+00:00,541.0,A,06026500
1994-07-17 00:00:00+00:00,487.0,A,06026500
1994-07-18 00:00:00+00:00,452.0,A,06026500
1994-07-19 00:00:00+00:00,434.0,A,06026500
1994-07-20 00:00:00+00:00,389.0,A,06026500
1994-07-21 00:00:00+00:00,329.0,A,06026500
