datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
1993-10-01 00:00:00+00:00,10.0,A,12115500,,
1993-10-02 00:00:00+00:00,10.0,A,12115500,3.14,A
1993-10-03 00:00:00+00:00,10.0,A,12115500,3.14,A
1993-10-04 00:00:00+00:00,10.0,A,12115500,3.14,A
1993-10-05 00:00:00+00:00,10.0,A,12115500,3.14,A
1993-10-06 00:00:00+00:00,25.0,A,12115500,3.34,A
1993-10-07 00:00:00+00:00,23.0,A,12115500,3.35,A
1993-10-08 00:00:00+00:00,14.0,A,12115500,3.23,A
1993-10-09 00:00:00+00:00,12.0,A,12115500,3.19,A
1993-10-10 00:00:00+00:00,11.0,A,12115500,3.17,A
1993-10-11 00:00:00+00:00,11.0,A,12115500,3.16,A
1993-10-12 00:00:00+00:00,11.0,A,12115500,3.16,A
1993-10-13 00:00:00+00:00,12.0,A,12115500,3.18,A
1993-10-14 00:00:00+00:00,29.0,A,12115500,3.42,A
1993-10-15 00:00:00+00:00,29.0,A,12115500,3.42,A
1993-10-16 00:00:00+00:00,29.0,A,12115500,3.43,A
1993-10-17 00:00:00+00:00,19.0,A,12115500,3.31,A
1993-10-18 00:00:00+00:00,17.0,A,12115500,3.27,A
1993-10-19 00:00:00+00:00,19.0,A,12115500,3.3,A
1993-10-20 00:00:00+00:00,16.0,A,12115500,3.26,A
1993-10-21 00:00:00+00:00,15.0,A,12115500,3.24,A
1993-10-22 00:00:00+00:00,15.0,A,12115500,3.24,A
1993-10-23 00:00:00+00:00,51.0,A,12115500,3.63,A
1993-10-24 00:00:00+00:00,32.0,A,12115500,3.45,A
1993-10-25 00:00:00+00:00,24.0,A,12115500,3.37,A
1993-10-26 00:00:00+00:00,21.0,A,12115500,3.33,A
1993-10-27 00:00:00+00:00,20.0,A,12115500,3.31,A
1993-10-28 00:00:00+00:00,20.0,A,12115500,3.31,A
1993-10-29 00:00:00+00:00,18.0,A,12115500,3.29,A
1993-10-30 00:00:00+00:00,17.0,A,12115500,3.27,A
1993-10-31 00:00:00+00:00,23.0,A,12115500,3.35,A
1993-11-01 00:00:00+00:00,21.0,A,12115500,3.34,A
1993-11-02 00:00:00+00:00,18.0,A,12115500,3.29,A
1993-11-03 00:00:00+00:00,71.0,A,12115500,3.77,A
1993-11-04 00:00:00+00:00,41.0,A,12115500,3.55,A
1993-11-05 00:00:00+00:00,33.0,A,12115500,3.47,A
1993-11-06 00:00:00+00:00,29.0,A,12115500,3.43,A
1993-11-07 00:00:00+00:00,27.0,A,12115500,3.4,A
1993-11-08 00:00:00+00:00,24.0,A,12115500,3.38,A
1993-11-09 00:00:00+00:00,23.0,A,12115500,3.36,A
1993-11-10 00:00:00+00:00,22.0,A,12115500,3.34,A
1993-11-11 00:00:00+00:00,20.0,A,12115500,3.32,A
1993-11-12 00:00:00+00:00,20.0,A,12115500,3.31,A
1993-11-13 00:00:00+00:00,19.0,A,12115500,3.3,A
1993-11-14 00:00:00+00:00,18.0,A,12115500,3.29,A
1993-11-15 00:00:00+00:00,24.0,A,12115500,3.36,A
1993-11-16 00:00:00+00:00,23.0,A,12115500,3.35,A
1993-11-17 00:00:00+00:00,21.0,A,12115500,3.34,A
1993-11-18 00:00:00+00:00,20.0,"A, e",12115500,3.34,A
1993-11-19 00:00:00+00:00,19.0,"A, e",12115500,3.33,A
1993-11-20 00:00:00+00:00,21.0,A,12115500,3.33,A
1993-11-21 00:00:00+00:00,87.0,A,12115500,3.87,A
1993-11-22 00:00:00+00:00,58.0,"A, e",12115500,3.74,A
1993-11-23 00:00:00+00:00,50.0,"A, e",12115500,3.72,A
1993-11-24 00:00:00+00:00,45.0,"A, e",12115500,3.72,A
1993-11-25 00:00:00+00:00,40.0,"A, e",12115500,3.72,A
1993-11-26 00:00:00+00:00,37.0,"A, e",12115500,3.72,A
1993-11-27 00:00:00+00:00,37.0,"A, e",12115500,3.52,A
1993-11-28 00:00:00+00:00,39.0,A,12115500,3.53,A
1993-11-29 00:00:00+00:00,72.0,A,12115500,3.78,A
1993-11-30 00:00:00+00:00,84.0,A,12115500,3.89,A
1993-12-01 00:00:00+00:00,387.0,A,12115500,4.87,A
1993-12-02 00:00:00+00:00,294.0,A,12115500,4.6,A
1993-12-03 00:00:00+00:00,256.0,A,12115500,4.5,A
1993-12-04 00:00:00+00:00,239.0,A,12115500,4.44,A
1993-12-05 00:00:00+00:00,160.0,A,12115500,4.16,A
1993-12-06 00:00:00+00:00,123.0,A,12115500,3.99,A
1993-12-07 00:00:00+00:00,100.0,A,12115500,3.87,A
1993-12-08 00:00:00+00:00,90.0,"A, e",12115500,,
1993-12-09 00:00:00+00:00,130.0,"A, e",12115500,,
1993-12-10 00:00:00+00:00,220.0,"A, e",12115500,,
1993-12-11 00:00:00+00:00,180.0,"A, e",12115500,,
1993-12-12 00:00:00+00:00,140.0,"A, e",12115500,,
1993-12-13 00:00:00+00:00,120.0,"A, e",12115500,,
1993-12-14 00:00:00+00:00,99.0,A,12115500,3.87,A
1993-12-15 00:00:00+00:00,82.0,A,12115500,3.77,A
1993-12-16 00:00:00+00:00,69.0,A,12115500,3.7,A
1993-12-17 00:00:00+00:00,64.0,A,12115500,3.67,A
1993-12-18 00:00:00+00:00,60.0,A,12115500,3.64,A
1993-12-19 00:00:00+00:00,57.0,A,12115500,3.61,A
1993-12-20 00:00:00+00:00,53.0,A,12115500,3.59,A
1993-12-21 00:00:00+00:00,49.0,A,12115500,3.56,A
1993-12-22 00:00:00+00:00,46.0,"A, e",12115500,3.55,A
1993-12-23 00:00:00+00:00,43.0,"A, e",12115500,3.55,A
1993-12-24 00:00:00+00:00,40.0,"A, e",12115500,3.55,A
1993-12-25 00:00:00+00:00,38.0,"A, e",12115500,3.54,A
1993-12-26 00:00:00+00:00,35.0,"A, e",12115500,3.47,A
1993-12-27 00:00:00+00:00,33.0,A,12115500,3.4,A
1993-12-28 00:00:00+00:00,32.0,A,12115500,3.39,A
