datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd
1994-10-01 00:00:00+00:00,14.5,A,10309000,46.0,A,343.0,A
1994-10-02 00:00:00+00:00,15.0,A,10309000,45.0,A,352.0,A
1994-10-03 00:00:00+00:00,13.0,A,10309000,44.0,A,358.0,A
1994-10-04 00:00:00+00:00,9.5,A,10309000,49.0,A,351.0,A
1994-10-05 00:00:00+00:00,10.5,A,10309000,63.0,A,323.0,A
1994-10-06 00:00:00+00:00,11.0,A,10309000,65.0,A,309.0,A
1994-10-07 00:00:00+00:00,11.5,A,10309000,66.0,A,304.0,A
1994-10-08 00:00:00+00:00,12.0,A,10309000,65.0,A,301.0,A
1994-10-09 00:00:00+00:00,12.5,A,10309000,64.0,A,302.0,A
1994-10-10 00:00:00+00:00,12.5,A,10309000,62.0,A,304.0,A
1994-10-11 00:00:00+00:00,12.5,A,10309000,59.0,A,310.0,A
1994-10-12 00:00:00+00:00,12.0,A,10309000,58.0,A,313.0,A
1994-10-13 00:00:00+00:00,8.5,A,10309000,57.0,A,313.0,A
1994-10-14 00:00:00+00:00,8.0,A,10309000,55.0,A,316.0,A
1994-10-15 00:00:00+00:00,7.0,A,10309000,55.0,A,316.0,A
1994-10-16 00:00:00+00:00,7.0,A,10309000,55.0,A,316.0,A
1994-10-17 00:00:00+00:00,8.0,A,10309000,54.0,A,321.0,A
1994-10-18 00:00:00+00:00,9.5,A,10309000,55.0,A,323.0,A
1994-10-19 00:00:00+00:00,10.0,A,10309000,54.0,A,323.0,A
1994-10-20 00:00:00+00:00,10.5,A,10309000,53.0,A,324.0,A
1994-10-21 00:00:00+00:00,10.0,A,10309000,53.0,A,324.0,A
1994-10-22 00:00:00+00:00,10.0,A,10309000,54.0,A,328.0,A
1994-10-23 00:00:00+00:00,10.0,A,10309000,52.0,A,326.0,A
1994-10-24 00:00:00+00:00,11.0,A,10309000,52.0,A,329.0,A
1994-10-25 00:00:00+00:00,10.5,A,10309000,54.0,A,328.0,A
1994-10-26 00:00:00+00:00,10.5,A,10309000,57.0,A,321.0,A
1994-10-27 00:00:00+00:00,10.5,A,10309000,56.0,A,316.0,A
1994-10-28 00:00:00+00:00,10.0,A,10309000,55.0,A,319.0,A
1994-10-29 00:00:00+00:00,9.0,A,10309000,56.0,A,319.0,A
