datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
1994-10-01 00:00:00+00:00,0.17,A,10166430,1.82,A
1994-10-02 00:00:00+00:00,0.16,A,10166430,1.81,A
1994-10-03 00:00:00+00:00,0.17,A,10166430,1.82,A
1994-10-04 00:00:00+00:00,0.31,A,10166430,1.82,A
1994-10-05 00:00:00+00:00,0.68,A,10166430,1.86,A
1994-10-06 00:00:00+00:00,0.49,A,10166430,1.83,A
1994-10-07 00:00:00+00:00,0.46,A,10166430,1.82,A
1994-10-08 00:00:00+00:00,0.46,A,10166430,1.82,A
1994-10-09 00:00:00+00:00,0.48,A,10166430,1.82,A
1994-10-10 00:00:00+00:00,0.46,A,10166430,1.81,A
1994-10-11 00:00:00+00:00,0.46,A,10166430,1.81,A
1994-10-12 00:00:00+00:00,0.46,A,10166430,1.81,A
1994-10-13 00:00:00+00:00,0.46,A,10166430,1.81,A
1994-10-14 00:00:00+00:00,0.51,A,10166430,1.82,A
1994-10-15 00:00:00+00:00,0.57,A,10166430,1.83,A
1994-10-16 00:00:00+00:00,0.52,A,10166430,1.82,A
1994-10-17 00:00:00+00:00,0.54,A,10166430,1.83,A
1994-10-18 00:00:00+00:00,0.58,A,10166430,1.83,A
1994-10-19 00:00:00+00:00,0.55,A,10166430,1.82,A
1994-10-20 00:00:00+00:00,0.55,A,10166430,1.82,A
1994-10-21 00:00:00+00:00,0.55,A,10166430,1.82,A
1994-10-22 00:00:00+00:00,0.55,A,10166430,1.82,A
1994-10-23 00:00:00+00:00,0.55,A,10166430,1.82,A
1994-10-24 00:00:00+00:00,0.55,A,10166430,1.82,A
1994-10-25 00:00:00+00:00,0.55,A,10166430,1.82,A
1994-10-26 00:00:00+00:00,0.58,A,10166430,1.83,A
1994-10-27 00:00:00+00:00,0.64,A,10166430,1.83,A
1994-10-28 00:00:00+00:00,0.74,A,10166430,1.84,A
1994-10-29 00:00:00+00:00,0.84,"A, e",10166430,1.87,A
1994-10-30 00:00:00+00:00,0.82,"A, e",10166430,1.88,A
1994-10-31 00:00:00+00:00,0.8,"A, e",10166430,1.88,A
1994-11-01 00:00:00+00:00,0.77,"A, e",10166430,1.89,A
1994-11-02 00:00:00+00:00,0.72,"A, e",10166430,1.9,A
1994-11-03 00:00:00+00:00,0.72,"A, e",10166430,1.89,A
1994-11-04 00:00:00+00:00,0.7,"A, e",10166430,1.88,A
1994-11-05 00:00:00+00:00,0.72,"A, e",10166430,1.89,A
1994-11-06 00:00:00+00:00,0.82,"A, e",10166430,1.89,A
1994-11-07 00:00:00+00:00,0.9,"A, e",10166430,1.89,A
1994-11-08 00:00:00+00:00,0.98,"A, e",10166430,1.89,A
1994-11-09 00:00:00+00:00,1.1,A,10166430,1.89,A
1994-11-10 00:00:00+00:00,1.1,A,10166430,1.89,A
1994-11-11 00:00:00+00:00,0.91,"A, e",10166430,1.88,A
1994-11-12 00:00:00+00:00,0.9,"A, e",10166430,1.89,A
1994-11-13 00:00:00+00:00,0.8,"A, e",10166430,1.88,A
1994-11-14 00:00:00+00:00,0.7,"A, e",10166430,1.86,A
1994-11-15 00:00:00+00:00,0.6,"A, e",10166430,1.88,A
1994-11-16 00:00:00+00:00,0.56,"A, e",10166430,1.87,A
1994-11-17 00:00:00+00:00,0.52,"A, e",10166430,1.86,A
1994-11-18 00:00:00+00:00,0.5,"A, e",10166430,1.86,A
1994-11-19 00:00:00+00:00,0.48,"A, e",10166430,1.85,A
1994-11-20 00:00:00+00:00,0.47,"A, e",10166430,1.89,A
1994-11-21 00:00:00+00:00,0.44,"A, e",10166430,1.84,A
1994-11-22 00:00:00+00:00,0.43,"A, e",10166430,1.85,A
1994-11-23 00:00:00+00:00,0.43,"A, e",10166430,1.84,A
1994-11-24 00:00:00+00:00,0.43,"A, e",10166430,1.83,A
1994-11-25 00:00:00+00:00,0.43,"A, e",10166430,1.84,A
1994-11-26 00:00:00+00:00,0.43,"A, e",10166430,1.83,A
1994-11-27 00:00:00+00:00,0.38,"A, e",10166430,1.84,A
1994-11-28 00:00:00+00:00,0.39,"A, e",10166430,1.84,A
1994-11-29 00:00:00+00:00,0.37,"A, e",10166430,1.84,A
