datetime,00060_Mean,00060_Mean_cd,site_no
1997-10-01 00:00:00+00:00,42.0,A,13105000
1997-10-02 00:00:00+00:00,44.0,A,13105000
1997-10-03 00:00:00+00:00,46.0,A,13105000
1997-10-04 00:00:00+00:00,46.0,A,13105000
1997-10-05 00:00:00+00:00,45.0,A,13105000
1997-10-06 00:00:00+00:00,45.0,A,13105000
1997-10-07 00:00:00+00:00,49.0,A,13105000
1997-10-08 00:00:00+00:00,52.0,A,13105000
1997-10-09 00:00:00+00:00,50.0,A,13105000
1997-10-10 00:00:00+00:00,52.0,A,13105000
1997-10-11 00:00:00+00:00,58.0,A,13105000
1997-10-12 00:00:00+00:00,60.0,A,13105000
1997-10-13 00:00:00+00:00,61.0,A,13105000
1997-10-14 00:00:00+00:00,62.0,A,13105000
1997-10-15 00:00:00+00:00,60.0,A,13105000
1997-10-16 00:00:00+00:00,60.0,A,13105000
1997-10-17 00:00:00+00:00,59.0,A,13105000
1997-10-18 00:00:00+00:00,59.0,A,13105000
1997-10-19 00:00:00+00:00,59.0,A,13105000
1997-10-20 00:00:00+00:00,59.0,A,13105000
1997-10-21 00:00:00+00:00,59.0,A,13105000
1997-10-22 00:00:00+00:00,59.0,A,13105000
1997-10-23 00:00:00+00:00,60.0,A,13105000
1997-10-24 00:00:00+00:00,61.0,A,13105000
1997-10-25 00:00:00+00:00,62.0,A,13105000
1997-10-26 00:00:00+00:00,61.0,A,13105000
1997-10-27 00:00:00+00:00,61.0,A,13105000
1997-10-28 00:00:00+00:00,62.0,A,13105000
1997-10-29 00:00:00+00:00,62.0,A,13105000
1997-10-30 00:00:00+00:00,63.0,A,13105000
1997-10-31 00:00:00+00:00,63.0,A,13105000
1997-11-01 00:00:00+00:00,64.0,A,13105000
1997-11-02 00:00:00+00:00,65.0,A,13105000
1997-11-03 00:00:00+00:00,65.0,A,13105000
1997-11-04 00:00:00+00:00,66.0,A,13105000
1997-11-05 00:00:00+00:00,65.0,A,13105000
