datetime,00060_Mean,00060_Mean_cd,site_no
2001-10-01 00:00:00+00:00,45.5,A,14308000
2001-10-02 00:00:00+00:00,43.3,A,14308000
2001-10-03 00:00:00+00:00,41.8,A,14308000
2001-10-04 00:00:00+00:00,40.7,A,14308000
2001-10-05 00:00:00+00:00,39.7,A,14308000
2001-10-06 00:00:00+00:00,39.3,A,14308000
2001-10-07 00:00:00+00:00,38.8,A,14308000
2001-10-08 00:00:00+00:00,39.3,A,14308000
2001-10-09 00:00:00+00:00,40.0,A,14308000
2001-10-10 00:00:00+00:00,40.3,A,14308000
2001-10-11 00:00:00+00:00,55.1,A,14308000
2001-10-12 00:00:00+00:00,88.9,A,14308000
2001-10-13 00:00:00+00:00,62.4,A,14308000
2001-10-14 00:00:00+00:00,51.5,A,14308000
2001-10-15 00:00:00+00:00,47.9,A,14308000
2001-10-16 00:00:00+00:00,46.0,A,14308000
2001-10-17 00:00:00+00:00,44.1,A,14308000
2001-10-18 00:00:00+00:00,42.2,A,14308000
2001-10-19 00:00:00+00:00,41.6,A,14308000
2001-10-20 00:00:00+00:00,41.6,A,14308000
2001-10-21 00:00:00+00:00,41.6,A,14308000
2001-10-22 00:00:00+00:00,48.3,A,14308000
2001-10-23 00:00:00+00:00,278.0,A,14308000
2001-10-24 00:00:00+00:00,182.0,A,14308000
2001-10-25 00:00:00+00:00,103.0,A,14308000
2001-10-26 00:00:00+00:00,76.7,A,14308000
2001-10-27 00:00:00+00:00,66.1,A,14308000
2001-10-28 00:00:00+00:00,64.3,A,14308000
2001-10-29 00:00:00+00:00,66.6,A,14308000
2001-10-30 00:00:00+00:00,78.6,A,14308000
2001-10-31 00:00:00+00:00,222.0,A,14308000
2001-11-01 00:00:00+00:00,160.0,A,14308000
2001-11-02 00:00:00+00:00,123.0,A,14308000
2001-11-03 00:00:00+00:00,96.7,A,14308000
2001-11-04 00:00:00+00:00,81.4,A,14308000
2001-11-05 00:00:00+00:00,74.2,A,14308000
2001-11-06 00:00:00+00:00,72.7,A,14308000
2001-11-07 00:00:00+00:00,71.1,A,14308000
2001-11-08 00:00:00+00:00,66.6,A,14308000
2001-11-09 00:00:00+00:00,63.9,A,14308000
2001-11-10 00:00:00+00:00,61.8,A,14308000
2001-11-11 00:00:00+00:00,60.0,A,14308000
2001-11-12 00:00:00+00:00,64.1,A,14308000
2001-11-13 00:00:00+00:00,94.7,A,14308000
2001-11-14 00:00:00+00:00,145.0,A,14308000
2001-11-15 00:00:00+00:00,129.0,A,14308000
2001-11-16 00:00:00+00:00,208.0,A,14308000
2001-11-17 00:00:00+00:00,501.0,A,14308000
2001-11-18 00:00:00+00:00,247.0,A,14308000
2001-11-19 00:00:00+00:00,168.0,A,14308000
2001-11-20 00:00:00+00:00,191.0,A,14308000
2001-11-21 00:00:00+00:00,494.0,A,14308000
2001-11-22 00:00:00+00:00,1760.0,A,14308000
2001-11-23 00:00:00+00:00,1340.0,A,14308000
2001-11-24 00:00:00+00:00,714.0,A,14308000
2001-11-25 00:00:00+00:00,792.0,A,14308000
2001-11-26 00:00:00+00:00,768.0,A,14308000
2001-11-27 00:00:00+00:00,550.0,A,14308000
2001-11-28 00:00:00+00:00,741.0,A,14308000
2001-11-29 00:00:00+00:00,1640.0,A,14308000
2001-11-30 00:00:00+00:00,1030.0,A,14308000
2001-12-01 00:00:00+00:00,1440.0,A,14308000
2001-12-02 00:00:00+00:00,1590.0,A,14308000
2001-12-03 00:00:00+00:00,1170.0,A,14308000
2001-12-04 00:00:00+00:00,892.0,A,14308000
2001-12-05 00:00:00+00:00,1100.0,A,14308000
2001-12-06 00:00:00+00:00,2880.0,A,14308000
2001-12-07 00:00:00+00:00,2730.0,A,14308000
2001-12-08 00:00:00+00:00,1640.0,A,14308000
2001-12-09 00:00:00+00:00,1460.0,A,14308000
2001-12-10 00:00:00+00:00,1190.0,A,14308000
2001-12-11 00:00:00+00:00,1110.0,A,14308000
2001-12-12 00:00:00+00:00,1330.0,A,14308000
2001-12-13 00:00:00+00:00,2910.0,A,14308000
2001-12-14 00:00:00+00:00,8750.0,A,14308000
2001-12-15 00:00:00+00:00,3300.0,A,14308000
2001-12-16 00:00:00+00:00,4050.0,A,14308000
2001-12-17 00:00:00+00:00,7320.0,A,14308000
2001-12-18 00:00:00+00:00,3830.0,A,14308000
2001-12-19 00:00:00+00:00,2630.0,A,14308000
2001-12-20 00:00:00+00:00,2420.0,A,14308000
2001-12-21 00:00:00+00:00,1970.0,A,14308000
2001-12-22 00:00:00+00:00,1560.0,A,14308000
2001-12-23 00:00:00+00:00,1300.0,A,14308000
2001-12-24 00:00:00+00:00,1100.0,A,14308000
2001-12-25 00:00:00+00:00,973.0,A,14308000
2001-12-26 00:00:00+00:00,918.0,A,14308000
2001-12-27 00:00:00+00:00,995.0,A,14308000
2001-12-28 00:00:00+00:00,1660.0,A,14308000
2001-12-29 00:00:00+00:00,1710.0,A,14308000
2001-12-30 00:00:00+00:00,1900.0,A,14308000
2001-12-31 00:00:00+00:00,3550.0,A,14308000
2002-01-01 00:00:00+00:00,3070.0,A,14308000
2002-01-02 00:00:00+00:00,3590.0,A,14308000
2002-01-03 00:00:00+00:00,3020.0,A,14308000
2002-01-04 00:00:00+00:00,2200.0,A,14308000
2002-01-05 00:00:00+00:00,1730.0,A,14308000
2002-01-06 00:00:00+00:00,3430.0,A,14308000
2002-01-07 00:00:00+00:00,3800.0,A,14308000
2002-01-08 00:00:00+00:00,6640.0,A,14308000
2002-01-09 00:00:00+00:00,4440.0,A,14308000
2002-01-10 00:00:00+00:00,2850.0,A,14308000
2002-01-11 00:00:00+00:00,2120.0,A,14308000
2002-01-12 00:00:00+00:00,1910.0,A,14308000
2002-01-13 00:00:00+00:00,1670.0,A,14308000
2002-01-14 00:00:00+00:00,1410.0,A,14308000
2002-01-15 00:00:00+00:00,1180.0,A,14308000
2002-01-16 00:00:00+00:00,1010.0,A,14308000
