datetime,00060_Mean,00060_Mean_cd,site_no
2002-10-01 00:00:00+00:00,365.0,A,12457000
2002-10-02 00:00:00+00:00,357.0,A,12457000
2002-10-03 00:00:00+00:00,347.0,A,12457000
2002-10-04 00:00:00+00:00,376.0,A,12457000
2002-10-05 00:00:00+00:00,378.0,A,12457000
2002-10-06 00:00:00+00:00,359.0,A,12457000
2002-10-07 00:00:00+00:00,347.0,A,12457000
2002-10-08 00:00:00+00:00,339.0,A,12457000
2002-10-09 00:00:00+00:00,332.0,A,12457000
2002-10-10 00:00:00+00:00,324.0,A,12457000
2002-10-11 00:00:00+00:00,315.0,A,12457000
2002-10-12 00:00:00+00:00,307.0,A,12457000
2002-10-13 00:00:00+00:00,305.0,A,12457000
2002-10-14 00:00:00+00:00,302.0,A,12457000
2002-10-15 00:00:00+00:00,294.0,A,12457000
2002-10-16 00:00:00+00:00,290.0,A,12457000
2002-10-17 00:00:00+00:00,288.0,A,12457000
2002-10-18 00:00:00+00:00,284.0,A,12457000
2002-10-19 00:00:00+00:00,280.0,A,12457000
2002-10-20 00:00:00+00:00,276.0,A,12457000
2002-10-21 00:00:00+00:00,272.0,A,12457000
2002-10-22 00:00:00+00:00,270.0,A,12457000
2002-10-23 00:00:00+00:00,263.0,A,12457000
2002-10-24 00:00:00+00:00,260.0,A,12457000
2002-10-25 00:00:00+00:00,257.0,A,12457000
2002-10-26 00:00:00+00:00,254.0,A,12457000
2002-10-27 00:00:00+00:00,253.0,A,12457000
2002-10-28 00:00:00+00:00,250.0,A,12457000
2002-10-29 00:00:00+00:00,243.0,A,12457000
2002-10-30 00:00:00+00:00,235.0,A,12457000
2002-10-31 00:00:00+00:00,224.0,A,12457000
2002-11-01 00:00:00+00:00,208.0,A,12457000
2002-11-02 00:00:00+00:00,201.0,A,12457000
2002-11-03 00:00:00+00:00,197.0,A,12457000
2002-11-04 00:00:00+00:00,194.0,A,12457000
2002-11-05 00:00:00+00:00,218.0,A,12457000
2002-11-06 00:00:00+00:00,229.0,A,12457000
2002-11-07 00:00:00+00:00,239.0,A,12457000
2002-11-08 00:00:00+00:00,264.0,A,12457000
2002-11-09 00:00:00+00:00,266.0,A,12457000
2002-11-10 00:00:00+00:00,275.0,A,12457000
2002-11-11 00:00:00+00:00,274.0,A,12457000
2002-11-12 00:00:00+00:00,319.0,A,12457000
2002-11-13 00:00:00+00:00,511.0,A,12457000
2002-11-14 00:00:00+00:00,522.0,A,12457000
2002-11-15 00:00:00+00:00,484.0,A,12457000
2002-11-16 00:00:00+00:00,451.0,A,12457000
2002-11-17 00:00:00+00:00,528.0,A,12457000
2002-11-18 00:00:00+00:00,534.0,A,12457000
2002-11-19 00:00:00+00:00,660.0,A,12457000
2002-11-20 00:00:00+00:00,1020.0,A,12457000
2002-11-21 00:00:00+00:00,1060.0,A,12457000
2002-11-22 00:00:00+00:00,998.0,A,12457000
2002-11-23 00:00:00+00:00,913.0,A,12457000
2002-11-24 00:00:00+00:00,812.0,A,12457000
2002-11-25 00:00:00+00:00,721.0,A,12457000
2002-11-26 00:00:00+00:00,647.0,A,12457000
2002-11-27 00:00:00+00:00,593.0,A,12457000
2002-11-28 00:00:00+00:00,551.0,A,12457000
2002-11-29 00:00:00+00:00,526.0,A,12457000
2002-11-30 00:00:00+00:00,502.0,A,12457000
2002-12-01 00:00:00+00:00,483.0,A,12457000
2002-12-02 00:00:00+00:00,467.0,A,12457000
2002-12-03 00:00:00+00:00,454.0,A,12457000
2002-12-04 00:00:00+00:00,436.0,A,12457000
2002-12-05 00:00:00+00:00,428.0,A,12457000
2002-12-06 00:00:00+00:00,414.0,A,12457000
2002-12-07 00:00:00+00:00,402.0,A,12457000
2002-12-08 00:00:00+00:00,389.0,A,12457000
2002-12-09 00:00:00+00:00,376.0,A,12457000
2002-12-10 00:00:00+00:00,375.0,A,12457000
2002-12-11 00:00:00+00:00,396.0,A,12457000
2002-12-12 00:00:00+00:00,417.0,A,12457000
2002-12-13 00:00:00+00:00,423.0,A,12457000
2002-12-14 00:00:00+00:00,456.0,A,12457000
2002-12-15 00:00:00+00:00,498.0,A,12457000
2002-12-16 00:00:00+00:00,642.0,A,12457000
2002-12-17 00:00:00+00:00,651.0,A,12457000
2002-12-18 00:00:00+00:00,604.0,A,12457000
2002-12-19 00:00:00+00:00,559.0,A,12457000
2002-12-20 00:00:00+00:00,535.0,A,12457000
2002-12-21 00:00:00+00:00,509.0,A,12457000
2002-12-22 00:00:00+00:00,481.0,A,12457000
2002-12-23 00:00:00+00:00,460.0,A,12457000
2002-12-24 00:00:00+00:00,443.0,A,12457000
2002-12-25 00:00:00+00:00,432.0,A,12457000
2002-12-26 00:00:00+00:00,430.0,A,12457000
2002-12-27 00:00:00+00:00,438.0,A,12457000
2002-12-28 00:00:00+00:00,436.0,A,12457000
2002-12-29 00:00:00+00:00,424.0,A,12457000
2002-12-30 00:00:00+00:00,423.0,A,12457000
2002-12-31 00:00:00+00:00,432.0,A,12457000
2003-01-01 00:00:00+00:00,419.0,A,12457000
2003-01-02 00:00:00+00:00,426.0,A,12457000
2003-01-03 00:00:00+00:00,485.0,A,12457000
2003-01-04 00:00:00+00:00,545.0,A,12457000
2003-01-05 00:00:00+00:00,569.0,A,12457000
2003-01-06 00:00:00+00:00,564.0,A,12457000
2003-01-07 00:00:00+00:00,540.0,A,12457000
2003-01-08 00:00:00+00:00,515.0,A,12457000
2003-01-09 00:00:00+00:00,485.0,A,12457000
2003-01-10 00:00:00+00:00,446.0,A,12457000
2003-01-11 00:00:00+00:00,456.0,A,12457000
2003-01-12 00:00:00+00:00,473.0,A,12457000
2003-01-13 00:00:00+00:00,460.0,A,12457000
2003-01-14 00:00:00+00:00,453.0,A,12457000
2003-01-15 00:00:00+00:00,434.0,A,12457000
2003-01-16 00:00:00+00:00,424.0,A,12457000
2003-01-17 00:00:00+00:00,414.0,A,12457000
2003-01-18 00:00:00+00:00,404.0,A,12457000
2003-01-19 00:00:00+00:00,397.0,A,12457000
2003-01-20 00:00:00+00:00,392.0,A,12457000
2003-01-21 00:00:00+00:00,402.0,A,12457000
2003-01-22 00:00:00+00:00,421.0,A,12457000
2003-01-23 00:00:00+00:00,445.0,A,12457000
2003-01-24 00:00:00+00:00,498.0,A,12457000
2003-01-25 00:00:00+00:00,546.0,A,12457000
2003-01-26 00:00:00+00:00,1060.0,A,12457000
2003-01-27 00:00:00+00:00,2720.0,A,12457000
2003-01-28 00:00:00+00:00,2560.0,A,12457000
2003-01-29 00:00:00+00:00,2140.0,A,12457000
2003-01-30 00:00:00+00:00,1950.0,A,12457000
2003-01-31 00:00:00+00:00,2870.0,A,12457000
2003-02-01 00:00:00+00:00,3500.0,A,12457000
2003-02-02 00:00:00+00:00,2910.0,A,12457000
2003-02-03 00:00:00+00:00,2420.0,A,12457000
2003-02-04 00:00:00+00:00,2050.0,A,12457000
2003-02-05 00:00:00+00:00,1800.0,A,12457000
2003-02-06 00:00:00+00:00,1600.0,A,12457000
2003-02-07 00:00:00+00:00,1450.0,A,12457000
2003-02-08 00:00:00+00:00,1340.0,A,12457000
2003-02-09 00:00:00+00:00,1250.0,A,12457000
2003-02-10 00:00:00+00:00,1170.0,A,12457000
2003-02-11 00:00:00+00:00,1120.0,A,12457000
2003-02-12 00:00:00+00:00,1070.0,A,12457000
2003-02-13 00:00:00+00:00,1030.0,A,12457000
2003-02-14 00:00:00+00:00,1010.0,A,12457000
2003-02-15 00:00:00+00:00,990.0,A,12457000
2003-02-16 00:00:00+00:00,988.0,A,12457000
2003-02-17 00:00:00+00:00,970.0,A,12457000
2003-02-18 00:00:00+00:00,940.0,A,12457000
2003-02-19 00:00:00+00:00,909.0,A,12457000
2003-02-20 00:00:00+00:00,907.0,A,12457000
2003-02-21 00:00:00+00:00,1040.0,A,12457000
2003-02-22 00:00:00+00:00,1170.0,A,12457000
2003-02-23 00:00:00+00:00,1100.0,A,12457000
2003-02-24 00:00:00+00:00,1020.0,A,12457000
2003-02-25 00:00:00+00:00,949.0,A,12457000
2003-02-26 00:00:00+00:00,921.0,A,12457000
2003-02-27 00:00:00+00:00,893.0,A,12457000
2003-02-28 00:00:00+00:00,861.0,A,12457000
2003-03-01 00:00:00+00:00,830.0,A,12457000
2003-03-02 00:00:00+00:00,808.0,A,12457000
2003-03-03 00:00:00+00:00,790.0,A,12457000
2003-03-04 00:00:00+00:00,769.0,A,12457000
2003-03-05 00:00:00+00:00,792.0,A,12457000
2003-03-06 00:00:00+00:00,884.0,A,12457000
2003-03-07 00:00:00+00:00,883.0,A,12457000
2003-03-08 00:00:00+00:00,827.0,A,12457000
2003-03-09 00:00:00+00:00,822.0,A,12457000
2003-03-10 00:00:00+00:00,806.0,A,12457000
2003-03-11 00:00:00+00:00,923.0,A,12457000
2003-03-12 00:00:00+00:00,1280.0,A,12457000
2003-03-13 00:00:00+00:00,1990.0,A,12457000
2003-03-14 00:00:00+00:00,2600.0,A,12457000
2003-03-15 00:00:00+00:00,2790.0,A,12457000
2003-03-16 00:00:00+00:00,2760.0,A,12457000
2003-03-17 00:00:00+00:00,2540.0,A,12457000
2003-03-18 00:00:00+00:00,2300.0,A,12457000
2003-03-19 00:00:00+00:00,2090.0,A,12457000
2003-03-20 00:00:00+00:00,1950.0,A,12457000
2003-03-21 00:00:00+00:00,1920.0,A,12457000
2003-03-22 00:00:00+00:00,2140.0,A,12457000
2003-03-23 00:00:00+00:00,2300.0,A,12457000
2003-03-24 00:00:00+00:00,2150.0,A,12457000
2003-03-25 00:00:00+00:00,2000.0,A,12457000
2003-03-26 00:00:00+00:00,1890.0,A,12457000
2003-03-27 00:00:00+00:00,1790.0,A,12457000
2003-03-28 00:00:00+00:00,1690.0,A,12457000
2003-03-29 00:00:00+00:00,1620.0,A,12457000
2003-03-30 00:00:00+00:00,1750.0,A,12457000
2003-03-31 00:00:00+00:00,2600.0,A,12457000
2003-04-01 00:00:00+00:00,3390.0,A,12457000
2003-04-02 00:00:00+00:00,3200.0,A,12457000
2003-04-03 00:00:00+00:00,2890.0,A,12457000
2003-04-04 00:00:00+00:00,2600.0,A,12457000
2003-04-05 00:00:00+00:00,2370.0,A,12457000
2003-04-06 00:00:00+00:00,2210.0,A,12457000
2003-04-07 00:00:00+00:00,2060.0,A,12457000
2003-04-08 00:00:00+00:00,1980.0,A,12457000
2003-04-09 00:00:00+00:00,1980.0,A,12457000
2003-04-10 00:00:00+00:00,2020.0,A,12457000
2003-04-11 00:00:00+00:00,2010.0,A,12457000
2003-04-12 00:00:00+00:00,2080.0,A,12457000
2003-04-13 00:00:00+00:00,2310.0,A,12457000
2003-04-14 00:00:00+00:00,2640.0,A,12457000
2003-04-15 00:00:00+00:00,2670.0,A,12457000
2003-04-16 00:00:00+00:00,2640.0,A,12457000
2003-04-17 00:00:00+00:00,2610.0,A,12457000
2003-04-18 00:00:00+00:00,2530.0,A,12457000
2003-04-19 00:00:00+00:00,2410.0,A,12457000
2003-04-20 00:00:00+00:00,2360.0,A,12457000
2003-04-21 00:00:00+00:00,2460.0,A,12457000
2003-04-22 00:00:00+00:00,2690.0,A,12457000
2003-04-23 00:00:00+00:00,2880.0,A,12457000
2003-04-24 00:00:00+00:00,3320.0,A,12457000
2003-04-25 00:00:00+00:00,3620.0,A,12457000
2003-04-26 00:00:00+00:00,3460.0,A,12457000
2003-04-27 00:00:00+00:00,3250.0,A,12457000
2003-04-28 00:00:00+00:00,3110.0,A,12457000
2003-04-29 00:00:00+00:00,3100.0,A,12457000
2003-04-30 00:00:00+00:00,3130.0,A,12457000
2003-05-01 00:00:00+00:00,3270.0,A,12457000
2003-05-02 00:00:00+00:00,3630.0,A,12457000
2003-05-03 00:00:00+00:00,3870.0,A,12457000
2003-05-04 00:00:00+00:00,3780.0,A,12457000
2003-05-05 00:00:00+00:00,3600.0,A,12457000
2003-05-06 00:00:00+00:00,3340.0,A,12457000
2003-05-07 00:00:00+00:00,3120.0,A,12457000
2003-05-08 00:00:00+00:00,2930.0,A,12457000
2003-05-09 00:00:00+00:00,2810.0,A,12457000
