datetime,00060_Mean,00060_Mean_cd,site_no
2004-10-01 00:00:00+00:00,167.0,A,13127000
2004-10-02 00:00:00+00:00,166.0,A,13127000
2004-10-03 00:00:00+00:00,163.0,A,13127000
2004-10-04 00:00:00+00:00,163.0,A,13127000
2004-10-05 00:00:00+00:00,163.0,A,13127000
2004-10-06 00:00:00+00:00,163.0,A,13127000
2004-10-07 00:00:00+00:00,163.0,A,13127000
2004-10-08 00:00:00+00:00,163.0,A,13127000
2004-10-09 00:00:00+00:00,162.0,A,13127000
2004-10-10 00:00:00+00:00,162.0,A,13127000
2004-10-11 00:00:00+00:00,163.0,A,13127000
2004-10-12 00:00:00+00:00,160.0,A,13127000
2004-10-13 00:00:00+00:00,163.0,A,13127000
2004-10-14 00:00:00+00:00,165.0,A,13127000
2004-10-15 00:00:00+00:00,164.0,A,13127000
2004-10-16 00:00:00+00:00,102.0,A,13127000
2004-10-17 00:00:00+00:00,62.2,A,13127000
2004-10-18 00:00:00+00:00,62.0,A,13127000
2004-10-19 00:00:00+00:00,62.0,A,13127000
2004-10-20 00:00:00+00:00,62.0,A,13127000
2004-10-21 00:00:00+00:00,60.0,A,13127000
2004-10-22 00:00:00+00:00,59.0,A,13127000
2004-10-23 00:00:00+00:00,61.0,A,13127000
2004-10-24 00:00:00+00:00,63.0,A,13127000
2004-10-25 00:00:00+00:00,65.0,A,13127000
2004-10-26 00:00:00+00:00,69.0,A,13127000
2004-10-27 00:00:00+00:00,73.0,A,13127000
2004-10-28 00:00:00+00:00,76.1,A,13127000
2004-10-29 00:00:00+00:00,75.6,A,13127000
2004-10-30 00:00:00+00:00,74.5,A,13127000
2004-10-31 00:00:00+00:00,75.7,A,13127000
2004-11-01 00:00:00+00:00,72.9,A,13127000
2004-11-02 00:00:00+00:00,68.4,A,13127000
2004-11-03 00:00:00+00:00,62.2,A,13127000
2004-11-04 00:00:00+00:00,59.9,A,13127000
2004-11-05 00:00:00+00:00,61.7,A,13127000
2004-11-06 00:00:00+00:00,62.9,A,13127000
2004-11-07 00:00:00+00:00,62.9,A,13127000
2004-11-08 00:00:00+00:00,61.1,A,13127000
2004-11-09 00:00:00+00:00,53.8,A,13127000
2004-11-10 00:00:00+00:00,50.0,A,13127000
2004-11-11 00:00:00+00:00,50.0,A,13127000
2004-11-12 00:00:00+00:00,50.0,A,13127000
2004-11-13 00:00:00+00:00,52.0,A,13127000
2004-11-14 00:00:00+00:00,52.0,A,13127000
2004-11-15 00:00:00+00:00,54.0,A,13127000
2004-11-16 00:00:00+00:00,57.0,A,13127000
2004-11-17 00:00:00+00:00,58.4,A,13127000
2004-11-18 00:00:00+00:00,59.1,A,13127000
2004-11-19 00:00:00+00:00,55.3,A,13127000
2004-11-20 00:00:00+00:00,47.8,A,13127000
2004-11-21 00:00:00+00:00,48.8,A,13127000
2004-11-22 00:00:00+00:00,49.2,A,13127000
2004-11-23 00:00:00+00:00,50.4,A,13127000
2004-11-24 00:00:00+00:00,50.4,A,13127000
2004-11-25 00:00:00+00:00,50.7,A,13127000
2004-11-26 00:00:00+00:00,52.1,A,13127000
2004-11-27 00:00:00+00:00,52.5,A,13127000
2004-11-28 00:00:00+00:00,52.8,A,13127000
2004-11-29 00:00:00+00:00,53.8,A,13127000
2004-11-30 00:00:00+00:00,54.5,A,13127000
2004-12-01 00:00:00+00:00,56.4,A,13127000
2004-12-02 00:00:00+00:00,57.3,A,13127000
2004-12-03 00:00:00+00:00,58.1,A,13127000
2004-12-04 00:00:00+00:00,59.1,A,13127000
