datetime,00060_Mean,00060_Mean_cd,site_no
2004-10-01 00:00:00+00:00,45.0,A,10344400
2004-10-02 00:00:00+00:00,45.0,A,10344400
2004-10-03 00:00:00+00:00,45.0,A,10344400
2004-10-04 00:00:00+00:00,45.1,A,10344400
2004-10-05 00:00:00+00:00,45.0,A,10344400
2004-10-06 00:00:00+00:00,45.0,A,10344400
2004-10-07 00:00:00+00:00,44.6,A,10344400
2004-10-08 00:00:00+00:00,45.0,A,10344400
2004-10-09 00:00:00+00:00,45.5,A,10344400
2004-10-10 00:00:00+00:00,45.6,A,10344400
2004-10-11 00:00:00+00:00,45.6,A,10344400
2004-10-12 00:00:00+00:00,37.6,A,10344400
2004-10-13 00:00:00+00:00,29.3,A,10344400
2004-10-14 00:00:00+00:00,29.1,A,10344400
2004-10-15 00:00:00+00:00,29.2,A,10344400
2004-10-16 00:00:00+00:00,30.2,A,10344400
2004-10-17 00:00:00+00:00,31.8,A,10344400
2004-10-18 00:00:00+00:00,31.0,A,10344400
2004-10-19 00:00:00+00:00,33.4,A,10344400
2004-10-20 00:00:00+00:00,85.6,A,10344400
2004-10-21 00:00:00+00:00,165.0,A,10344400
2004-10-22 00:00:00+00:00,191.0,A,10344400
2004-10-23 00:00:00+00:00,192.0,A,10344400
2004-10-24 00:00:00+00:00,191.0,A,10344400
2004-10-25 00:00:00+00:00,164.0,A,10344400
2004-10-26 00:00:00+00:00,146.0,A,10344400
2004-10-27 00:00:00+00:00,138.0,A,10344400
2004-10-28 00:00:00+00:00,111.0,A,10344400
2004-10-29 00:00:00+00:00,92.4,A,10344400
2004-10-30 00:00:00+00:00,92.3,A,10344400
2004-10-31 00:00:00+00:00,92.0,A,10344400
2004-11-01 00:00:00+00:00,83.1,A,10344400
2004-11-02 00:00:00+00:00,64.0,A,10344400
2004-11-03 00:00:00+00:00,64.3,A,10344400
2004-11-04 00:00:00+00:00,64.4,A,10344400
2004-11-05 00:00:00+00:00,64.0,A,10344400
2004-11-06 00:00:00+00:00,63.9,A,10344400
2004-11-07 00:00:00+00:00,63.6,A,10344400
2004-11-08 00:00:00+00:00,63.3,A,10344400
2004-11-09 00:00:00+00:00,63.1,A,10344400
2004-11-10 00:00:00+00:00,63.4,A,10344400
2004-11-11 00:00:00+00:00,63.7,A,10344400
2004-11-12 00:00:00+00:00,63.2,A,10344400
2004-11-13 00:00:00+00:00,63.3,A,10344400
2004-11-14 00:00:00+00:00,63.3,A,10344400
2004-11-15 00:00:00+00:00,63.1,A,10344400
2004-11-16 00:00:00+00:00,54.0,A,10344400
2004-11-17 00:00:00+00:00,42.4,A,10344400
2004-11-18 00:00:00+00:00,42.2,A,10344400
2004-11-19 00:00:00+00:00,42.1,A,10344400
2004-11-20 00:00:00+00:00,42.0,A,10344400
2004-11-21 00:00:00+00:00,41.9,A,10344400
2004-11-22 00:00:00+00:00,41.6,A,10344400
2004-11-23 00:00:00+00:00,37.3,A,10344400
2004-11-24 00:00:00+00:00,33.0,A,10344400
2004-11-25 00:00:00+00:00,33.2,A,10344400
2004-11-26 00:00:00+00:00,33.0,A,10344400
2004-11-27 00:00:00+00:00,33.0,"A, e",10344400
2004-11-28 00:00:00+00:00,33.0,A,10344400
2004-11-29 00:00:00+00:00,33.0,"A, e",10344400
2004-11-30 00:00:00+00:00,32.8,A,10344400
2004-12-01 00:00:00+00:00,33.0,A,10344400
2004-12-02 00:00:00+00:00,33.0,"A, e",10344400
2004-12-03 00:00:00+00:00,33.0,"A, e",10344400
2004-12-04 00:00:00+00:00,32.6,A,10344400
2004-12-05 00:00:00+00:00,33.0,A,10344400
2004-12-06 00:00:00+00:00,33.0,A,10344400
2004-12-07 00:00:00+00:00,33.0,"A, e",10344400
2004-12-08 00:00:00+00:00,46.5,A,10344400
2004-12-09 00:00:00+00:00,75.2,A,10344400
2004-12-10 00:00:00+00:00,98.7,A,10344400
2004-12-11 00:00:00+00:00,98.6,A,10344400
2004-12-12 00:00:00+00:00,98.6,A,10344400
2004-12-13 00:00:00+00:00,98.7,A,10344400
2004-12-14 00:00:00+00:00,98.5,A,10344400
2004-12-15 00:00:00+00:00,98.2,A,10344400
2004-12-16 00:00:00+00:00,98.1,A,10344400
2004-12-17 00:00:00+00:00,88.3,A,10344400
2004-12-18 00:00:00+00:00,74.8,A,10344400
2004-12-19 00:00:00+00:00,74.8,A,10344400
2004-12-20 00:00:00+00:00,74.8,A,10344400
2004-12-21 00:00:00+00:00,74.8,A,10344400
2004-12-22 00:00:00+00:00,74.8,A,10344400
2004-12-23 00:00:00+00:00,63.8,A,10344400
2004-12-24 00:00:00+00:00,54.9,A,10344400
2004-12-25 00:00:00+00:00,54.8,A,10344400
2004-12-26 00:00:00+00:00,54.7,A,10344400
2004-12-27 00:00:00+00:00,55.0,A,10344400
2004-12-28 00:00:00+00:00,54.9,A,10344400
2004-12-29 00:00:00+00:00,55.2,A,10344400
2004-12-30 00:00:00+00:00,57.1,A,10344400
2004-12-31 00:00:00+00:00,41.2,A,10344400
2005-01-01 00:00:00+00:00,35.8,A,10344400
2005-01-02 00:00:00+00:00,34.6,A,10344400
2005-01-03 00:00:00+00:00,46.0,"A, e",10344400
2005-01-04 00:00:00+00:00,96.4,A,10344400
2005-01-05 00:00:00+00:00,97.4,A,10344400
2005-01-06 00:00:00+00:00,97.9,A,10344400
2005-01-07 00:00:00+00:00,99.4,A,10344400
2005-01-08 00:00:00+00:00,101.0,A,10344400
2005-01-09 00:00:00+00:00,98.8,A,10344400
2005-01-10 00:00:00+00:00,98.8,A,10344400
2005-01-11 00:00:00+00:00,99.1,A,10344400
2005-01-12 00:00:00+00:00,113.0,A,10344400
2005-01-13 00:00:00+00:00,141.0,A,10344400
2005-01-14 00:00:00+00:00,141.0,A,10344400
2005-01-15 00:00:00+00:00,141.0,A,10344400
2005-01-16 00:00:00+00:00,141.0,A,10344400
2005-01-17 00:00:00+00:00,141.0,A,10344400
2005-01-18 00:00:00+00:00,118.0,A,10344400
2005-01-19 00:00:00+00:00,88.6,A,10344400
2005-01-20 00:00:00+00:00,67.0,A,10344400
2005-01-21 00:00:00+00:00,56.4,A,10344400
2005-01-22 00:00:00+00:00,55.0,"A, e",10344400
2005-01-23 00:00:00+00:00,55.0,"A, e",10344400
2005-01-24 00:00:00+00:00,55.0,"A, e",10344400
2005-01-25 00:00:00+00:00,55.8,A,10344400
2005-01-26 00:00:00+00:00,56.0,"A, e",10344400
2005-01-27 00:00:00+00:00,56.2,A,10344400
2005-01-28 00:00:00+00:00,66.0,A,10344400
2005-01-29 00:00:00+00:00,74.8,A,10344400
2005-01-30 00:00:00+00:00,75.0,"A, e",10344400
2005-01-31 00:00:00+00:00,65.8,A,10344400
2005-02-01 00:00:00+00:00,55.6,A,10344400
2005-02-02 00:00:00+00:00,55.7,A,10344400
2005-02-03 00:00:00+00:00,56.0,"A, e",10344400
2005-02-04 00:00:00+00:00,52.0,"A, e",10344400
2005-02-05 00:00:00+00:00,44.9,A,10344400
2005-02-06 00:00:00+00:00,44.9,A,10344400
2005-02-07 00:00:00+00:00,44.8,A,10344400
2005-02-08 00:00:00+00:00,45.0,A,10344400
2005-02-09 00:00:00+00:00,44.8,A,10344400
2005-02-10 00:00:00+00:00,45.1,A,10344400
2005-02-11 00:00:00+00:00,45.1,A,10344400
2005-02-12 00:00:00+00:00,45.2,A,10344400
2005-02-13 00:00:00+00:00,45.6,A,10344400
2005-02-14 00:00:00+00:00,46.4,A,10344400
2005-02-15 00:00:00+00:00,46.3,A,10344400
2005-02-16 00:00:00+00:00,46.0,A,10344400
2005-02-17 00:00:00+00:00,45.4,A,10344400
2005-02-18 00:00:00+00:00,45.8,A,10344400
2005-02-19 00:00:00+00:00,45.7,A,10344400
2005-02-20 00:00:00+00:00,46.2,A,10344400
2005-02-21 00:00:00+00:00,46.4,A,10344400
2005-02-22 00:00:00+00:00,56.2,A,10344400
2005-02-23 00:00:00+00:00,67.7,A,10344400
2005-02-24 00:00:00+00:00,68.5,A,10344400
2005-02-25 00:00:00+00:00,68.9,A,10344400
2005-02-26 00:00:00+00:00,69.2,A,10344400
2005-02-27 00:00:00+00:00,69.7,A,10344400
2005-02-28 00:00:00+00:00,70.1,A,10344400
2005-03-01 00:00:00+00:00,82.1,A,10344400
2005-03-02 00:00:00+00:00,94.4,A,10344400
2005-03-03 00:00:00+00:00,94.3,A,10344400
2005-03-04 00:00:00+00:00,99.8,A,10344400
2005-03-05 00:00:00+00:00,106.0,A,10344400
2005-03-06 00:00:00+00:00,107.0,A,10344400
2005-03-07 00:00:00+00:00,110.0,A,10344400
2005-03-08 00:00:00+00:00,112.0,A,10344400
2005-03-09 00:00:00+00:00,114.0,A,10344400
2005-03-10 00:00:00+00:00,120.0,A,10344400
2005-03-11 00:00:00+00:00,123.0,A,10344400
2005-03-12 00:00:00+00:00,123.0,A,10344400
2005-03-13 00:00:00+00:00,121.0,A,10344400
2005-03-14 00:00:00+00:00,103.0,A,10344400
2005-03-15 00:00:00+00:00,90.7,A,10344400
2005-03-16 00:00:00+00:00,83.8,A,10344400
2005-03-17 00:00:00+00:00,57.5,A,10344400
2005-03-18 00:00:00+00:00,46.4,A,10344400
2005-03-19 00:00:00+00:00,50.1,A,10344400
2005-03-20 00:00:00+00:00,49.2,A,10344400
2005-03-21 00:00:00+00:00,46.4,A,10344400
2005-03-22 00:00:00+00:00,58.5,A,10344400
2005-03-23 00:00:00+00:00,62.7,A,10344400
2005-03-24 00:00:00+00:00,68.8,A,10344400
2005-03-25 00:00:00+00:00,80.0,A,10344400
2005-03-26 00:00:00+00:00,91.6,A,10344400
2005-03-27 00:00:00+00:00,103.0,A,10344400
2005-03-28 00:00:00+00:00,111.0,A,10344400
2005-03-29 00:00:00+00:00,113.0,A,10344400
2005-03-30 00:00:00+00:00,146.0,A,10344400
2005-03-31 00:00:00+00:00,190.0,A,10344400
2005-04-01 00:00:00+00:00,212.0,A,10344400
2005-04-02 00:00:00+00:00,216.0,A,10344400
2005-04-03 00:00:00+00:00,214.0,A,10344400
2005-04-04 00:00:00+00:00,231.0,A,10344400
2005-04-05 00:00:00+00:00,245.0,A,10344400
2005-04-06 00:00:00+00:00,223.0,A,10344400
2005-04-07 00:00:00+00:00,147.0,A,10344400
2005-04-08 00:00:00+00:00,95.0,A,10344400
2005-04-09 00:00:00+00:00,55.4,A,10344400
2005-04-10 00:00:00+00:00,52.2,A,10344400
2005-04-11 00:00:00+00:00,53.5,A,10344400
2005-04-12 00:00:00+00:00,55.5,A,10344400
2005-04-13 00:00:00+00:00,53.7,A,10344400
2005-04-14 00:00:00+00:00,51.0,A,10344400
2005-04-15 00:00:00+00:00,50.2,A,10344400
2005-04-16 00:00:00+00:00,51.9,A,10344400
2005-04-17 00:00:00+00:00,55.2,A,10344400
2005-04-18 00:00:00+00:00,55.9,A,10344400
2005-04-19 00:00:00+00:00,52.4,A,10344400
2005-04-20 00:00:00+00:00,50.0,A,10344400
2005-04-21 00:00:00+00:00,49.0,A,10344400
2005-04-22 00:00:00+00:00,49.9,A,10344400
2005-04-23 00:00:00+00:00,51.0,A,10344400
2005-04-24 00:00:00+00:00,49.4,A,10344400
2005-04-25 00:00:00+00:00,48.3,A,10344400
2005-04-26 00:00:00+00:00,48.6,A,10344400
2005-04-27 00:00:00+00:00,51.4,A,10344400
2005-04-28 00:00:00+00:00,49.8,A,10344400
2005-04-29 00:00:00+00:00,47.4,A,10344400
