datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,80154_Mean,80154_Mean_cd,80155_Mean,80155_Mean_cd
2005-10-01 00:00:00+00:00,11.5,A,12340000,509.0,A,2.0,A,2.7,A
2005-10-02 00:00:00+00:00,10.5,A,12340000,514.0,A,2.0,A,2.8,A
2005-10-03 00:00:00+00:00,9.0,A,12340000,518.0,A,2.0,A,2.8,A
2005-10-04 00:00:00+00:00,8.5,A,12340000,538.0,A,2.0,A,2.9,A
2005-10-05 00:00:00+00:00,8.5,A,12340000,532.0,A,2.0,A,2.9,A
2005-10-06 00:00:00+00:00,8.0,A,12340000,524.0,A,2.0,A,2.8,A
2005-10-07 00:00:00+00:00,8.0,A,12340000,521.0,A,2.0,A,2.8,A
2005-10-08 00:00:00+00:00,8.5,A,12340000,516.0,A,2.0,A,2.8,A
2005-10-09 00:00:00+00:00,8.0,A,12340000,511.0,A,2.0,A,2.8,A
2005-10-10 00:00:00+00:00,7.0,A,12340000,514.0,A,2.0,A,2.8,A
2005-10-11 00:00:00+00:00,7.0,A,12340000,517.0,A,2.0,A,2.8,A
2005-10-12 00:00:00+00:00,7.5,A,12340000,516.0,A,2.0,A,2.8,A
2005-10-13 00:00:00+00:00,8.0,A,12340000,511.0,A,2.0,A,2.8,A
2005-10-14 00:00:00+00:00,8.5,A,12340000,510.0,A,2.0,A,2.8,A
2005-10-15 00:00:00+00:00,8.5,A,12340000,504.0,A,2.0,A,2.7,A
2005-10-16 00:00:00+00:00,9.0,A,12340000,500.0,A,1.0,A,1.4,A
2005-10-17 00:00:00+00:00,10.0,A,12340000,500.0,A,1.0,A,1.4,A
2005-10-18 00:00:00+00:00,10.5,A,12340000,494.0,A,1.0,A,1.3,A
2005-10-19 00:00:00+00:00,10.0,A,12340000,490.0,A,2.0,A,2.6,A
2005-10-20 00:00:00+00:00,9.5,A,12340000,493.0,A,2.0,A,2.7,A
2005-10-21 00:00:00+00:00,9.0,A,12340000,499.0,A,1.0,A,1.3,A
2005-10-22 00:00:00+00:00,8.0,A,12340000,497.0,A,1.0,A,1.3,A
2005-10-23 00:00:00+00:00,7.5,A,12340000,493.0,A,2.0,A,2.7,A
2005-10-24 00:00:00+00:00,7.5,A,12340000,488.0,A,3.0,A,4.0,A
2005-10-25 00:00:00+00:00,7.0,A,12340000,482.0,A,2.0,A,2.6,A
2005-10-26 00:00:00+00:00,7.5,A,12340000,478.0,A,2.0,A,2.6,A
2005-10-27 00:00:00+00:00,8.0,A,12340000,492.0,A,2.0,A,2.7,A
2005-10-28 00:00:00+00:00,8.0,A,12340000,498.0,A,2.0,A,2.7,A
2005-10-29 00:00:00+00:00,7.0,A,12340000,490.0,A,2.0,A,2.6,A
2005-10-30 00:00:00+00:00,6.0,A,12340000,487.0,A,1.0,A,1.3,A
2005-10-31 00:00:00+00:00,4.5,A,12340000,492.0,A,1.0,A,1.3,A
2005-11-01 00:00:00+00:00,4.5,A,12340000,557.0,A,2.0,A,3.0,A
2005-11-02 00:00:00+00:00,5.0,A,12340000,584.0,A,2.0,A,3.2,A
2005-11-03 00:00:00+00:00,5.5,A,12340000,574.0,A,1.0,A,1.5,A
2005-11-04 00:00:00+00:00,5.0,A,12340000,549.0,A,1.0,A,1.5,A
2005-11-05 00:00:00+00:00,4.5,A,12340000,528.0,A,1.0,A,1.4,A
2005-11-06 00:00:00+00:00,3.5,A,12340000,532.0,A,1.0,A,1.4,A
2005-11-07 00:00:00+00:00,3.5,A,12340000,527.0,A,1.0,A,1.4,A
2005-11-08 00:00:00+00:00,3.5,A,12340000,552.0,A,1.0,A,1.5,A
2005-11-09 00:00:00+00:00,2.5,A,12340000,547.0,A,1.0,A,1.5,A
2005-11-10 00:00:00+00:00,1.5,A,12340000,529.0,A,1.0,A,1.4,A
2005-11-11 00:00:00+00:00,2.0,A,12340000,539.0,A,1.0,A,1.5,A
2005-11-12 00:00:00+00:00,2.5,A,12340000,549.0,A,1.0,A,1.5,A
2005-11-13 00:00:00+00:00,2.5,A,12340000,552.0,A,1.0,A,1.5,A
2005-11-14 00:00:00+00:00,2.0,A,12340000,576.0,A,1.0,A,1.6,A
2005-11-15 00:00:00+00:00,1.5,A,12340000,544.0,A,1.0,A,1.5,A
2005-11-16 00:00:00+00:00,1.5,A,12340000,536.0,A,1.0,A,1.4,A
2005-11-17 00:00:00+00:00,2.5,A,12340000,535.0,A,1.0,A,1.4,A
2005-11-18 00:00:00+00:00,2.0,A,12340000,520.0,A,1.0,A,1.4,A
2005-11-19 00:00:00+00:00,2.0,A,12340000,514.0,A,1.0,A,1.4,A
2005-11-20 00:00:00+00:00,2.0,A,12340000,502.0,A,1.0,A,1.4,A
2005-11-21 00:00:00+00:00,2.0,A,12340000,487.0,A,1.0,A,1.3,A
2005-11-22 00:00:00+00:00,1.5,A,12340000,484.0,A,1.0,A,1.3,A
2005-11-23 00:00:00+00:00,1.5,A,12340000,480.0,A,1.0,A,1.3,A
2005-11-24 00:00:00+00:00,1.0,A,12340000,464.0,A,1.0,A,1.3,A
2005-11-25 00:00:00+00:00,1.0,A,12340000,446.0,A,1.0,A,1.2,A
