datetime,00060_Mean,00060_Mean_cd,site_no
2005-10-01 00:00:00+00:00,0.22,A,09378170
2005-10-02 00:00:00+00:00,0.22,A,09378170
2005-10-03 00:00:00+00:00,0.22,A,09378170
2005-10-04 00:00:00+00:00,0.26,A,09378170
2005-10-05 00:00:00+00:00,0.28,A,09378170
2005-10-06 00:00:00+00:00,0.28,A,09378170
2005-10-07 00:00:00+00:00,0.29,A,09378170
2005-10-08 00:00:00+00:00,0.75,A,09378170
2005-10-09 00:00:00+00:00,0.49,A,09378170
2005-10-10 00:00:00+00:00,0.35,A,09378170
2005-10-11 00:00:00+00:00,0.35,A,09378170
2005-10-12 00:00:00+00:00,0.3,A,09378170
2005-10-13 00:00:00+00:00,0.26,A,09378170
2005-10-14 00:00:00+00:00,0.26,A,09378170
2005-10-15 00:00:00+00:00,0.26,A,09378170
2005-10-16 00:00:00+00:00,0.27,A,09378170
2005-10-17 00:00:00+00:00,0.26,A,09378170
2005-10-18 00:00:00+00:00,0.33,A,09378170
2005-10-19 00:00:00+00:00,0.58,A,09378170
2005-10-20 00:00:00+00:00,0.26,A,09378170
2005-10-21 00:00:00+00:00,0.26,A,09378170
2005-10-22 00:00:00+00:00,0.26,A,09378170
2005-10-23 00:00:00+00:00,0.25,A,09378170
2005-10-24 00:00:00+00:00,0.22,A,09378170
2005-10-25 00:00:00+00:00,0.22,A,09378170
2005-10-26 00:00:00+00:00,0.24,A,09378170
2005-10-27 00:00:00+00:00,0.21,A,09378170
2005-10-28 00:00:00+00:00,0.22,A,09378170
2005-10-29 00:00:00+00:00,0.33,A,09378170
2005-10-30 00:00:00+00:00,0.24,A,09378170
2005-10-31 00:00:00+00:00,0.21,A,09378170
2005-11-01 00:00:00+00:00,0.2,A,09378170
2005-11-02 00:00:00+00:00,0.2,A,09378170
2005-11-03 00:00:00+00:00,0.2,A,09378170
2005-11-04 00:00:00+00:00,0.2,A,09378170
2005-11-05 00:00:00+00:00,0.2,A,09378170
2005-11-06 00:00:00+00:00,0.2,A,09378170
2005-11-07 00:00:00+00:00,0.2,A,09378170
2005-11-08 00:00:00+00:00,0.2,A,09378170
2005-11-09 00:00:00+00:00,0.18,A,09378170
2005-11-10 00:00:00+00:00,0.19,A,09378170
2005-11-11 00:00:00+00:00,0.24,A,09378170
2005-11-12 00:00:00+00:00,0.2,A,09378170
2005-11-13 00:00:00+00:00,0.2,A,09378170
2005-11-14 00:00:00+00:00,0.21,A,09378170
2005-11-15 00:00:00+00:00,0.2,"A, e",09378170
2005-11-16 00:00:00+00:00,0.19,"A, e",09378170
2005-11-17 00:00:00+00:00,0.18,"A, e",09378170
2005-11-18 00:00:00+00:00,0.18,"A, e",09378170
2005-11-19 00:00:00+00:00,0.13,A,09378170
2005-11-20 00:00:00+00:00,0.17,"A, e",09378170
2005-11-21 00:00:00+00:00,0.19,"A, e",09378170
2005-11-22 00:00:00+00:00,0.19,"A, e",09378170
2005-11-23 00:00:00+00:00,0.17,"A, e",09378170
2005-11-24 00:00:00+00:00,0.18,"A, e",09378170
2005-11-25 00:00:00+00:00,0.18,"A, e",09378170
2005-11-26 00:00:00+00:00,0.17,"A, e",09378170
2005-11-27 00:00:00+00:00,0.16,"A, e",09378170
2005-11-28 00:00:00+00:00,0.15,"A, e",09378170
2005-11-29 00:00:00+00:00,0.16,"A, e",09378170
2005-11-30 00:00:00+00:00,0.16,"A, e",09378170
2005-12-01 00:00:00+00:00,0.16,"A, e",09378170
2005-12-02 00:00:00+00:00,0.18,A,09378170
2005-12-03 00:00:00+00:00,0.17,A,09378170
2005-12-04 00:00:00+00:00,0.15,"A, e",09378170
2005-12-05 00:00:00+00:00,0.13,"A, e",09378170
2005-12-06 00:00:00+00:00,0.14,"A, e",09378170
2005-12-07 00:00:00+00:00,0.12,"A, e",09378170
2005-12-08 00:00:00+00:00,0.1,"A, e",09378170
2005-12-09 00:00:00+00:00,0.11,"A, e",09378170
2005-12-10 00:00:00+00:00,0.12,"A, e",09378170
2005-12-11 00:00:00+00:00,0.13,"A, e",09378170
2005-12-12 00:00:00+00:00,0.11,"A, e",09378170
2005-12-13 00:00:00+00:00,0.11,"A, e",09378170
2005-12-14 00:00:00+00:00,0.09,"A, e",09378170
2005-12-15 00:00:00+00:00,0.08,"A, e",09378170
2005-12-16 00:00:00+00:00,0.07,"A, e",09378170
2005-12-17 00:00:00+00:00,0.07,"A, e",09378170
2005-12-18 00:00:00+00:00,0.08,"A, e",09378170
2005-12-19 00:00:00+00:00,0.08,"A, e",09378170
2005-12-20 00:00:00+00:00,0.08,"A, e",09378170
2005-12-21 00:00:00+00:00,0.08,A,09378170
2005-12-22 00:00:00+00:00,0.08,A,09378170
2005-12-23 00:00:00+00:00,0.08,A,09378170
2005-12-24 00:00:00+00:00,0.08,A,09378170
2005-12-25 00:00:00+00:00,0.09,A,09378170
2005-12-26 00:00:00+00:00,0.08,A,09378170
2005-12-27 00:00:00+00:00,0.08,A,09378170
2005-12-28 00:00:00+00:00,0.08,A,09378170
2005-12-29 00:00:00+00:00,0.08,A,09378170
2005-12-30 00:00:00+00:00,0.07,A,09378170
2005-12-31 00:00:00+00:00,0.08,A,09378170
2006-01-01 00:00:00+00:00,0.09,A,09378170
2006-01-02 00:00:00+00:00,0.08,A,09378170
2006-01-03 00:00:00+00:00,0.07,A,09378170
2006-01-04 00:00:00+00:00,0.06,A,09378170
2006-01-05 00:00:00+00:00,0.05,A,09378170
2006-01-06 00:00:00+00:00,0.06,A,09378170
2006-01-07 00:00:00+00:00,0.07,A,09378170
2006-01-08 00:00:00+00:00,0.06,A,09378170
2006-01-09 00:00:00+00:00,0.04,A,09378170
2006-01-10 00:00:00+00:00,0.04,"A, e",09378170
2006-01-11 00:00:00+00:00,0.04,"A, e",09378170
2006-01-12 00:00:00+00:00,0.03,"A, e",09378170
2006-01-13 00:00:00+00:00,0.05,"A, e",09378170
2006-01-14 00:00:00+00:00,0.06,"A, e",09378170
2006-01-15 00:00:00+00:00,0.05,"A, e",09378170
2006-01-16 00:00:00+00:00,0.05,"A, e",09378170
2006-01-17 00:00:00+00:00,0.05,"A, e",09378170
2006-01-18 00:00:00+00:00,0.05,"A, e",09378170
2006-01-19 00:00:00+00:00,0.05,A,09378170
2006-01-20 00:00:00+00:00,0.04,A,09378170
2006-01-21 00:00:00+00:00,0.04,"A, e",09378170
2006-01-22 00:00:00+00:00,0.05,"A, e",09378170
2006-01-23 00:00:00+00:00,0.05,"A, e",09378170
2006-01-24 00:00:00+00:00,0.06,"A, e",09378170
2006-01-25 00:00:00+00:00,0.06,"A, e",09378170
2006-01-26 00:00:00+00:00,0.03,"A, e",09378170
2006-01-27 00:00:00+00:00,0.03,"A, e",09378170
2006-01-28 00:00:00+00:00,0.03,"A, e",09378170
2006-01-29 00:00:00+00:00,0.03,A,09378170
2006-01-30 00:00:00+00:00,0.01,A,09378170
2006-01-31 00:00:00+00:00,0.01,A,09378170
2006-02-01 00:00:00+00:00,0.01,A,09378170
2006-02-02 00:00:00+00:00,0.01,A,09378170
2006-02-03 00:00:00+00:00,0.01,A,09378170
2006-02-04 00:00:00+00:00,0.01,A,09378170
2006-02-05 00:00:00+00:00,0.01,A,09378170
2006-02-06 00:00:00+00:00,0.01,A,09378170
2006-02-07 00:00:00+00:00,0.03,A,09378170
2006-02-08 00:00:00+00:00,0.03,A,09378170
2006-02-09 00:00:00+00:00,0.03,A,09378170
2006-02-10 00:00:00+00:00,0.02,A,09378170
2006-02-11 00:00:00+00:00,0.03,A,09378170
2006-02-12 00:00:00+00:00,0.03,"A, e",09378170
2006-02-13 00:00:00+00:00,0.03,"A, e",09378170
2006-02-14 00:00:00+00:00,0.03,"A, e",09378170
2006-02-15 00:00:00+00:00,0.03,A,09378170
2006-02-16 00:00:00+00:00,0.03,A,09378170
2006-02-17 00:00:00+00:00,0.03,"A, e",09378170
2006-02-18 00:00:00+00:00,0.03,"A, e",09378170
2006-02-19 00:00:00+00:00,0.03,"A, e",09378170
2006-02-20 00:00:00+00:00,0.02,"A, e",09378170
2006-02-21 00:00:00+00:00,0.03,"A, e",09378170
2006-02-22 00:00:00+00:00,0.03,"A, e",09378170
2006-02-23 00:00:00+00:00,0.03,"A, e",09378170
2006-02-24 00:00:00+00:00,0.03,"A, e",09378170
2006-02-25 00:00:00+00:00,0.03,"A, e",09378170
2006-02-26 00:00:00+00:00,0.03,A,09378170
2006-02-27 00:00:00+00:00,0.06,A,09378170
2006-02-28 00:00:00+00:00,0.07,A,09378170
2006-03-01 00:00:00+00:00,0.08,A,09378170
2006-03-02 00:00:00+00:00,0.07,A,09378170
2006-03-03 00:00:00+00:00,0.07,A,09378170
2006-03-04 00:00:00+00:00,0.05,A,09378170
2006-03-05 00:00:00+00:00,0.04,A,09378170
2006-03-06 00:00:00+00:00,0.05,A,09378170
2006-03-07 00:00:00+00:00,0.05,A,09378170
2006-03-08 00:00:00+00:00,0.07,A,09378170
2006-03-09 00:00:00+00:00,0.05,A,09378170
2006-03-10 00:00:00+00:00,0.05,A,09378170
2006-03-11 00:00:00+00:00,0.04,A,09378170
2006-03-12 00:00:00+00:00,0.03,A,09378170
2006-03-13 00:00:00+00:00,0.07,A,09378170
2006-03-14 00:00:00+00:00,0.08,A,09378170
2006-03-15 00:00:00+00:00,0.11,A,09378170
2006-03-16 00:00:00+00:00,0.07,A,09378170
2006-03-17 00:00:00+00:00,0.1,A,09378170
2006-03-18 00:00:00+00:00,0.1,A,09378170
2006-03-19 00:00:00+00:00,0.08,A,09378170
2006-03-20 00:00:00+00:00,0.06,A,09378170
2006-03-21 00:00:00+00:00,0.08,A,09378170
2006-03-22 00:00:00+00:00,0.08,A,09378170
2006-03-23 00:00:00+00:00,0.09,A,09378170
2006-03-24 00:00:00+00:00,0.15,A,09378170
2006-03-25 00:00:00+00:00,0.26,A,09378170
2006-03-26 00:00:00+00:00,0.24,A,09378170
2006-03-27 00:00:00+00:00,0.18,A,09378170
2006-03-28 00:00:00+00:00,0.77,A,09378170
2006-03-29 00:00:00+00:00,1.84,A,09378170
2006-03-30 00:00:00+00:00,0.96,A,09378170
