datetime,00060_Mean,00060_Mean_cd,site_no
2006-10-01 00:00:00+00:00,203.0,A,13011900
2006-10-02 00:00:00+00:00,205.0,A,13011900
2006-10-03 00:00:00+00:00,235.0,A,13011900
2006-10-04 00:00:00+00:00,230.0,A,13011900
2006-10-05 00:00:00+00:00,218.0,A,13011900
2006-10-06 00:00:00+00:00,220.0,A,13011900
2006-10-07 00:00:00+00:00,233.0,A,13011900
2006-10-08 00:00:00+00:00,239.0,A,13011900
2006-10-09 00:00:00+00:00,231.0,A,13011900
2006-10-10 00:00:00+00:00,223.0,A,13011900
2006-10-11 00:00:00+00:00,226.0,A,13011900
2006-10-12 00:00:00+00:00,218.0,A,13011900
2006-10-13 00:00:00+00:00,211.0,A,13011900
2006-10-14 00:00:00+00:00,208.0,A,13011900
2006-10-15 00:00:00+00:00,205.0,A,13011900
2006-10-16 00:00:00+00:00,219.0,A,13011900
2006-10-17 00:00:00+00:00,220.0,A,13011900
2006-10-18 00:00:00+00:00,198.0,A,13011900
2006-10-19 00:00:00+00:00,209.0,A,13011900
2006-10-20 00:00:00+00:00,216.0,A,13011900
2006-10-21 00:00:00+00:00,203.0,A,13011900
2006-10-22 00:00:00+00:00,198.0,A,13011900
2006-10-23 00:00:00+00:00,188.0,A,13011900
2006-10-24 00:00:00+00:00,202.0,A,13011900
2006-10-25 00:00:00+00:00,213.0,A,13011900
2006-10-26 00:00:00+00:00,196.0,A,13011900
2006-10-27 00:00:00+00:00,189.0,A,13011900
2006-10-28 00:00:00+00:00,190.0,A,13011900
2006-10-29 00:00:00+00:00,187.0,A,13011900
2006-10-30 00:00:00+00:00,195.0,A,13011900
2006-10-31 00:00:00+00:00,170.0,"A, e",13011900
2006-11-01 00:00:00+00:00,150.0,"A, e",13011900
2006-11-02 00:00:00+00:00,170.0,"A, e",13011900
2006-11-03 00:00:00+00:00,200.0,A,13011900
2006-11-04 00:00:00+00:00,208.0,A,13011900
2006-11-05 00:00:00+00:00,197.0,A,13011900
2006-11-06 00:00:00+00:00,193.0,A,13011900
2006-11-07 00:00:00+00:00,206.0,A,13011900
2006-11-08 00:00:00+00:00,240.0,A,13011900
2006-11-09 00:00:00+00:00,267.0,A,13011900
2006-11-10 00:00:00+00:00,223.0,A,13011900
2006-11-11 00:00:00+00:00,206.0,A,13011900
2006-11-12 00:00:00+00:00,190.0,"A, e",13011900
2006-11-13 00:00:00+00:00,180.0,"A, e",13011900
2006-11-14 00:00:00+00:00,200.0,"A, e",13011900
2006-11-15 00:00:00+00:00,170.0,"A, e",13011900
2006-11-16 00:00:00+00:00,180.0,"A, e",13011900
2006-11-17 00:00:00+00:00,190.0,"A, e",13011900
2006-11-18 00:00:00+00:00,200.0,"A, e",13011900
2006-11-19 00:00:00+00:00,190.0,"A, e",13011900
2006-11-20 00:00:00+00:00,200.0,"A, e",13011900
2006-11-21 00:00:00+00:00,190.0,"A, e",13011900
2006-11-22 00:00:00+00:00,180.0,"A, e",13011900
2006-11-23 00:00:00+00:00,170.0,"A, e",13011900
2006-11-24 00:00:00+00:00,160.0,"A, e",13011900
2006-11-25 00:00:00+00:00,150.0,"A, e",13011900
2006-11-26 00:00:00+00:00,170.0,"A, e",13011900
2006-11-27 00:00:00+00:00,180.0,"A, e",13011900
2006-11-28 00:00:00+00:00,180.0,"A, e",13011900
2006-11-29 00:00:00+00:00,140.0,"A, e",13011900
2006-11-30 00:00:00+00:00,150.0,"A, e",13011900
2006-12-01 00:00:00+00:00,160.0,"A, e",13011900
2006-12-02 00:00:00+00:00,150.0,"A, e",13011900
2006-12-03 00:00:00+00:00,150.0,"A, e",13011900
2006-12-04 00:00:00+00:00,140.0,"A, e",13011900
2006-12-05 00:00:00+00:00,140.0,"A, e",13011900
2006-12-06 00:00:00+00:00,150.0,"A, e",13011900
2006-12-07 00:00:00+00:00,150.0,"A, e",13011900
2006-12-08 00:00:00+00:00,150.0,"A, e",13011900
2006-12-09 00:00:00+00:00,140.0,"A, e",13011900
2006-12-10 00:00:00+00:00,150.0,"A, e",13011900
2006-12-11 00:00:00+00:00,160.0,"A, e",13011900
2006-12-12 00:00:00+00:00,150.0,"A, e",13011900
2006-12-13 00:00:00+00:00,150.0,"A, e",13011900
2006-12-14 00:00:00+00:00,160.0,"A, e",13011900
2006-12-15 00:00:00+00:00,170.0,"A, e",13011900
2006-12-16 00:00:00+00:00,160.0,"A, e",13011900
2006-12-17 00:00:00+00:00,140.0,"A, e",13011900
2006-12-18 00:00:00+00:00,120.0,"A, e",13011900
2006-12-19 00:00:00+00:00,110.0,"A, e",13011900
2006-12-20 00:00:00+00:00,120.0,"A, e",13011900
2006-12-21 00:00:00+00:00,130.0,"A, e",13011900
2006-12-22 00:00:00+00:00,140.0,"A, e",13011900
2006-12-23 00:00:00+00:00,140.0,"A, e",13011900
2006-12-24 00:00:00+00:00,140.0,"A, e",13011900
2006-12-25 00:00:00+00:00,130.0,"A, e",13011900
2006-12-26 00:00:00+00:00,140.0,"A, e",13011900
2006-12-27 00:00:00+00:00,150.0,"A, e",13011900
2006-12-28 00:00:00+00:00,140.0,"A, e",13011900
2006-12-29 00:00:00+00:00,130.0,"A, e",13011900
2006-12-30 00:00:00+00:00,130.0,"A, e",13011900
2006-12-31 00:00:00+00:00,120.0,"A, e",13011900
2007-01-01 00:00:00+00:00,130.0,"A, e",13011900
2007-01-02 00:00:00+00:00,135.0,"A, e",13011900
2007-01-03 00:00:00+00:00,140.0,"A, e",13011900
2007-01-04 00:00:00+00:00,140.0,"A, e",13011900
2007-01-05 00:00:00+00:00,135.0,"A, e",13011900
2007-01-06 00:00:00+00:00,120.0,"A, e",13011900
2007-01-07 00:00:00+00:00,110.0,"A, e",13011900
2007-01-08 00:00:00+00:00,120.0,"A, e",13011900
2007-01-09 00:00:00+00:00,130.0,"A, e",13011900
2007-01-10 00:00:00+00:00,130.0,"A, e",13011900
2007-01-11 00:00:00+00:00,120.0,"A, e",13011900
