datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2007-10-01 00:00:00+00:00,,,06205000,450.0,A
2007-10-02 00:00:00+00:00,,,06205000,446.0,A
2007-10-03 00:00:00+00:00,,,06205000,466.0,A
2007-10-04 00:00:00+00:00,,,06205000,507.0,A
2007-10-05 00:00:00+00:00,,,06205000,588.0,A
2007-10-06 00:00:00+00:00,,,06205000,691.0,A
2007-10-07 00:00:00+00:00,,,06205000,605.0,A
2007-10-08 00:00:00+00:00,,,06205000,552.0,A
2007-10-09 00:00:00+00:00,,,06205000,558.0,A
2007-10-10 00:00:00+00:00,,,06205000,554.0,A
2007-10-11 00:00:00+00:00,,,06205000,550.0,A
2007-10-12 00:00:00+00:00,,,06205000,570.0,A
2007-10-13 00:00:00+00:00,,,06205000,560.0,A
2007-10-14 00:00:00+00:00,,,06205000,552.0,A
2007-10-15 00:00:00+00:00,,,06205000,545.0,A
2007-10-16 00:00:00+00:00,,,06205000,545.0,A
2007-10-17 00:00:00+00:00,,,06205000,545.0,A
2007-10-18 00:00:00+00:00,,,06205000,534.0,A
2007-10-19 00:00:00+00:00,,,06205000,530.0,A
2007-10-20 00:00:00+00:00,,,06205000,603.0,A
2007-10-21 00:00:00+00:00,,,06205000,621.0,A
2007-10-22 00:00:00+00:00,,,06205000,575.0,A
2007-10-23 00:00:00+00:00,,,06205000,548.0,A
2007-10-24 00:00:00+00:00,,,06205000,537.0,A
2007-10-25 00:00:00+00:00,,,06205000,534.0,A
2007-10-26 00:00:00+00:00,,,06205000,537.0,A
2007-10-27 00:00:00+00:00,,,06205000,550.0,A
2007-10-28 00:00:00+00:00,,,06205000,536.0,A
2007-10-29 00:00:00+00:00,,,06205000,527.0,A
2007-10-30 00:00:00+00:00,,,06205000,530.0,A
2007-10-31 00:00:00+00:00,,,06205000,536.0,A
2007-11-01 00:00:00+00:00,,,06205000,521.0,A
2007-11-02 00:00:00+00:00,,,06205000,505.0,A
2007-11-03 00:00:00+00:00,,,06205000,495.0,A
2007-11-04 00:00:00+00:00,,,06205000,489.0,A
2007-11-05 00:00:00+00:00,,,06205000,471.0,A
2007-11-06 00:00:00+00:00,,,06205000,469.0,A
2007-11-07 00:00:00+00:00,,,06205000,464.0,A
2007-11-08 00:00:00+00:00,,,06205000,458.0,A
2007-11-09 00:00:00+00:00,,,06205000,453.0,A
2007-11-10 00:00:00+00:00,,,06205000,446.0,A
2007-11-11 00:00:00+00:00,,,06205000,440.0,A
2007-11-12 00:00:00+00:00,,,06205000,442.0,A
2007-11-13 00:00:00+00:00,,,06205000,428.0,A
