datetime,00060_Mean,00060_Mean_cd,site_no
2008-10-01 00:00:00+00:00,55.5,A,06221400
2008-10-02 00:00:00+00:00,56.1,A,06221400
2008-10-03 00:00:00+00:00,57.0,A,06221400
2008-10-04 00:00:00+00:00,59.7,A,06221400
2008-10-05 00:00:00+00:00,62.4,A,06221400
2008-10-06 00:00:00+00:00,54.4,A,06221400
2008-10-07 00:00:00+00:00,48.6,A,06221400
2008-10-08 00:00:00+00:00,47.6,A,06221400
2008-10-09 00:00:00+00:00,43.7,A,06221400
2008-10-10 00:00:00+00:00,40.6,A,06221400
2008-10-11 00:00:00+00:00,34.4,A,06221400
2008-10-12 00:00:00+00:00,35.8,A,06221400
2008-10-13 00:00:00+00:00,52.3,A,06221400
2008-10-14 00:00:00+00:00,51.9,A,06221400
2008-10-15 00:00:00+00:00,47.1,A,06221400
2008-10-16 00:00:00+00:00,42.8,A,06221400
2008-10-17 00:00:00+00:00,41.8,A,06221400
2008-10-18 00:00:00+00:00,43.9,A,06221400
2008-10-19 00:00:00+00:00,40.7,A,06221400
2008-10-20 00:00:00+00:00,41.0,A,06221400
2008-10-21 00:00:00+00:00,41.1,A,06221400
2008-10-22 00:00:00+00:00,29.1,A,06221400
2008-10-23 00:00:00+00:00,37.7,A,06221400
2008-10-24 00:00:00+00:00,36.5,A,06221400
2008-10-25 00:00:00+00:00,35.0,A,06221400
2008-10-26 00:00:00+00:00,29.2,A,06221400
2008-10-27 00:00:00+00:00,29.3,A,06221400
2008-10-28 00:00:00+00:00,32.3,A,06221400
2008-10-29 00:00:00+00:00,30.1,A,06221400
2008-10-30 00:00:00+00:00,28.1,A,06221400
2008-10-31 00:00:00+00:00,27.6,A,06221400
2008-11-01 00:00:00+00:00,31.5,A,06221400
2008-11-02 00:00:00+00:00,31.7,A,06221400
2008-11-03 00:00:00+00:00,37.8,A,06221400
2008-11-04 00:00:00+00:00,34.3,A,06221400
2008-11-05 00:00:00+00:00,20.2,A,06221400
2008-11-06 00:00:00+00:00,18.0,"A, e",06221400
2008-11-07 00:00:00+00:00,16.0,"A, e",06221400
2008-11-08 00:00:00+00:00,15.0,"A, e",06221400
2008-11-09 00:00:00+00:00,14.0,"A, e",06221400
2008-11-10 00:00:00+00:00,14.0,"A, e",06221400
2008-11-11 00:00:00+00:00,14.0,"A, e",06221400
2008-11-12 00:00:00+00:00,13.0,"A, e",06221400
2008-11-13 00:00:00+00:00,13.0,"A, e",06221400
2008-11-14 00:00:00+00:00,12.0,"A, e",06221400
2008-11-15 00:00:00+00:00,12.0,"A, e",06221400
2008-11-16 00:00:00+00:00,11.0,"A, e",06221400
2008-11-17 00:00:00+00:00,11.0,"A, e",06221400
2008-11-18 00:00:00+00:00,10.0,"A, e",06221400
2008-11-19 00:00:00+00:00,10.0,"A, e",06221400
2008-11-20 00:00:00+00:00,9.0,"A, e",06221400
2008-11-21 00:00:00+00:00,10.0,"A, e",06221400
2008-11-22 00:00:00+00:00,9.0,"A, e",06221400
2008-11-23 00:00:00+00:00,9.0,"A, e",06221400
2008-11-24 00:00:00+00:00,9.1,"A, e",06221400
2008-11-25 00:00:00+00:00,8.5,"A, e",06221400
2008-11-26 00:00:00+00:00,9.0,"A, e",06221400
2008-11-27 00:00:00+00:00,8.0,"A, e",06221400
2008-11-28 00:00:00+00:00,8.0,"A, e",06221400
2008-11-29 00:00:00+00:00,9.0,"A, e",06221400
2008-11-30 00:00:00+00:00,8.5,"A, e",06221400
2008-12-01 00:00:00+00:00,8.0,"A, e",06221400
2008-12-02 00:00:00+00:00,8.6,"A, e",06221400
2008-12-03 00:00:00+00:00,8.6,"A, e",06221400
2008-12-04 00:00:00+00:00,7.8,"A, e",06221400
2008-12-05 00:00:00+00:00,7.6,"A, e",06221400
2008-12-06 00:00:00+00:00,8.2,"A, e",06221400
2008-12-07 00:00:00+00:00,8.6,"A, e",06221400
2008-12-08 00:00:00+00:00,8.0,"A, e",06221400
2008-12-09 00:00:00+00:00,7.6,"A, e",06221400
2008-12-10 00:00:00+00:00,7.6,"A, e",06221400
2008-12-11 00:00:00+00:00,8.0,"A, e",06221400
2008-12-12 00:00:00+00:00,8.0,"A, e",06221400
2008-12-13 00:00:00+00:00,8.0,"A, e",06221400
2008-12-14 00:00:00+00:00,7.0,"A, e",06221400
2008-12-15 00:00:00+00:00,6.0,"A, e",06221400
2008-12-16 00:00:00+00:00,6.4,"A, e",06221400
2008-12-17 00:00:00+00:00,6.6,"A, e",06221400
2008-12-18 00:00:00+00:00,6.8,"A, e",06221400
2008-12-19 00:00:00+00:00,6.8,"A, e",06221400
2008-12-20 00:00:00+00:00,6.6,"A, e",06221400
2008-12-21 00:00:00+00:00,6.4,"A, e",06221400
2008-12-22 00:00:00+00:00,6.3,"A, e",06221400
2008-12-23 00:00:00+00:00,6.6,"A, e",06221400
2008-12-24 00:00:00+00:00,7.0,"A, e",06221400
2008-12-25 00:00:00+00:00,7.2,"A, e",06221400
2008-12-26 00:00:00+00:00,7.37,A,06221400
2008-12-27 00:00:00+00:00,7.22,A,06221400
2008-12-28 00:00:00+00:00,7.38,A,06221400
2008-12-29 00:00:00+00:00,7.68,A,06221400
2008-12-30 00:00:00+00:00,7.93,A,06221400
2008-12-31 00:00:00+00:00,7.99,A,06221400
2009-01-01 00:00:00+00:00,8.12,A,06221400
2009-01-02 00:00:00+00:00,8.49,A,06221400
2009-01-03 00:00:00+00:00,8.52,A,06221400
2009-01-04 00:00:00+00:00,8.19,A,06221400
2009-01-05 00:00:00+00:00,7.77,A,06221400
2009-01-06 00:00:00+00:00,7.96,A,06221400
2009-01-07 00:00:00+00:00,9.29,A,06221400
2009-01-08 00:00:00+00:00,10.9,A,06221400
2009-01-09 00:00:00+00:00,11.8,A,06221400
2009-01-10 00:00:00+00:00,11.5,A,06221400
2009-01-11 00:00:00+00:00,12.1,A,06221400
2009-01-12 00:00:00+00:00,12.4,A,06221400
2009-01-13 00:00:00+00:00,12.7,A,06221400
2009-01-14 00:00:00+00:00,13.2,A,06221400
2009-01-15 00:00:00+00:00,13.6,A,06221400
2009-01-16 00:00:00+00:00,14.0,A,06221400
2009-01-17 00:00:00+00:00,13.1,A,06221400
2009-01-18 00:00:00+00:00,12.1,A,06221400
2009-01-19 00:00:00+00:00,11.5,A,06221400
2009-01-20 00:00:00+00:00,11.1,A,06221400
2009-01-21 00:00:00+00:00,10.6,A,06221400
2009-01-22 00:00:00+00:00,10.2,A,06221400
2009-01-23 00:00:00+00:00,9.97,A,06221400
2009-01-24 00:00:00+00:00,9.8,A,06221400
2009-01-25 00:00:00+00:00,9.62,A,06221400
2009-01-26 00:00:00+00:00,9.62,A,06221400
2009-01-27 00:00:00+00:00,9.75,A,06221400
2009-01-28 00:00:00+00:00,10.2,A,06221400
2009-01-29 00:00:00+00:00,9.79,A,06221400
2009-01-30 00:00:00+00:00,9.54,A,06221400
2009-01-31 00:00:00+00:00,9.56,A,06221400
2009-02-01 00:00:00+00:00,9.24,A,06221400
2009-02-02 00:00:00+00:00,9.12,A,06221400
2009-02-03 00:00:00+00:00,8.99,A,06221400
2009-02-04 00:00:00+00:00,8.79,A,06221400
2009-02-05 00:00:00+00:00,8.65,A,06221400
2009-02-06 00:00:00+00:00,8.53,A,06221400
2009-02-07 00:00:00+00:00,8.3,A,06221400
2009-02-08 00:00:00+00:00,8.27,A,06221400
2009-02-09 00:00:00+00:00,8.27,A,06221400
2009-02-10 00:00:00+00:00,8.07,A,06221400
