datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2009-10-01 00:00:00+00:00,87.9,A,12458000,2.82,A
2009-10-02 00:00:00+00:00,89.5,A,12458000,2.83,A
2009-10-03 00:00:00+00:00,93.6,A,12458000,2.88,A
2009-10-04 00:00:00+00:00,91.1,A,12458000,2.85,A
2009-10-05 00:00:00+00:00,87.9,A,12458000,2.82,A
2009-10-06 00:00:00+00:00,85.8,A,12458000,2.79,A
2009-10-07 00:00:00+00:00,84.4,A,12458000,2.78,A
2009-10-08 00:00:00+00:00,81.8,A,12458000,2.75,A
2009-10-09 00:00:00+00:00,80.2,A,12458000,2.74,A
2009-10-10 00:00:00+00:00,78.6,A,12458000,2.71,A
2009-10-11 00:00:00+00:00,76.8,A,12458000,2.69,A
2009-10-12 00:00:00+00:00,75.8,A,12458000,2.68,A
2009-10-13 00:00:00+00:00,75.8,A,12458000,2.68,A
2009-10-14 00:00:00+00:00,85.3,A,12458000,2.79,A
2009-10-15 00:00:00+00:00,122.0,A,12458000,3.15,A
2009-10-16 00:00:00+00:00,117.0,A,12458000,3.1,A
2009-10-17 00:00:00+00:00,144.0,A,12458000,3.32,A
2009-10-18 00:00:00+00:00,276.0,A,12458000,4.12,A
2009-10-19 00:00:00+00:00,214.0,A,12458000,3.79,A
2009-10-20 00:00:00+00:00,165.0,A,12458000,3.48,A
2009-10-21 00:00:00+00:00,145.0,A,12458000,3.33,A
2009-10-22 00:00:00+00:00,144.0,A,12458000,3.33,A
2009-10-23 00:00:00+00:00,238.0,A,12458000,3.8,A
2009-10-24 00:00:00+00:00,540.0,A,12458000,5.12,A
2009-10-25 00:00:00+00:00,346.0,A,12458000,4.38,A
2009-10-26 00:00:00+00:00,650.0,A,12458000,5.29,A
2009-10-27 00:00:00+00:00,678.0,A,12458000,5.45,A
2009-10-28 00:00:00+00:00,488.0,A,12458000,4.83,A
2009-10-29 00:00:00+00:00,422.0,A,12458000,4.56,A
2009-10-30 00:00:00+00:00,943.0,A,12458000,5.92,A
2009-10-31 00:00:00+00:00,1850.0,A,12458000,7.69,A
2009-11-01 00:00:00+00:00,1190.0,A,12458000,6.55,A
2009-11-02 00:00:00+00:00,812.0,A,12458000,5.71,A
2009-11-03 00:00:00+00:00,669.0,A,12458000,5.32,A
2009-11-04 00:00:00+00:00,585.0,A,12458000,5.07,A
2009-11-05 00:00:00+00:00,532.0,A,12458000,4.89,A
2009-11-06 00:00:00+00:00,622.0,A,12458000,5.18,A
2009-11-07 00:00:00+00:00,565.0,A,12458000,5.0,A
2009-11-08 00:00:00+00:00,513.0,A,12458000,4.83,A
2009-11-09 00:00:00+00:00,466.0,A,12458000,4.66,A
2009-11-10 00:00:00+00:00,439.0,A,12458000,4.56,A
2009-11-11 00:00:00+00:00,414.0,A,12458000,4.46,A
2009-11-12 00:00:00+00:00,378.0,A,12458000,4.31,A
2009-11-13 00:00:00+00:00,367.0,A,12458000,4.26,A
2009-11-14 00:00:00+00:00,352.0,A,12458000,4.2,A
2009-11-15 00:00:00+00:00,341.0,A,12458000,4.14,A
2009-11-16 00:00:00+00:00,353.0,A,12458000,4.2,A
2009-11-17 00:00:00+00:00,622.0,A,12458000,5.17,A
2009-11-18 00:00:00+00:00,544.0,A,12458000,4.93,A
2009-11-19 00:00:00+00:00,495.0,A,12458000,4.77,A
2009-11-20 00:00:00+00:00,483.0,A,12458000,4.72,A
2009-11-21 00:00:00+00:00,443.0,A,12458000,4.57,A
2009-11-22 00:00:00+00:00,424.0,A,12458000,4.5,A
2009-11-23 00:00:00+00:00,398.0,A,12458000,4.39,A
2009-11-24 00:00:00+00:00,439.0,A,12458000,4.55,A
2009-11-25 00:00:00+00:00,531.0,A,12458000,4.89,A
2009-11-26 00:00:00+00:00,512.0,A,12458000,4.82,A
2009-11-27 00:00:00+00:00,563.0,A,12458000,5.0,A
2009-11-28 00:00:00+00:00,529.0,A,12458000,4.88,A
2009-11-29 00:00:00+00:00,501.0,A,12458000,4.79,A
2009-11-30 00:00:00+00:00,491.0,A,12458000,4.75,A
2009-12-01 00:00:00+00:00,480.0,A,12458000,4.71,A
2009-12-02 00:00:00+00:00,435.0,A,12458000,4.54,A
2009-12-03 00:00:00+00:00,396.0,A,12458000,4.38,A
2009-12-04 00:00:00+00:00,386.0,A,12458000,4.35,A
2009-12-05 00:00:00+00:00,370.0,A,12458000,4.28,A
2009-12-06 00:00:00+00:00,361.0,A,12458000,4.25,A
2009-12-07 00:00:00+00:00,276.0,A,12458000,3.84,A
2009-12-08 00:00:00+00:00,251.0,"A, e",12458000,,
2009-12-09 00:00:00+00:00,260.0,"A, e",12458000,,
