datetime,00060_Mean,00060_Mean_cd,site_no,00060_adjusted for agency canal_Mean,00060_adjusted for agency canal_Mean_cd
2009-10-01 00:00:00+00:00,105.0,A,06294000,105.0,A
2009-10-02 00:00:00+00:00,128.0,A,06294000,128.0,A
2009-10-03 00:00:00+00:00,139.0,A,06294000,139.0,A
2009-10-04 00:00:00+00:00,141.0,A,06294000,141.0,A
2009-10-05 00:00:00+00:00,149.0,A,06294000,149.0,A
2009-10-06 00:00:00+00:00,159.0,A,06294000,159.0,A
2009-10-07 00:00:00+00:00,167.0,A,06294000,167.0,A
2009-10-08 00:00:00+00:00,167.0,A,06294000,167.0,A
2009-10-09 00:00:00+00:00,168.0,A,06294000,168.0,A
2009-10-10 00:00:00+00:00,166.0,A,06294000,166.0,A
2009-10-11 00:00:00+00:00,163.0,A,06294000,163.0,A
2009-10-12 00:00:00+00:00,147.0,A,06294000,147.0,A
2009-10-13 00:00:00+00:00,146.0,A,06294000,146.0,A
2009-10-14 00:00:00+00:00,150.0,A,06294000,150.0,A
2009-10-15 00:00:00+00:00,162.0,A,06294000,162.0,A
2009-10-16 00:00:00+00:00,187.0,A,06294000,187.0,A
2009-10-17 00:00:00+00:00,170.0,A,06294000,170.0,A
2009-10-18 00:00:00+00:00,165.0,A,06294000,165.0,A
2009-10-19 00:00:00+00:00,160.0,A,06294000,160.0,A
2009-10-20 00:00:00+00:00,161.0,A,06294000,161.0,A
2009-10-21 00:00:00+00:00,162.0,A,06294000,162.0,A
2009-10-22 00:00:00+00:00,161.0,A,06294000,161.0,A
2009-10-23 00:00:00+00:00,159.0,A,06294000,159.0,A
2009-10-24 00:00:00+00:00,160.0,A,06294000,160.0,A
2009-10-25 00:00:00+00:00,172.0,A,06294000,172.0,A
2009-10-26 00:00:00+00:00,167.0,A,06294000,167.0,A
2009-10-27 00:00:00+00:00,170.0,A,06294000,170.0,A
2009-10-28 00:00:00+00:00,164.0,A,06294000,164.0,A
2009-10-29 00:00:00+00:00,166.0,A,06294000,166.0,A
2009-10-30 00:00:00+00:00,165.0,A,06294000,165.0,A
2009-10-31 00:00:00+00:00,160.0,A,06294000,160.0,A
2009-11-01 00:00:00+00:00,161.0,A,06294000,161.0,A
2009-11-02 00:00:00+00:00,164.0,A,06294000,164.0,A
2009-11-03 00:00:00+00:00,162.0,A,06294000,162.0,A
2009-11-04 00:00:00+00:00,159.0,A,06294000,159.0,A
2009-11-05 00:00:00+00:00,158.0,A,06294000,158.0,A
2009-11-06 00:00:00+00:00,157.0,A,06294000,157.0,A
2009-11-07 00:00:00+00:00,159.0,A,06294000,159.0,A
2009-11-08 00:00:00+00:00,157.0,A,06294000,157.0,A
2009-11-09 00:00:00+00:00,155.0,A,06294000,155.0,A
2009-11-10 00:00:00+00:00,155.0,A,06294000,155.0,A
2009-11-11 00:00:00+00:00,153.0,A,06294000,153.0,A
