datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,17.3,A,08379500
2009-10-02 00:00:00+00:00,18.1,A,08379500
2009-10-03 00:00:00+00:00,14.8,A,08379500
2009-10-04 00:00:00+00:00,16.1,A,08379500
2009-10-05 00:00:00+00:00,15.0,A,08379500
2009-10-06 00:00:00+00:00,13.6,A,08379500
2009-10-07 00:00:00+00:00,15.3,A,08379500
2009-10-08 00:00:00+00:00,14.5,A,08379500
2009-10-09 00:00:00+00:00,20.4,A,08379500
2009-10-10 00:00:00+00:00,22.5,A,08379500
2009-10-11 00:00:00+00:00,20.5,A,08379500
2009-10-12 00:00:00+00:00,20.0,A,08379500
2009-10-13 00:00:00+00:00,17.6,A,08379500
2009-10-14 00:00:00+00:00,16.9,A,08379500
2009-10-15 00:00:00+00:00,15.3,A,08379500
2009-10-16 00:00:00+00:00,18.3,A,08379500
2009-10-17 00:00:00+00:00,19.2,A,08379500
2009-10-18 00:00:00+00:00,23.5,A,08379500
2009-10-19 00:00:00+00:00,19.7,A,08379500
2009-10-20 00:00:00+00:00,16.1,A,08379500
2009-10-21 00:00:00+00:00,31.2,A,08379500
2009-10-22 00:00:00+00:00,66.6,A,08379500
2009-10-23 00:00:00+00:00,53.0,A,08379500
2009-10-24 00:00:00+00:00,44.8,A,08379500
2009-10-25 00:00:00+00:00,45.0,A,08379500
2009-10-26 00:00:00+00:00,45.8,A,08379500
2009-10-27 00:00:00+00:00,45.3,A,08379500
2009-10-28 00:00:00+00:00,43.8,A,08379500
2009-10-29 00:00:00+00:00,43.6,A,08379500
2009-10-30 00:00:00+00:00,43.4,A,08379500
2009-10-31 00:00:00+00:00,40.2,A,08379500
2009-11-01 00:00:00+00:00,44.4,A,08379500
2009-11-02 00:00:00+00:00,48.2,A,08379500
2009-11-03 00:00:00+00:00,47.6,A,08379500
2009-11-04 00:00:00+00:00,48.8,A,08379500
2009-11-05 00:00:00+00:00,47.3,A,08379500
2009-11-06 00:00:00+00:00,47.4,A,08379500
2009-11-07 00:00:00+00:00,44.9,A,08379500
2009-11-08 00:00:00+00:00,45.8,A,08379500
2009-11-09 00:00:00+00:00,42.2,A,08379500
2009-11-10 00:00:00+00:00,38.4,A,08379500
2009-11-11 00:00:00+00:00,42.0,A,08379500
2009-11-12 00:00:00+00:00,41.9,A,08379500
2009-11-13 00:00:00+00:00,39.8,A,08379500
2009-11-14 00:00:00+00:00,46.6,A,08379500
2009-11-15 00:00:00+00:00,47.7,A,08379500
2009-11-16 00:00:00+00:00,49.2,A,08379500
2009-11-17 00:00:00+00:00,46.4,A,08379500
2009-11-18 00:00:00+00:00,33.2,A,08379500
2009-11-19 00:00:00+00:00,19.0,A,08379500
2009-11-20 00:00:00+00:00,18.3,A,08379500
2009-11-21 00:00:00+00:00,18.2,A,08379500
2009-11-22 00:00:00+00:00,18.1,A,08379500
2009-11-23 00:00:00+00:00,15.8,A,08379500
2009-11-24 00:00:00+00:00,14.9,A,08379500
2009-11-25 00:00:00+00:00,18.5,A,08379500
2009-11-26 00:00:00+00:00,17.9,A,08379500
2009-11-27 00:00:00+00:00,14.7,A,08379500
2009-11-28 00:00:00+00:00,18.2,A,08379500
2009-11-29 00:00:00+00:00,18.6,A,08379500
2009-11-30 00:00:00+00:00,18.5,A,08379500
2009-12-01 00:00:00+00:00,19.3,A,08379500
2009-12-02 00:00:00+00:00,19.9,A,08379500
2009-12-03 00:00:00+00:00,35.6,A,08379500
2009-12-04 00:00:00+00:00,23.7,A,08379500
2009-12-05 00:00:00+00:00,13.0,A,08379500
2009-12-06 00:00:00+00:00,19.2,A,08379500
2009-12-07 00:00:00+00:00,31.7,A,08379500
2009-12-08 00:00:00+00:00,64.5,A,08379500
2009-12-09 00:00:00+00:00,55.6,A,08379500
2009-12-10 00:00:00+00:00,38.5,A,08379500
2009-12-11 00:00:00+00:00,35.0,A,08379500
2009-12-12 00:00:00+00:00,45.3,A,08379500
2009-12-13 00:00:00+00:00,38.2,A,08379500
2009-12-14 00:00:00+00:00,37.5,A,08379500
2009-12-15 00:00:00+00:00,33.8,A,08379500
2009-12-16 00:00:00+00:00,32.8,A,08379500
2009-12-17 00:00:00+00:00,33.1,A,08379500
2009-12-18 00:00:00+00:00,33.8,A,08379500
2009-12-19 00:00:00+00:00,33.2,A,08379500
2009-12-20 00:00:00+00:00,35.0,A,08379500
2009-12-21 00:00:00+00:00,29.8,A,08379500
2009-12-22 00:00:00+00:00,30.1,A,08379500
2009-12-23 00:00:00+00:00,33.0,A,08379500
2009-12-24 00:00:00+00:00,34.5,A,08379500
2009-12-25 00:00:00+00:00,28.8,A,08379500
2009-12-26 00:00:00+00:00,20.5,A,08379500
2009-12-27 00:00:00+00:00,29.5,A,08379500
2009-12-28 00:00:00+00:00,34.8,A,08379500
2009-12-29 00:00:00+00:00,31.3,A,08379500
2009-12-30 00:00:00+00:00,38.2,A,08379500
2009-12-31 00:00:00+00:00,41.5,A,08379500
2010-01-01 00:00:00+00:00,27.4,A,08379500
2010-01-02 00:00:00+00:00,31.6,A,08379500
2010-01-03 00:00:00+00:00,30.4,A,08379500
2010-01-04 00:00:00+00:00,30.6,A,08379500
2010-01-05 00:00:00+00:00,37.7,A,08379500
2010-01-06 00:00:00+00:00,40.0,A,08379500
2010-01-07 00:00:00+00:00,59.9,A,08379500
2010-01-08 00:00:00+00:00,64.8,A,08379500
2010-01-09 00:00:00+00:00,37.1,A,08379500
2010-01-10 00:00:00+00:00,36.1,A,08379500
2010-01-11 00:00:00+00:00,36.1,A,08379500
2010-01-12 00:00:00+00:00,40.5,A,08379500
2010-01-13 00:00:00+00:00,41.1,A,08379500
2010-01-14 00:00:00+00:00,38.9,A,08379500
2010-01-15 00:00:00+00:00,36.5,A,08379500
2010-01-16 00:00:00+00:00,34.5,A,08379500
2010-01-17 00:00:00+00:00,26.8,A,08379500
2010-01-18 00:00:00+00:00,15.9,A,08379500
2010-01-19 00:00:00+00:00,13.4,A,08379500
2010-01-20 00:00:00+00:00,14.4,A,08379500
2010-01-21 00:00:00+00:00,15.8,A,08379500
2010-01-22 00:00:00+00:00,17.8,A,08379500
2010-01-23 00:00:00+00:00,18.0,A,08379500
2010-01-24 00:00:00+00:00,16.7,A,08379500
2010-01-25 00:00:00+00:00,17.4,A,08379500
2010-01-26 00:00:00+00:00,15.3,A,08379500
2010-01-27 00:00:00+00:00,15.8,A,08379500
2010-01-28 00:00:00+00:00,20.0,A,08379500
2010-01-29 00:00:00+00:00,36.1,A,08379500
2010-01-30 00:00:00+00:00,18.1,A,08379500
2010-01-31 00:00:00+00:00,15.9,A,08379500
2010-02-01 00:00:00+00:00,16.8,A,08379500
2010-02-02 00:00:00+00:00,16.0,A,08379500
2010-02-03 00:00:00+00:00,17.1,A,08379500
2010-02-04 00:00:00+00:00,20.2,A,08379500
2010-02-05 00:00:00+00:00,15.4,A,08379500
2010-02-06 00:00:00+00:00,17.1,A,08379500
2010-02-07 00:00:00+00:00,16.5,A,08379500
2010-02-08 00:00:00+00:00,16.5,A,08379500
2010-02-09 00:00:00+00:00,16.0,A,08379500
2010-02-10 00:00:00+00:00,23.3,A,08379500
2010-02-11 00:00:00+00:00,36.5,A,08379500
2010-02-12 00:00:00+00:00,36.3,A,08379500
2010-02-13 00:00:00+00:00,32.4,A,08379500
2010-02-14 00:00:00+00:00,34.4,A,08379500
2010-02-15 00:00:00+00:00,36.9,A,08379500
2010-02-16 00:00:00+00:00,33.3,A,08379500
2010-02-17 00:00:00+00:00,35.8,A,08379500
2010-02-18 00:00:00+00:00,35.0,A,08379500
2010-02-19 00:00:00+00:00,32.0,A,08379500
