datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,13.7,A,08291000
2009-10-02 00:00:00+00:00,13.3,A,08291000
2009-10-03 00:00:00+00:00,13.2,A,08291000
2009-10-04 00:00:00+00:00,12.7,A,08291000
2009-10-05 00:00:00+00:00,12.0,A,08291000
2009-10-06 00:00:00+00:00,12.5,A,08291000
2009-10-07 00:00:00+00:00,17.6,A,08291000
2009-10-08 00:00:00+00:00,22.1,A,08291000
2009-10-09 00:00:00+00:00,18.6,A,08291000
2009-10-10 00:00:00+00:00,17.3,A,08291000
2009-10-11 00:00:00+00:00,15.9,A,08291000
2009-10-12 00:00:00+00:00,15.4,A,08291000
2009-10-13 00:00:00+00:00,17.9,A,08291000
2009-10-14 00:00:00+00:00,13.8,A,08291000
2009-10-15 00:00:00+00:00,12.6,A,08291000
2009-10-16 00:00:00+00:00,12.4,A,08291000
2009-10-17 00:00:00+00:00,12.2,A,08291000
2009-10-18 00:00:00+00:00,12.0,A,08291000
2009-10-19 00:00:00+00:00,12.3,A,08291000
2009-10-20 00:00:00+00:00,14.2,A,08291000
2009-10-21 00:00:00+00:00,18.9,A,08291000
2009-10-22 00:00:00+00:00,16.4,A,08291000
2009-10-23 00:00:00+00:00,15.0,A,08291000
2009-10-24 00:00:00+00:00,15.6,A,08291000
2009-10-25 00:00:00+00:00,15.8,A,08291000
2009-10-26 00:00:00+00:00,15.4,A,08291000
2009-10-27 00:00:00+00:00,14.9,A,08291000
2009-10-28 00:00:00+00:00,15.4,A,08291000
2009-10-29 00:00:00+00:00,12.0,A,08291000
2009-10-30 00:00:00+00:00,14.5,A,08291000
2009-10-31 00:00:00+00:00,15.2,A,08291000
2009-11-01 00:00:00+00:00,15.5,A,08291000
2009-11-02 00:00:00+00:00,15.6,A,08291000
2009-11-03 00:00:00+00:00,15.4,A,08291000
2009-11-04 00:00:00+00:00,14.8,A,08291000
2009-11-05 00:00:00+00:00,15.1,A,08291000
2009-11-06 00:00:00+00:00,14.7,A,08291000
2009-11-07 00:00:00+00:00,14.8,A,08291000
2009-11-08 00:00:00+00:00,14.4,A,08291000
2009-11-09 00:00:00+00:00,14.1,A,08291000
2009-11-10 00:00:00+00:00,14.0,A,08291000
2009-11-11 00:00:00+00:00,13.9,A,08291000
2009-11-12 00:00:00+00:00,13.5,A,08291000
2009-11-13 00:00:00+00:00,12.9,A,08291000
2009-11-14 00:00:00+00:00,13.2,A,08291000
2009-11-15 00:00:00+00:00,11.5,A,08291000
2009-11-16 00:00:00+00:00,10.0,A,08291000
2009-11-17 00:00:00+00:00,11.7,A,08291000
2009-11-18 00:00:00+00:00,12.9,A,08291000
2009-11-19 00:00:00+00:00,12.5,A,08291000
2009-11-20 00:00:00+00:00,12.0,A,08291000
2009-11-21 00:00:00+00:00,11.9,A,08291000
2009-11-22 00:00:00+00:00,11.4,A,08291000
2009-11-23 00:00:00+00:00,10.6,A,08291000
2009-11-24 00:00:00+00:00,8.52,A,08291000
2009-11-25 00:00:00+00:00,9.5,"A, e",08291000
2009-11-26 00:00:00+00:00,10.1,"A, e",08291000
2009-11-27 00:00:00+00:00,9.84,"A, e",08291000
2009-11-28 00:00:00+00:00,9.84,"A, e",08291000
2009-11-29 00:00:00+00:00,10.0,"A, e",08291000
2009-11-30 00:00:00+00:00,9.93,"A, e",08291000
2009-12-01 00:00:00+00:00,10.1,"A, e",08291000
2009-12-02 00:00:00+00:00,10.3,"A, e",08291000
2009-12-03 00:00:00+00:00,9.99,"A, e",08291000
2009-12-04 00:00:00+00:00,9.61,"A, e",08291000
2009-12-05 00:00:00+00:00,9.25,A,08291000
2009-12-06 00:00:00+00:00,9.25,A,08291000
2009-12-07 00:00:00+00:00,9.55,"A, e",08291000
2009-12-08 00:00:00+00:00,9.93,"A, e",08291000
2009-12-09 00:00:00+00:00,10.2,"A, e",08291000
2009-12-10 00:00:00+00:00,10.2,A,08291000
2009-12-11 00:00:00+00:00,10.2,A,08291000
2009-12-12 00:00:00+00:00,9.88,A,08291000
2009-12-13 00:00:00+00:00,9.38,A,08291000
2009-12-14 00:00:00+00:00,8.84,A,08291000
2009-12-15 00:00:00+00:00,8.54,A,08291000
2009-12-16 00:00:00+00:00,9.63,A,08291000
2009-12-17 00:00:00+00:00,10.4,A,08291000
2009-12-18 00:00:00+00:00,10.3,A,08291000
2009-12-19 00:00:00+00:00,9.2,A,08291000
2009-12-20 00:00:00+00:00,9.94,A,08291000
2009-12-21 00:00:00+00:00,9.79,A,08291000
2009-12-22 00:00:00+00:00,8.71,A,08291000
2009-12-23 00:00:00+00:00,8.7,A,08291000
2009-12-24 00:00:00+00:00,8.48,A,08291000
2009-12-25 00:00:00+00:00,10.3,"A, e",08291000
2009-12-26 00:00:00+00:00,11.5,"A, e",08291000
2009-12-27 00:00:00+00:00,12.4,"A, e",08291000
2009-12-28 00:00:00+00:00,10.7,"A, e",08291000
2009-12-29 00:00:00+00:00,9.48,"A, e",08291000
2009-12-30 00:00:00+00:00,8.78,"A, e",08291000
2009-12-31 00:00:00+00:00,8.78,"A, e",08291000
2010-01-01 00:00:00+00:00,8.35,"A, e",08291000
2010-01-02 00:00:00+00:00,8.78,"A, e",08291000
2010-01-03 00:00:00+00:00,8.35,"A, e",08291000
2010-01-04 00:00:00+00:00,8.76,"A, e",08291000
2010-01-05 00:00:00+00:00,8.22,"A, e",08291000
2010-01-06 00:00:00+00:00,8.03,"A, e",08291000
2010-01-07 00:00:00+00:00,7.76,"A, e",08291000
2010-01-08 00:00:00+00:00,8.16,"A, e",08291000
2010-01-09 00:00:00+00:00,7.69,A,08291000
2010-01-10 00:00:00+00:00,8.34,A,08291000
2010-01-11 00:00:00+00:00,8.65,A,08291000
2010-01-12 00:00:00+00:00,8.81,A,08291000
2010-01-13 00:00:00+00:00,8.64,A,08291000
2010-01-14 00:00:00+00:00,7.96,A,08291000
2010-01-15 00:00:00+00:00,7.17,A,08291000
2010-01-16 00:00:00+00:00,7.11,A,08291000
2010-01-17 00:00:00+00:00,7.07,A,08291000
2010-01-18 00:00:00+00:00,7.03,A,08291000
