datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2010-10-01 00:00:00+00:00,274.0,A,10136500,11.87,A
2010-10-02 00:00:00+00:00,284.0,A,10136500,11.9,A
2010-10-03 00:00:00+00:00,289.0,A,10136500,11.91,A
2010-10-04 00:00:00+00:00,305.0,A,10136500,11.93,A
2010-10-05 00:00:00+00:00,370.0,A,10136500,12.07,A
2010-10-06 00:00:00+00:00,330.0,A,10136500,11.99,A
2010-10-07 00:00:00+00:00,305.0,A,10136500,11.93,A
2010-10-08 00:00:00+00:00,295.0,A,10136500,11.91,A
2010-10-09 00:00:00+00:00,285.0,A,10136500,11.89,A
2010-10-10 00:00:00+00:00,255.0,A,10136500,11.81,A
2010-10-11 00:00:00+00:00,200.0,A,10136500,11.65,A
2010-10-12 00:00:00+00:00,181.0,A,10136500,11.59,A
2010-10-13 00:00:00+00:00,165.0,A,10136500,11.53,A
2010-10-14 00:00:00+00:00,152.0,A,10136500,11.45,A
2010-10-15 00:00:00+00:00,272.0,A,10136500,11.82,A
2010-10-16 00:00:00+00:00,125.0,A,10136500,11.33,A
2010-10-17 00:00:00+00:00,97.6,A,10136500,11.18,A
2010-10-18 00:00:00+00:00,92.1,A,10136500,11.15,A
2010-10-19 00:00:00+00:00,78.9,A,10136500,11.05,A
2010-10-20 00:00:00+00:00,68.3,A,10136500,10.97,A
2010-10-21 00:00:00+00:00,63.0,A,10136500,10.92,A
2010-10-22 00:00:00+00:00,62.2,A,10136500,10.91,A
2010-10-23 00:00:00+00:00,65.1,A,10136500,10.94,A
2010-10-24 00:00:00+00:00,83.3,A,10136500,11.08,A
2010-10-25 00:00:00+00:00,198.0,A,10136500,11.62,A
2010-10-26 00:00:00+00:00,129.0,A,10136500,11.36,A
2010-10-27 00:00:00+00:00,108.0,A,10136500,11.24,A
2010-10-28 00:00:00+00:00,89.6,A,10136500,11.13,A
2010-10-29 00:00:00+00:00,92.1,A,10136500,11.15,A
2010-10-30 00:00:00+00:00,95.5,A,10136500,11.17,A
2010-10-31 00:00:00+00:00,110.0,A,10136500,11.26,A
2010-11-01 00:00:00+00:00,100.0,A,10136500,11.2,A
2010-11-02 00:00:00+00:00,88.9,A,10136500,11.13,A
2010-11-03 00:00:00+00:00,83.3,A,10136500,11.09,A
2010-11-04 00:00:00+00:00,78.4,A,10136500,11.05,A
2010-11-05 00:00:00+00:00,74.4,A,10136500,11.02,A
2010-11-06 00:00:00+00:00,67.7,A,10136500,10.96,A
2010-11-07 00:00:00+00:00,58.6,A,10136500,10.88,A
2010-11-08 00:00:00+00:00,80.8,A,10136500,11.0,A
2010-11-09 00:00:00+00:00,86.6,A,10136500,11.1,A
2010-11-10 00:00:00+00:00,67.9,A,10136500,10.96,A
2010-11-11 00:00:00+00:00,71.8,A,10136500,11.0,A
2010-11-12 00:00:00+00:00,66.1,A,10136500,10.95,A
2010-11-13 00:00:00+00:00,65.5,A,10136500,10.94,A
2010-11-14 00:00:00+00:00,65.8,A,10136500,10.95,A
2010-11-15 00:00:00+00:00,72.8,A,10136500,11.01,A
2010-11-16 00:00:00+00:00,73.4,A,10136500,11.01,A
2010-11-17 00:00:00+00:00,68.1,A,10136500,10.96,A
2010-11-18 00:00:00+00:00,56.1,A,10136500,10.85,A
