datetime,00060_Mean,00060_Mean_cd,site_no
2011-10-01 00:00:00+00:00,2.95,A,13162225
2011-10-02 00:00:00+00:00,3.86,A,13162225
2011-10-03 00:00:00+00:00,4.02,A,13162225
2011-10-04 00:00:00+00:00,14.2,A,13162225
2011-10-05 00:00:00+00:00,23.6,A,13162225
2011-10-06 00:00:00+00:00,11.4,A,13162225
2011-10-07 00:00:00+00:00,11.2,A,13162225
2011-10-08 00:00:00+00:00,13.4,A,13162225
2011-10-09 00:00:00+00:00,12.7,A,13162225
2011-10-10 00:00:00+00:00,12.1,A,13162225
2011-10-11 00:00:00+00:00,15.4,A,13162225
2011-10-12 00:00:00+00:00,14.0,"A, e",13162225
2012-01-18 00:00:00+00:00,4.4,"A, e",13162225
2012-01-19 00:00:00+00:00,4.44,"A, e",13162225
2012-01-20 00:00:00+00:00,4.82,"A, e",13162225
2012-01-21 00:00:00+00:00,5.04,"A, e",13162225
2012-01-22 00:00:00+00:00,5.06,"A, e",13162225
2012-01-23 00:00:00+00:00,5.06,"A, e",13162225
2012-01-24 00:00:00+00:00,5.02,"A, e",13162225
2012-01-25 00:00:00+00:00,4.99,"A, e",13162225
2012-01-26 00:00:00+00:00,5.04,"A, e",13162225
2012-01-27 00:00:00+00:00,5.15,"A, e",13162225
2012-01-28 00:00:00+00:00,5.36,"A, e",13162225
2012-01-29 00:00:00+00:00,5.57,"A, e",13162225
2012-01-30 00:00:00+00:00,5.82,A,13162225
2012-01-31 00:00:00+00:00,5.76,A,13162225
2012-02-01 00:00:00+00:00,5.79,A,13162225
2012-02-02 00:00:00+00:00,5.81,A,13162225
2012-02-03 00:00:00+00:00,5.83,A,13162225
2012-02-04 00:00:00+00:00,5.57,"A, e",13162225
2012-02-05 00:00:00+00:00,5.42,"A, e",13162225
2012-02-06 00:00:00+00:00,5.32,"A, e",13162225
2012-02-07 00:00:00+00:00,5.27,"A, e",13162225
2012-02-08 00:00:00+00:00,5.36,A,13162225
2012-02-09 00:00:00+00:00,5.37,A,13162225
2012-02-10 00:00:00+00:00,5.34,"A, e",13162225
2012-02-11 00:00:00+00:00,5.36,"A, e",13162225
2012-02-12 00:00:00+00:00,5.33,"A, e",13162225
2012-02-13 00:00:00+00:00,5.37,A,13162225
2012-02-14 00:00:00+00:00,5.36,A,13162225
2012-02-15 00:00:00+00:00,5.29,"A, e",13162225
2012-02-16 00:00:00+00:00,5.2,A,13162225
2012-02-17 00:00:00+00:00,5.39,A,13162225
2012-02-18 00:00:00+00:00,5.36,"A, e",13162225
2012-02-19 00:00:00+00:00,5.39,"A, e",13162225
2012-02-20 00:00:00+00:00,5.42,A,13162225
2012-02-21 00:00:00+00:00,5.4,"A, e",13162225
2012-02-22 00:00:00+00:00,5.36,"A, e",13162225
2012-02-23 00:00:00+00:00,5.43,"A, e",13162225
2012-02-24 00:00:00+00:00,5.49,A,13162225
2012-02-25 00:00:00+00:00,5.49,"A, e",13162225
2012-02-26 00:00:00+00:00,5.48,"A, e",13162225
2012-02-27 00:00:00+00:00,5.52,"A, e",13162225
2012-02-28 00:00:00+00:00,5.57,"A, e",13162225
2012-02-29 00:00:00+00:00,5.55,"A, e",13162225
2012-03-01 00:00:00+00:00,5.58,A,13162225
2012-03-02 00:00:00+00:00,5.47,A,13162225
2012-03-03 00:00:00+00:00,5.49,A,13162225
2012-03-04 00:00:00+00:00,5.5,A,13162225
2012-03-05 00:00:00+00:00,7.47,A,13162225
2012-03-06 00:00:00+00:00,8.62,A,13162225
2012-03-07 00:00:00+00:00,8.09,A,13162225
2012-03-08 00:00:00+00:00,7.86,A,13162225
2012-03-09 00:00:00+00:00,9.53,A,13162225
2012-03-10 00:00:00+00:00,12.9,A,13162225
2012-03-11 00:00:00+00:00,15.0,A,13162225
2012-03-12 00:00:00+00:00,15.5,A,13162225
2012-03-13 00:00:00+00:00,16.4,A,13162225
2012-03-14 00:00:00+00:00,16.3,A,13162225
2012-03-15 00:00:00+00:00,17.8,A,13162225
2012-03-16 00:00:00+00:00,20.2,A,13162225
2012-03-17 00:00:00+00:00,23.9,A,13162225
2012-03-18 00:00:00+00:00,18.9,A,13162225
2012-03-19 00:00:00+00:00,15.0,A,13162225
2012-03-20 00:00:00+00:00,13.7,A,13162225
2012-03-21 00:00:00+00:00,12.6,A,13162225
2012-03-22 00:00:00+00:00,16.9,A,13162225
2012-03-23 00:00:00+00:00,22.9,A,13162225
2012-03-24 00:00:00+00:00,23.6,A,13162225
2012-03-25 00:00:00+00:00,24.3,A,13162225
2012-03-26 00:00:00+00:00,23.7,A,13162225
2012-03-27 00:00:00+00:00,19.1,A,13162225
2012-03-28 00:00:00+00:00,17.2,A,13162225
2012-03-29 00:00:00+00:00,15.2,A,13162225
2012-03-30 00:00:00+00:00,17.7,A,13162225
2012-03-31 00:00:00+00:00,37.3,A,13162225
2012-04-01 00:00:00+00:00,40.0,A,13162225
2012-04-02 00:00:00+00:00,31.8,A,13162225
2012-04-03 00:00:00+00:00,28.7,A,13162225
2012-04-04 00:00:00+00:00,29.7,A,13162225
2012-04-05 00:00:00+00:00,30.7,A,13162225
2012-04-06 00:00:00+00:00,27.6,A,13162225
2012-04-07 00:00:00+00:00,24.9,A,13162225
2012-04-08 00:00:00+00:00,25.8,A,13162225
2012-04-09 00:00:00+00:00,31.8,A,13162225
2012-04-10 00:00:00+00:00,40.7,A,13162225
2012-04-11 00:00:00+00:00,44.2,A,13162225
2012-04-12 00:00:00+00:00,39.3,A,13162225
2012-04-13 00:00:00+00:00,34.6,A,13162225
2012-04-14 00:00:00+00:00,31.7,A,13162225
2012-04-15 00:00:00+00:00,28.9,A,13162225
2012-04-16 00:00:00+00:00,27.0,A,13162225
2012-04-17 00:00:00+00:00,29.9,A,13162225
2012-04-18 00:00:00+00:00,34.5,A,13162225
2012-04-19 00:00:00+00:00,45.1,A,13162225
2012-04-20 00:00:00+00:00,68.2,A,13162225
2012-04-21 00:00:00+00:00,89.5,A,13162225
2012-04-22 00:00:00+00:00,112.0,A,13162225
2012-04-23 00:00:00+00:00,144.0,A,13162225
2012-04-24 00:00:00+00:00,147.0,A,13162225
2012-04-25 00:00:00+00:00,136.0,A,13162225
2012-04-26 00:00:00+00:00,142.0,A,13162225
2012-04-27 00:00:00+00:00,126.0,A,13162225
2012-04-28 00:00:00+00:00,105.0,A,13162225
2012-04-29 00:00:00+00:00,91.6,A,13162225
2012-04-30 00:00:00+00:00,84.9,A,13162225
2012-05-01 00:00:00+00:00,83.9,A,13162225
2012-05-02 00:00:00+00:00,84.7,A,13162225
2012-05-03 00:00:00+00:00,81.0,A,13162225
2012-05-04 00:00:00+00:00,75.9,A,13162225
2012-05-05 00:00:00+00:00,72.6,A,13162225
2012-05-06 00:00:00+00:00,69.2,A,13162225
2012-05-07 00:00:00+00:00,67.8,A,13162225
2012-05-08 00:00:00+00:00,72.0,A,13162225
2012-05-09 00:00:00+00:00,80.3,A,13162225
2012-05-10 00:00:00+00:00,88.6,A,13162225
2012-05-11 00:00:00+00:00,88.8,A,13162225
2012-05-12 00:00:00+00:00,86.4,A,13162225
2012-05-13 00:00:00+00:00,83.0,A,13162225
2012-05-14 00:00:00+00:00,87.2,A,13162225
2012-05-15 00:00:00+00:00,90.4,A,13162225
2012-05-16 00:00:00+00:00,90.4,A,13162225
2012-05-17 00:00:00+00:00,90.7,A,13162225
2012-05-18 00:00:00+00:00,84.4,A,13162225
2012-05-19 00:00:00+00:00,76.7,A,13162225
2012-05-20 00:00:00+00:00,72.6,A,13162225
2012-05-21 00:00:00+00:00,71.4,A,13162225
2012-05-22 00:00:00+00:00,73.8,A,13162225
2012-05-23 00:00:00+00:00,70.9,A,13162225
2012-05-24 00:00:00+00:00,66.3,A,13162225
2012-05-25 00:00:00+00:00,64.4,A,13162225
2012-05-26 00:00:00+00:00,58.3,A,13162225
2012-05-27 00:00:00+00:00,56.8,A,13162225
2012-05-28 00:00:00+00:00,52.4,A,13162225
2012-05-29 00:00:00+00:00,46.3,A,13162225
2012-05-30 00:00:00+00:00,43.1,A,13162225
2012-05-31 00:00:00+00:00,44.6,A,13162225
2012-06-01 00:00:00+00:00,49.6,A,13162225
2012-06-02 00:00:00+00:00,53.8,A,13162225
2012-06-03 00:00:00+00:00,55.0,"A, e",13162225
2012-06-04 00:00:00+00:00,54.1,A,13162225
2012-06-05 00:00:00+00:00,54.5,A,13162225
2012-06-06 00:00:00+00:00,47.5,A,13162225
2012-06-07 00:00:00+00:00,40.2,A,13162225
2012-06-08 00:00:00+00:00,37.0,"A, e",13162225
2012-06-09 00:00:00+00:00,35.0,"A, e",13162225
2012-06-10 00:00:00+00:00,33.1,A,13162225
2012-06-11 00:00:00+00:00,29.6,A,13162225
2012-06-12 00:00:00+00:00,27.3,A,13162225
2012-06-13 00:00:00+00:00,25.9,A,13162225
2012-06-14 00:00:00+00:00,24.6,A,13162225
2012-06-15 00:00:00+00:00,24.1,A,13162225
2012-06-16 00:00:00+00:00,22.6,A,13162225
2012-06-17 00:00:00+00:00,21.0,A,13162225
2012-06-18 00:00:00+00:00,20.2,A,13162225
2012-06-19 00:00:00+00:00,20.1,A,13162225
2012-06-20 00:00:00+00:00,19.2,A,13162225
2012-06-21 00:00:00+00:00,17.5,A,13162225
2012-06-22 00:00:00+00:00,16.1,A,13162225
2012-06-23 00:00:00+00:00,15.5,A,13162225
2012-06-24 00:00:00+00:00,14.9,A,13162225
2012-06-25 00:00:00+00:00,13.8,A,13162225
2012-06-26 00:00:00+00:00,13.6,A,13162225
2012-06-27 00:00:00+00:00,13.3,A,13162225
2012-06-28 00:00:00+00:00,12.5,A,13162225
2012-06-29 00:00:00+00:00,11.9,A,13162225
2012-06-30 00:00:00+00:00,11.3,A,13162225
2012-07-01 00:00:00+00:00,11.2,A,13162225
2012-07-02 00:00:00+00:00,11.0,A,13162225
2012-07-03 00:00:00+00:00,10.4,A,13162225
2012-07-04 00:00:00+00:00,9.91,A,13162225
2012-07-05 00:00:00+00:00,10.0,A,13162225
2012-07-06 00:00:00+00:00,10.3,A,13162225
2012-07-07 00:00:00+00:00,9.77,A,13162225
2012-07-08 00:00:00+00:00,9.37,A,13162225
2012-07-09 00:00:00+00:00,8.66,A,13162225
2012-07-10 00:00:00+00:00,8.32,A,13162225
2012-07-11 00:00:00+00:00,7.94,A,13162225
2012-07-12 00:00:00+00:00,7.43,A,13162225
2012-07-13 00:00:00+00:00,7.65,A,13162225
2012-07-14 00:00:00+00:00,7.97,A,13162225
2012-07-15 00:00:00+00:00,7.36,A,13162225
2012-07-16 00:00:00+00:00,7.22,A,13162225
2012-07-17 00:00:00+00:00,7.05,A,13162225
2012-07-18 00:00:00+00:00,6.51,A,13162225
2012-07-19 00:00:00+00:00,6.33,A,13162225
2012-07-20 00:00:00+00:00,6.2,A,13162225
2012-07-21 00:00:00+00:00,6.05,A,13162225
