datetime,00060_Mean,00060_Mean_cd,site_no
2013-10-01 00:00:00+00:00,229.0,"A, R",15290000
2013-10-02 00:00:00+00:00,231.0,"A, R",15290000
2013-10-03 00:00:00+00:00,217.0,"A, R",15290000
2013-10-04 00:00:00+00:00,204.0,"A, R",15290000
2013-10-05 00:00:00+00:00,194.0,"A, R",15290000
2013-10-06 00:00:00+00:00,194.0,"A, R",15290000
2013-10-07 00:00:00+00:00,185.0,"A, R",15290000
2013-10-08 00:00:00+00:00,275.0,"A, R",15290000
2013-10-09 00:00:00+00:00,253.0,"A, R",15290000
2013-10-10 00:00:00+00:00,213.0,"A, R",15290000
2013-10-11 00:00:00+00:00,214.0,"A, R",15290000
2013-10-12 00:00:00+00:00,205.0,"A, R",15290000
2013-10-13 00:00:00+00:00,210.0,"A, R",15290000
2013-10-14 00:00:00+00:00,207.0,"A, R",15290000
2013-10-15 00:00:00+00:00,246.0,"A, R",15290000
2013-10-16 00:00:00+00:00,339.0,"A, R",15290000
2013-10-17 00:00:00+00:00,340.0,"A, R",15290000
2013-10-18 00:00:00+00:00,353.0,"A, R",15290000
2013-10-19 00:00:00+00:00,329.0,"A, R",15290000
2013-10-20 00:00:00+00:00,308.0,"A, R",15290000
2013-10-21 00:00:00+00:00,279.0,"A, R",15290000
2013-10-22 00:00:00+00:00,259.0,"A, R",15290000
2013-10-23 00:00:00+00:00,240.0,"A, R",15290000
2013-10-24 00:00:00+00:00,229.0,"A, R",15290000
2013-10-25 00:00:00+00:00,217.0,"A, R",15290000
2013-10-26 00:00:00+00:00,200.0,"A, R",15290000
2013-10-27 00:00:00+00:00,217.0,"A, R",15290000
2013-10-28 00:00:00+00:00,432.0,"A, R",15290000
2013-10-29 00:00:00+00:00,364.0,"A, R",15290000
2013-10-30 00:00:00+00:00,314.0,"A, R",15290000
2013-10-31 00:00:00+00:00,283.0,"A, R",15290000
2013-11-01 00:00:00+00:00,262.0,"A, R",15290000
2013-11-02 00:00:00+00:00,250.0,"A, R",15290000
2013-11-03 00:00:00+00:00,233.0,"A, R",15290000
2013-11-04 00:00:00+00:00,220.0,"A, R",15290000
2013-11-05 00:00:00+00:00,205.0,"A, R",15290000
2013-11-06 00:00:00+00:00,175.0,"A, R",15290000
2013-11-07 00:00:00+00:00,169.0,"A, R",15290000
2013-11-08 00:00:00+00:00,156.0,"A, R",15290000
2013-11-09 00:00:00+00:00,201.0,"A, R",15290000
2013-11-10 00:00:00+00:00,181.0,"A, R",15290000
2013-11-11 00:00:00+00:00,171.0,"A, R",15290000
2013-11-12 00:00:00+00:00,146.0,"A, R",15290000
2013-11-13 00:00:00+00:00,185.0,"A, R",15290000
2013-11-14 00:00:00+00:00,160.0,"A, R",15290000
2013-11-15 00:00:00+00:00,129.0,"A, R",15290000
2013-11-16 00:00:00+00:00,118.0,"A, e",15290000
2013-11-17 00:00:00+00:00,105.0,"A, e",15290000
2013-11-18 00:00:00+00:00,95.9,"A, e",15290000
2013-11-19 00:00:00+00:00,91.1,"A, e",15290000
2013-11-20 00:00:00+00:00,89.1,"A, e",15290000
2013-11-21 00:00:00+00:00,85.8,"A, e",15290000
2013-11-22 00:00:00+00:00,80.1,"A, e",15290000
2013-11-23 00:00:00+00:00,78.6,"A, e",15290000
2013-11-24 00:00:00+00:00,77.8,"A, e",15290000
2013-11-25 00:00:00+00:00,77.1,"A, e",15290000
2013-11-26 00:00:00+00:00,75.8,"A, e",15290000
2013-11-27 00:00:00+00:00,74.1,"A, e",15290000
2013-11-28 00:00:00+00:00,72.3,"A, e",15290000
2013-11-29 00:00:00+00:00,69.3,"A, e",15290000
2013-11-30 00:00:00+00:00,67.1,"A, e",15290000
2013-12-01 00:00:00+00:00,66.5,"A, e",15290000
2013-12-02 00:00:00+00:00,66.4,"A, e",15290000
2013-12-03 00:00:00+00:00,67.4,"A, e",15290000
2013-12-04 00:00:00+00:00,71.5,"A, e",15290000
2013-12-05 00:00:00+00:00,79.4,"A, e",15290000
2013-12-06 00:00:00+00:00,92.1,"A, e",15290000
2013-12-07 00:00:00+00:00,93.8,"A, R",15290000
2013-12-08 00:00:00+00:00,77.3,"A, R",15290000
2013-12-09 00:00:00+00:00,71.7,"A, R",15290000
2013-12-10 00:00:00+00:00,69.3,"A, R",15290000
2013-12-11 00:00:00+00:00,62.4,"A, e",15290000
2013-12-12 00:00:00+00:00,56.4,"A, e",15290000
2013-12-13 00:00:00+00:00,55.4,"A, e",15290000
2013-12-14 00:00:00+00:00,54.6,"A, e",15290000
2013-12-15 00:00:00+00:00,54.0,"A, e",15290000
2013-12-16 00:00:00+00:00,53.3,"A, e",15290000
2013-12-17 00:00:00+00:00,52.7,"A, e",15290000
2013-12-18 00:00:00+00:00,52.3,"A, e",15290000
2013-12-19 00:00:00+00:00,52.7,"A, e",15290000
2013-12-20 00:00:00+00:00,53.4,"A, e",15290000
2013-12-21 00:00:00+00:00,54.4,"A, e",15290000
2013-12-22 00:00:00+00:00,55.1,"A, e",15290000
2013-12-23 00:00:00+00:00,55.9,"A, e",15290000
2013-12-24 00:00:00+00:00,56.2,"A, e",15290000
2013-12-25 00:00:00+00:00,55.9,"A, e",15290000
2013-12-26 00:00:00+00:00,57.4,"A, e",15290000
2013-12-27 00:00:00+00:00,57.6,"A, R",15290000
2013-12-28 00:00:00+00:00,56.7,"A, R",15290000
2013-12-29 00:00:00+00:00,55.2,"A, R",15290000
2013-12-30 00:00:00+00:00,54.1,"A, R",15290000
2013-12-31 00:00:00+00:00,53.2,"A, R",15290000
2014-01-01 00:00:00+00:00,52.6,"A, R",15290000
2014-01-02 00:00:00+00:00,51.3,"A, R",15290000
2014-01-03 00:00:00+00:00,50.9,"A, R",15290000
2014-01-04 00:00:00+00:00,50.6,"A, R",15290000
2014-01-05 00:00:00+00:00,50.3,"A, R",15290000
2014-01-06 00:00:00+00:00,49.5,"A, R",15290000
2014-01-07 00:00:00+00:00,48.8,"A, R",15290000
2014-01-08 00:00:00+00:00,48.3,"A, R",15290000
2014-01-09 00:00:00+00:00,48.2,"A, R",15290000
2014-01-10 00:00:00+00:00,47.2,"A, R",15290000
2014-01-11 00:00:00+00:00,46.7,"A, R",15290000
2014-01-12 00:00:00+00:00,45.5,"A, R",15290000
2014-01-13 00:00:00+00:00,45.6,"A, R",15290000
2014-01-14 00:00:00+00:00,45.9,"A, R",15290000
2014-01-15 00:00:00+00:00,44.8,"A, R",15290000
2014-01-16 00:00:00+00:00,46.0,"A, R",15290000
2014-01-17 00:00:00+00:00,46.5,"A, R",15290000
2014-01-18 00:00:00+00:00,46.2,"A, R",15290000
2014-01-19 00:00:00+00:00,44.9,"A, R",15290000
2014-01-20 00:00:00+00:00,44.8,"A, R",15290000
2014-01-21 00:00:00+00:00,44.4,"A, R",15290000
2014-01-22 00:00:00+00:00,44.0,"A, R",15290000
2014-01-23 00:00:00+00:00,64.9,"A, R",15290000
2014-01-24 00:00:00+00:00,101.0,"A, R",15290000
2014-01-25 00:00:00+00:00,66.6,"A, R",15290000
2014-01-26 00:00:00+00:00,56.8,"A, R",15290000
2014-01-27 00:00:00+00:00,54.3,"A, R",15290000
2014-01-28 00:00:00+00:00,52.8,"A, R",15290000
2014-01-29 00:00:00+00:00,49.3,"A, R",15290000
2014-01-30 00:00:00+00:00,46.6,"A, R",15290000
2014-01-31 00:00:00+00:00,49.0,"A, e",15290000
2014-02-01 00:00:00+00:00,47.8,"A, e",15290000
2014-02-02 00:00:00+00:00,47.0,"A, e",15290000
2014-02-03 00:00:00+00:00,46.4,"A, e",15290000
2014-02-04 00:00:00+00:00,45.7,"A, e",15290000
2014-02-05 00:00:00+00:00,45.1,"A, e",15290000
2014-02-06 00:00:00+00:00,44.4,"A, e",15290000
2014-02-07 00:00:00+00:00,43.9,"A, e",15290000
2014-02-08 00:00:00+00:00,43.5,"A, e",15290000
2014-02-09 00:00:00+00:00,42.9,"A, e",15290000
2014-02-10 00:00:00+00:00,42.1,"A, e",15290000
2014-02-11 00:00:00+00:00,41.3,"A, e",15290000
2014-02-12 00:00:00+00:00,40.4,"A, e",15290000
2014-02-13 00:00:00+00:00,39.6,"A, e",15290000
2014-02-14 00:00:00+00:00,39.2,"A, e",15290000
2014-02-15 00:00:00+00:00,39.1,"A, e",15290000
2014-02-16 00:00:00+00:00,38.8,"A, e",15290000
2014-02-17 00:00:00+00:00,38.3,"A, R",15290000
2014-02-18 00:00:00+00:00,37.7,"A, R",15290000
2014-02-19 00:00:00+00:00,37.0,"A, R",15290000
2014-02-20 00:00:00+00:00,36.2,"A, R",15290000
2014-02-21 00:00:00+00:00,34.8,"A, R",15290000
2014-02-22 00:00:00+00:00,34.9,"A, R",15290000
2014-02-23 00:00:00+00:00,34.8,"A, R",15290000
2014-02-24 00:00:00+00:00,34.3,"A, R",15290000
2014-02-25 00:00:00+00:00,34.0,"A, R",15290000
2014-02-26 00:00:00+00:00,34.2,"A, R",15290000
2014-02-27 00:00:00+00:00,35.4,"A, R",15290000
2014-02-28 00:00:00+00:00,35.8,"A, R",15290000
2014-03-01 00:00:00+00:00,34.5,"A, e",15290000
2014-03-02 00:00:00+00:00,33.6,"A, e",15290000
2014-03-03 00:00:00+00:00,33.2,"A, e",15290000
2014-03-04 00:00:00+00:00,32.8,"A, e",15290000
2014-03-05 00:00:00+00:00,32.9,"A, R",15290000
2014-03-06 00:00:00+00:00,32.4,"A, R",15290000
2014-03-07 00:00:00+00:00,31.9,"A, R",15290000
2014-03-08 00:00:00+00:00,31.5,"A, R",15290000
2014-03-09 00:00:00+00:00,30.3,"A, R",15290000
2014-03-10 00:00:00+00:00,31.1,"A, R",15290000
2014-03-11 00:00:00+00:00,31.7,"A, R",15290000
2014-03-12 00:00:00+00:00,31.4,"A, R",15290000
2014-03-13 00:00:00+00:00,31.2,"A, R",15290000
2014-03-14 00:00:00+00:00,31.1,"A, R",15290000
2014-03-15 00:00:00+00:00,30.2,"A, R",15290000
