datetime,00060_Mean,00060_Mean_cd,site_no
2014-10-01 00:00:00+00:00,389.0,A,13235000
2014-10-02 00:00:00+00:00,370.0,A,13235000
2014-10-03 00:00:00+00:00,361.0,A,13235000
2014-10-04 00:00:00+00:00,354.0,A,13235000
2014-10-05 00:00:00+00:00,347.0,A,13235000
2014-10-06 00:00:00+00:00,342.0,A,13235000
2014-10-07 00:00:00+00:00,338.0,A,13235000
2014-10-08 00:00:00+00:00,335.0,A,13235000
2014-10-09 00:00:00+00:00,331.0,A,13235000
2014-10-10 00:00:00+00:00,329.0,A,13235000
2014-10-11 00:00:00+00:00,328.0,A,13235000
2014-10-12 00:00:00+00:00,328.0,A,13235000
2014-10-13 00:00:00+00:00,327.0,A,13235000
2014-10-14 00:00:00+00:00,324.0,A,13235000
2014-10-15 00:00:00+00:00,326.0,A,13235000
2014-10-16 00:00:00+00:00,338.0,A,13235000
2014-10-17 00:00:00+00:00,328.0,A,13235000
2014-10-18 00:00:00+00:00,323.0,A,13235000
2014-10-19 00:00:00+00:00,319.0,A,13235000
2014-10-20 00:00:00+00:00,316.0,A,13235000
2014-10-21 00:00:00+00:00,392.0,A,13235000
2014-10-22 00:00:00+00:00,386.0,A,13235000
2014-10-23 00:00:00+00:00,424.0,A,13235000
2014-10-24 00:00:00+00:00,513.0,A,13235000
2014-10-25 00:00:00+00:00,462.0,A,13235000
2014-10-26 00:00:00+00:00,433.0,A,13235000
2014-10-27 00:00:00+00:00,426.0,A,13235000
2014-10-28 00:00:00+00:00,408.0,A,13235000
2014-10-29 00:00:00+00:00,410.0,A,13235000
2014-10-30 00:00:00+00:00,409.0,A,13235000
2014-10-31 00:00:00+00:00,398.0,A,13235000
2014-11-01 00:00:00+00:00,402.0,A,13235000
2014-11-02 00:00:00+00:00,461.0,A,13235000
2014-11-03 00:00:00+00:00,423.0,A,13235000
2014-11-04 00:00:00+00:00,409.0,A,13235000
2014-11-05 00:00:00+00:00,405.0,A,13235000
2014-11-06 00:00:00+00:00,401.0,A,13235000
2014-11-07 00:00:00+00:00,397.0,A,13235000
2014-11-08 00:00:00+00:00,391.0,A,13235000
2014-11-09 00:00:00+00:00,389.0,A,13235000
2014-11-10 00:00:00+00:00,406.0,A,13235000
2014-11-11 00:00:00+00:00,379.0,A,13235000
2014-11-12 00:00:00+00:00,321.0,A,13235000
2014-11-13 00:00:00+00:00,270.0,"A, e",13235000
2014-11-14 00:00:00+00:00,350.0,"A, e",13235000
2014-11-15 00:00:00+00:00,370.0,"A, e",13235000
2014-11-16 00:00:00+00:00,290.0,"A, e",13235000
2014-11-17 00:00:00+00:00,300.0,"A, e",13235000
2014-11-18 00:00:00+00:00,320.0,"A, e",13235000
2014-11-19 00:00:00+00:00,360.0,"A, e",13235000
2014-11-20 00:00:00+00:00,420.0,"A, e",13235000
2014-11-21 00:00:00+00:00,410.0,"A, e",13235000
2014-11-22 00:00:00+00:00,430.0,A,13235000
2014-11-23 00:00:00+00:00,396.0,A,13235000
2014-11-24 00:00:00+00:00,375.0,A,13235000
2014-11-25 00:00:00+00:00,399.0,A,13235000
2014-11-26 00:00:00+00:00,464.0,A,13235000
2014-11-27 00:00:00+00:00,445.0,A,13235000
2014-11-28 00:00:00+00:00,448.0,A,13235000
2014-11-29 00:00:00+00:00,494.0,A,13235000
2014-11-30 00:00:00+00:00,456.0,A,13235000
2014-12-01 00:00:00+00:00,380.0,"A, e",13235000
2014-12-02 00:00:00+00:00,430.0,"A, e",13235000
2014-12-03 00:00:00+00:00,416.0,A,13235000
2014-12-04 00:00:00+00:00,462.0,A,13235000
2014-12-05 00:00:00+00:00,467.0,A,13235000
2014-12-06 00:00:00+00:00,461.0,A,13235000
2014-12-07 00:00:00+00:00,459.0,A,13235000
2014-12-08 00:00:00+00:00,438.0,A,13235000
2014-12-09 00:00:00+00:00,423.0,A,13235000
2014-12-10 00:00:00+00:00,412.0,A,13235000
2014-12-11 00:00:00+00:00,412.0,A,13235000
2014-12-12 00:00:00+00:00,438.0,A,13235000
2014-12-13 00:00:00+00:00,492.0,A,13235000
