datetime,00060_Mean,00060_Mean_cd,site_no
2014-10-01 00:00:00+00:00,298.0,A,09292500
2014-10-02 00:00:00+00:00,256.0,A,09292500
2014-10-03 00:00:00+00:00,234.0,A,09292500
2014-10-04 00:00:00+00:00,218.0,A,09292500
2014-10-05 00:00:00+00:00,201.0,A,09292500
2014-10-06 00:00:00+00:00,189.0,A,09292500
2014-10-07 00:00:00+00:00,179.0,A,09292500
2014-10-08 00:00:00+00:00,174.0,A,09292500
2014-10-09 00:00:00+00:00,167.0,A,09292500
2014-10-10 00:00:00+00:00,161.0,A,09292500
2014-10-11 00:00:00+00:00,153.0,A,09292500
2014-10-12 00:00:00+00:00,148.0,A,09292500
2014-10-13 00:00:00+00:00,144.0,A,09292500
2014-10-14 00:00:00+00:00,152.0,A,09292500
2014-10-15 00:00:00+00:00,154.0,A,09292500
2014-10-16 00:00:00+00:00,136.0,A,09292500
2014-10-17 00:00:00+00:00,125.0,A,09292500
2014-10-18 00:00:00+00:00,124.0,A,09292500
2014-10-19 00:00:00+00:00,116.0,A,09292500
2014-10-20 00:00:00+00:00,112.0,A,09292500
2014-10-21 00:00:00+00:00,114.0,A,09292500
2014-10-22 00:00:00+00:00,116.0,A,09292500
2014-10-23 00:00:00+00:00,108.0,A,09292500
2014-10-24 00:00:00+00:00,104.0,A,09292500
2014-10-25 00:00:00+00:00,101.0,A,09292500
2014-10-26 00:00:00+00:00,98.9,A,09292500
2014-10-27 00:00:00+00:00,95.2,A,09292500
2014-10-28 00:00:00+00:00,94.7,A,09292500
2014-10-29 00:00:00+00:00,95.9,A,09292500
2014-10-30 00:00:00+00:00,95.9,A,09292500
2014-10-31 00:00:00+00:00,93.5,A,09292500
2014-11-01 00:00:00+00:00,94.4,A,09292500
2014-11-02 00:00:00+00:00,96.4,A,09292500
2014-11-03 00:00:00+00:00,93.8,A,09292500
2014-11-04 00:00:00+00:00,87.8,A,09292500
2014-11-05 00:00:00+00:00,92.6,A,09292500
2014-11-06 00:00:00+00:00,90.6,A,09292500
2014-11-07 00:00:00+00:00,90.7,A,09292500
2014-11-08 00:00:00+00:00,87.9,A,09292500
2014-11-09 00:00:00+00:00,88.1,A,09292500
2014-11-10 00:00:00+00:00,87.5,A,09292500
2014-11-11 00:00:00+00:00,78.4,A,09292500
2014-11-12 00:00:00+00:00,70.0,"A, e",09292500
2014-11-13 00:00:00+00:00,69.0,"A, e",09292500
2014-11-14 00:00:00+00:00,73.0,"A, e",09292500
2014-11-15 00:00:00+00:00,74.0,"A, e",09292500
2014-11-16 00:00:00+00:00,68.0,"A, e",09292500
2014-11-17 00:00:00+00:00,72.0,"A, e",09292500
2014-11-18 00:00:00+00:00,75.0,"A, e",09292500
2014-11-19 00:00:00+00:00,77.0,"A, e",09292500
2014-11-20 00:00:00+00:00,79.0,A,09292500
2014-11-21 00:00:00+00:00,78.0,"A, e",09292500
2014-11-22 00:00:00+00:00,76.1,A,09292500
2014-11-23 00:00:00+00:00,74.0,"A, e",09292500
2014-11-24 00:00:00+00:00,72.0,"A, e",09292500
2014-11-25 00:00:00+00:00,70.0,"A, e",09292500
2014-11-26 00:00:00+00:00,75.8,A,09292500
2014-11-27 00:00:00+00:00,74.5,A,09292500
2014-11-28 00:00:00+00:00,73.8,A,09292500
2014-11-29 00:00:00+00:00,73.2,A,09292500
2014-11-30 00:00:00+00:00,72.5,A,09292500
2014-12-01 00:00:00+00:00,71.8,A,09292500
2014-12-02 00:00:00+00:00,72.0,"A, e",09292500
2014-12-03 00:00:00+00:00,71.2,A,09292500
2014-12-04 00:00:00+00:00,71.3,A,09292500
2014-12-05 00:00:00+00:00,70.5,A,09292500
2014-12-06 00:00:00+00:00,70.2,A,09292500
2014-12-07 00:00:00+00:00,68.8,A,09292500
2014-12-08 00:00:00+00:00,68.2,A,09292500
2014-12-09 00:00:00+00:00,67.7,A,09292500
2014-12-10 00:00:00+00:00,67.1,A,09292500
2014-12-11 00:00:00+00:00,66.7,A,09292500
2014-12-12 00:00:00+00:00,66.4,A,09292500
2014-12-13 00:00:00+00:00,67.9,A,09292500
2014-12-14 00:00:00+00:00,64.0,"A, e",09292500
2014-12-15 00:00:00+00:00,58.0,"A, e",09292500
2014-12-16 00:00:00+00:00,62.0,"A, e",09292500
2014-12-17 00:00:00+00:00,62.0,"A, e",09292500
2014-12-18 00:00:00+00:00,60.0,"A, e",09292500
2014-12-19 00:00:00+00:00,59.0,"A, e",09292500
2014-12-20 00:00:00+00:00,61.0,"A, e",09292500
2014-12-21 00:00:00+00:00,60.0,"A, e",09292500
2014-12-22 00:00:00+00:00,63.0,"A, e",09292500
2014-12-23 00:00:00+00:00,58.0,"A, e",09292500
2014-12-24 00:00:00+00:00,58.0,"A, e",09292500
2014-12-25 00:00:00+00:00,59.0,"A, e",09292500
2014-12-26 00:00:00+00:00,52.0,"A, e",09292500
2014-12-27 00:00:00+00:00,46.0,"A, e",09292500
2014-12-28 00:00:00+00:00,52.0,"A, e",09292500
2014-12-29 00:00:00+00:00,50.0,"A, e",09292500
2014-12-30 00:00:00+00:00,40.0,"A, e",09292500
2014-12-31 00:00:00+00:00,35.0,"A, e",09292500
2015-01-01 00:00:00+00:00,40.0,"A, e",09292500
