datetime,00060_Mean,00060_Mean_cd,site_no
2015-10-01 00:00:00+00:00,39.3,A,09295000
2015-10-02 00:00:00+00:00,29.5,A,09295000
2015-10-03 00:00:00+00:00,32.0,A,09295000
2015-10-04 00:00:00+00:00,31.4,A,09295000
2015-10-05 00:00:00+00:00,34.2,A,09295000
2015-10-06 00:00:00+00:00,48.6,A,09295000
2015-10-07 00:00:00+00:00,40.7,A,09295000
2015-10-08 00:00:00+00:00,33.5,A,09295000
2015-10-09 00:00:00+00:00,29.0,A,09295000
2015-10-10 00:00:00+00:00,15.9,A,09295000
2015-10-11 00:00:00+00:00,11.6,A,09295000
2015-10-12 00:00:00+00:00,11.3,A,09295000
2015-10-13 00:00:00+00:00,12.2,A,09295000
2015-10-14 00:00:00+00:00,25.9,A,09295000
2015-10-15 00:00:00+00:00,28.9,A,09295000
2015-10-16 00:00:00+00:00,41.5,A,09295000
2015-10-17 00:00:00+00:00,40.3,A,09295000
2015-10-18 00:00:00+00:00,15.3,A,09295000
2015-10-19 00:00:00+00:00,18.9,A,09295000
2015-10-20 00:00:00+00:00,177.0,A,09295000
2015-10-21 00:00:00+00:00,188.0,A,09295000
2015-10-22 00:00:00+00:00,150.0,A,09295000
2015-10-23 00:00:00+00:00,158.0,A,09295000
2015-10-24 00:00:00+00:00,153.0,A,09295000
2015-10-25 00:00:00+00:00,148.0,A,09295000
2015-10-26 00:00:00+00:00,148.0,A,09295000
2015-10-27 00:00:00+00:00,147.0,A,09295000
2015-10-28 00:00:00+00:00,142.0,A,09295000
2015-10-29 00:00:00+00:00,145.0,A,09295000
2015-10-30 00:00:00+00:00,157.0,A,09295000
2015-10-31 00:00:00+00:00,155.0,A,09295000
2015-11-01 00:00:00+00:00,152.0,A,09295000
2015-11-02 00:00:00+00:00,161.0,A,09295000
2015-11-03 00:00:00+00:00,185.0,A,09295000
2015-11-04 00:00:00+00:00,189.0,A,09295000
2015-11-05 00:00:00+00:00,189.0,A,09295000
2015-11-06 00:00:00+00:00,187.0,A,09295000
2015-11-07 00:00:00+00:00,188.0,A,09295000
2015-11-08 00:00:00+00:00,192.0,A,09295000
2015-11-09 00:00:00+00:00,188.0,A,09295000
2015-11-10 00:00:00+00:00,197.0,A,09295000
2015-11-11 00:00:00+00:00,215.0,A,09295000
2015-11-12 00:00:00+00:00,96.4,A,09295000
2015-11-13 00:00:00+00:00,73.6,A,09295000
2015-11-14 00:00:00+00:00,70.8,A,09295000
2015-11-15 00:00:00+00:00,73.2,A,09295000
2015-11-16 00:00:00+00:00,76.4,A,09295000
2015-11-17 00:00:00+00:00,81.0,A,09295000
2015-11-18 00:00:00+00:00,75.7,A,09295000
2015-11-19 00:00:00+00:00,75.9,A,09295000
2015-11-20 00:00:00+00:00,74.2,A,09295000
2015-11-21 00:00:00+00:00,71.7,A,09295000
2015-11-22 00:00:00+00:00,65.1,A,09295000
2015-11-23 00:00:00+00:00,62.5,A,09295000
2015-11-24 00:00:00+00:00,66.7,A,09295000
2015-11-25 00:00:00+00:00,67.6,A,09295000
2015-11-26 00:00:00+00:00,67.7,A,09295000
2015-11-27 00:00:00+00:00,64.8,A,09295000
2015-11-28 00:00:00+00:00,67.4,A,09295000
2015-11-29 00:00:00+00:00,64.0,A,09295000
2015-11-30 00:00:00+00:00,60.9,A,09295000
2015-12-01 00:00:00+00:00,58.7,A,09295000
2015-12-02 00:00:00+00:00,58.0,"A, e",09295000
2015-12-03 00:00:00+00:00,59.0,"A, e",09295000
2015-12-04 00:00:00+00:00,60.0,"A, e",09295000
2015-12-05 00:00:00+00:00,60.0,"A, e",09295000
2015-12-06 00:00:00+00:00,62.0,"A, e",09295000
2015-12-07 00:00:00+00:00,62.0,"A, e",09295000
2015-12-08 00:00:00+00:00,62.0,"A, e",09295000
2015-12-09 00:00:00+00:00,62.0,"A, e",09295000
2015-12-10 00:00:00+00:00,61.0,"A, e",09295000
2015-12-11 00:00:00+00:00,63.0,"A, e",09295000
2015-12-12 00:00:00+00:00,65.0,"A, e",09295000
2015-12-13 00:00:00+00:00,63.0,"A, e",09295000
2015-12-14 00:00:00+00:00,63.0,"A, e",09295000
2015-12-15 00:00:00+00:00,63.0,"A, e",09295000
2015-12-16 00:00:00+00:00,64.0,"A, e",09295000
2015-12-17 00:00:00+00:00,63.0,"A, e",09295000
2015-12-18 00:00:00+00:00,61.0,"A, e",09295000
2015-12-19 00:00:00+00:00,58.0,"A, e",09295000
2015-12-20 00:00:00+00:00,60.0,"A, e",09295000
2015-12-21 00:00:00+00:00,60.0,"A, e",09295000
2015-12-22 00:00:00+00:00,60.0,"A, e",09295000
2015-12-23 00:00:00+00:00,62.0,"A, e",09295000
2015-12-24 00:00:00+00:00,64.0,"A, e",09295000
2015-12-25 00:00:00+00:00,62.0,"A, e",09295000
2015-12-26 00:00:00+00:00,58.0,"A, e",09295000
2015-12-27 00:00:00+00:00,55.0,"A, e",09295000
2015-12-28 00:00:00+00:00,50.0,"A, e",09295000
2015-12-29 00:00:00+00:00,48.0,"A, e",09295000
2015-12-30 00:00:00+00:00,48.0,"A, e",09295000
2015-12-31 00:00:00+00:00,46.0,"A, e",09295000
2016-01-01 00:00:00+00:00,46.0,"A, e",09295000
2016-01-02 00:00:00+00:00,46.0,"A, e",09295000
2016-01-03 00:00:00+00:00,44.0,"A, e",09295000
2016-01-04 00:00:00+00:00,38.0,"A, e",09295000
2016-01-05 00:00:00+00:00,34.0,"A, e",09295000
2016-01-06 00:00:00+00:00,32.0,"A, e",09295000
2016-01-07 00:00:00+00:00,34.0,"A, e",09295000
2016-01-08 00:00:00+00:00,37.0,"A, e",09295000
2016-01-09 00:00:00+00:00,77.0,"A, e",09295000
2016-01-10 00:00:00+00:00,86.0,"A, e",09295000
2016-01-11 00:00:00+00:00,81.0,"A, e",09295000
2016-01-12 00:00:00+00:00,77.0,"A, e",09295000
2016-01-13 00:00:00+00:00,77.0,"A, e",09295000
2016-01-14 00:00:00+00:00,77.0,"A, e",09295000
2016-01-15 00:00:00+00:00,81.0,"A, e",09295000
2016-01-16 00:00:00+00:00,86.0,"A, e",09295000
2016-01-17 00:00:00+00:00,91.0,"A, e",09295000
2016-01-18 00:00:00+00:00,96.0,"A, e",09295000
2016-01-19 00:00:00+00:00,96.0,"A, e",09295000
2016-01-20 00:00:00+00:00,96.0,"A, e",09295000
2016-01-21 00:00:00+00:00,97.0,"A, e",09295000
2016-01-22 00:00:00+00:00,104.0,"A, e",09295000
2016-01-23 00:00:00+00:00,136.0,"A, e",09295000
2016-01-24 00:00:00+00:00,150.0,"A, e",09295000
2016-01-25 00:00:00+00:00,149.0,"A, e",09295000
2016-01-26 00:00:00+00:00,145.0,"A, e",09295000
2016-01-27 00:00:00+00:00,166.0,"A, e",09295000
2016-01-28 00:00:00+00:00,163.0,"A, e",09295000
2016-01-29 00:00:00+00:00,163.0,"A, e",09295000
2016-01-30 00:00:00+00:00,168.0,"A, e",09295000
2016-01-31 00:00:00+00:00,173.0,"A, e",09295000
2016-02-01 00:00:00+00:00,173.0,"A, e",09295000
2016-02-02 00:00:00+00:00,165.0,"A, e",09295000
2016-02-03 00:00:00+00:00,154.0,"A, e",09295000
2016-02-04 00:00:00+00:00,150.0,"A, e",09295000
2016-02-05 00:00:00+00:00,153.0,"A, e",09295000
2016-02-06 00:00:00+00:00,188.0,"A, e",09295000
2016-02-07 00:00:00+00:00,215.0,"A, e",09295000
2016-02-08 00:00:00+00:00,220.0,"A, e",09295000
2016-02-09 00:00:00+00:00,225.0,"A, e",09295000
2016-02-10 00:00:00+00:00,225.0,"A, e",09295000
2016-02-11 00:00:00+00:00,227.0,"A, e",09295000
2016-02-12 00:00:00+00:00,229.0,"A, e",09295000
2016-02-13 00:00:00+00:00,230.0,"A, e",09295000
2016-02-14 00:00:00+00:00,235.0,"A, e",09295000
2016-02-15 00:00:00+00:00,240.0,"A, e",09295000
2016-02-16 00:00:00+00:00,245.0,"A, e",09295000
2016-02-17 00:00:00+00:00,250.0,"A, e",09295000
2016-02-18 00:00:00+00:00,255.0,"A, e",09295000
2016-02-19 00:00:00+00:00,260.0,"A, e",09295000
2016-02-20 00:00:00+00:00,270.0,"A, e",09295000
2016-02-21 00:00:00+00:00,280.0,"A, e",09295000
2016-02-22 00:00:00+00:00,290.0,"A, e",09295000
2016-02-23 00:00:00+00:00,300.0,"A, e",09295000
2016-02-24 00:00:00+00:00,305.0,"A, e",09295000
2016-02-25 00:00:00+00:00,310.0,A,09295000
2016-02-26 00:00:00+00:00,314.0,A,09295000
2016-02-27 00:00:00+00:00,314.0,A,09295000
2016-02-28 00:00:00+00:00,316.0,A,09295000
2016-02-29 00:00:00+00:00,310.0,A,09295000
2016-03-01 00:00:00+00:00,228.0,A,09295000
2016-03-02 00:00:00+00:00,173.0,A,09295000
2016-03-03 00:00:00+00:00,136.0,A,09295000
2016-03-04 00:00:00+00:00,110.0,A,09295000
2016-03-05 00:00:00+00:00,102.0,A,09295000
2016-03-06 00:00:00+00:00,97.3,A,09295000
2016-03-07 00:00:00+00:00,119.0,A,09295000
2016-03-08 00:00:00+00:00,111.0,A,09295000
2016-03-09 00:00:00+00:00,96.4,A,09295000
2016-03-10 00:00:00+00:00,92.5,A,09295000
2016-03-11 00:00:00+00:00,90.7,A,09295000
2016-03-12 00:00:00+00:00,91.8,A,09295000
2016-03-13 00:00:00+00:00,90.9,A,09295000
2016-03-14 00:00:00+00:00,89.4,A,09295000
2016-03-15 00:00:00+00:00,87.7,A,09295000
2016-03-16 00:00:00+00:00,84.8,A,09295000
2016-03-17 00:00:00+00:00,85.6,A,09295000
2016-03-18 00:00:00+00:00,77.7,A,09295000
2016-03-19 00:00:00+00:00,68.3,A,09295000
2016-03-20 00:00:00+00:00,65.8,A,09295000
2016-03-21 00:00:00+00:00,66.7,A,09295000
2016-03-22 00:00:00+00:00,64.4,A,09295000
2016-03-23 00:00:00+00:00,62.8,A,09295000
2016-03-24 00:00:00+00:00,61.3,A,09295000
2016-03-25 00:00:00+00:00,61.5,A,09295000
2016-03-26 00:00:00+00:00,60.8,A,09295000
2016-03-27 00:00:00+00:00,60.8,A,09295000
2016-03-28 00:00:00+00:00,60.8,A,09295000
2016-03-29 00:00:00+00:00,62.5,A,09295000
2016-03-30 00:00:00+00:00,68.1,A,09295000
2016-03-31 00:00:00+00:00,74.6,A,09295000
2016-04-01 00:00:00+00:00,75.8,A,09295000
2016-04-02 00:00:00+00:00,69.4,A,09295000
2016-04-03 00:00:00+00:00,51.7,A,09295000
2016-04-04 00:00:00+00:00,41.2,A,09295000
2016-04-05 00:00:00+00:00,43.7,A,09295000
2016-04-06 00:00:00+00:00,40.8,A,09295000
2016-04-07 00:00:00+00:00,36.5,A,09295000
2016-04-08 00:00:00+00:00,35.5,A,09295000
2016-04-09 00:00:00+00:00,34.2,A,09295000
2016-04-10 00:00:00+00:00,40.6,A,09295000
2016-04-11 00:00:00+00:00,46.3,A,09295000
2016-04-12 00:00:00+00:00,39.0,A,09295000
2016-04-13 00:00:00+00:00,51.2,A,09295000
2016-04-14 00:00:00+00:00,57.4,A,09295000
2016-04-15 00:00:00+00:00,50.6,A,09295000
2016-04-16 00:00:00+00:00,48.5,A,09295000
2016-04-17 00:00:00+00:00,55.6,A,09295000
2016-04-18 00:00:00+00:00,134.0,A,09295000
2016-04-19 00:00:00+00:00,179.0,A,09295000
2016-04-20 00:00:00+00:00,99.1,A,09295000
2016-04-21 00:00:00+00:00,74.8,A,09295000
2016-04-22 00:00:00+00:00,46.2,A,09295000
2016-04-23 00:00:00+00:00,23.1,A,09295000
2016-04-24 00:00:00+00:00,51.3,A,09295000
2016-04-25 00:00:00+00:00,67.1,A,09295000
2016-04-26 00:00:00+00:00,97.5,A,09295000
2016-04-27 00:00:00+00:00,86.9,A,09295000
2016-04-28 00:00:00+00:00,91.2,A,09295000
2016-04-29 00:00:00+00:00,132.0,A,09295000
2016-04-30 00:00:00+00:00,105.0,A,09295000
2016-05-01 00:00:00+00:00,82.7,A,09295000
2016-05-02 00:00:00+00:00,74.6,A,09295000
2016-05-03 00:00:00+00:00,52.6,A,09295000
2016-05-04 00:00:00+00:00,43.0,A,09295000
2016-05-05 00:00:00+00:00,54.9,A,09295000
2016-05-06 00:00:00+00:00,42.3,A,09295000
2016-05-07 00:00:00+00:00,50.5,A,09295000
2016-05-08 00:00:00+00:00,56.2,A,09295000
2016-05-09 00:00:00+00:00,67.7,A,09295000
2016-05-10 00:00:00+00:00,64.1,A,09295000
2016-05-11 00:00:00+00:00,58.5,A,09295000
2016-05-12 00:00:00+00:00,42.1,A,09295000
2016-05-13 00:00:00+00:00,30.3,A,09295000
2016-05-14 00:00:00+00:00,43.6,A,09295000
2016-05-15 00:00:00+00:00,72.2,A,09295000
2016-05-16 00:00:00+00:00,153.0,A,09295000
2016-05-17 00:00:00+00:00,177.0,A,09295000
2016-05-18 00:00:00+00:00,175.0,A,09295000
2016-05-19 00:00:00+00:00,116.0,A,09295000
2016-05-20 00:00:00+00:00,73.8,A,09295000
2016-05-21 00:00:00+00:00,71.5,A,09295000
2016-05-22 00:00:00+00:00,97.9,A,09295000
2016-05-23 00:00:00+00:00,111.0,A,09295000
2016-05-24 00:00:00+00:00,69.6,A,09295000
2016-05-25 00:00:00+00:00,58.2,A,09295000
2016-05-26 00:00:00+00:00,54.3,A,09295000
2016-05-27 00:00:00+00:00,74.8,A,09295000
2016-05-28 00:00:00+00:00,98.4,A,09295000
2016-05-29 00:00:00+00:00,44.7,A,09295000
2016-05-30 00:00:00+00:00,44.1,A,09295000
2016-05-31 00:00:00+00:00,46.1,A,09295000
2016-06-01 00:00:00+00:00,46.9,A,09295000
2016-06-02 00:00:00+00:00,47.2,A,09295000
2016-06-03 00:00:00+00:00,50.8,A,09295000
2016-06-04 00:00:00+00:00,121.0,A,09295000
2016-06-05 00:00:00+00:00,442.0,A,09295000
2016-06-06 00:00:00+00:00,717.0,A,09295000
2016-06-07 00:00:00+00:00,520.0,A,09295000
2016-06-08 00:00:00+00:00,496.0,A,09295000
2016-06-09 00:00:00+00:00,834.0,A,09295000
2016-06-10 00:00:00+00:00,1200.0,A,09295000
2016-06-11 00:00:00+00:00,1530.0,A,09295000
2016-06-12 00:00:00+00:00,1520.0,A,09295000
2016-06-13 00:00:00+00:00,1240.0,A,09295000
2016-06-14 00:00:00+00:00,743.0,A,09295000
2016-06-15 00:00:00+00:00,565.0,A,09295000
2016-06-16 00:00:00+00:00,619.0,A,09295000
2016-06-17 00:00:00+00:00,548.0,A,09295000
2016-06-18 00:00:00+00:00,491.0,A,09295000
2016-06-19 00:00:00+00:00,463.0,A,09295000
2016-06-20 00:00:00+00:00,369.0,A,09295000
2016-06-21 00:00:00+00:00,333.0,A,09295000
2016-06-22 00:00:00+00:00,310.0,A,09295000
2016-06-23 00:00:00+00:00,227.0,A,09295000
2016-06-24 00:00:00+00:00,165.0,A,09295000
2016-06-25 00:00:00+00:00,118.0,A,09295000
2016-06-26 00:00:00+00:00,100.0,A,09295000
2016-06-27 00:00:00+00:00,75.2,A,09295000
2016-06-28 00:00:00+00:00,57.3,A,09295000
