datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2015-10-01 00:00:00+00:00,15.0,A,13032500,7380.0,"A, e"
2015-10-02 00:00:00+00:00,14.9,A,13032500,7360.0,"A, e"
2015-10-03 00:00:00+00:00,14.5,A,13032500,7340.0,"A, e"
2015-10-04 00:00:00+00:00,14.5,A,13032500,7330.0,"A, e"
2015-10-05 00:00:00+00:00,14.7,A,13032500,7430.0,"A, e"
2015-10-06 00:00:00+00:00,14.6,A,13032500,6830.0,"A, e"
2015-10-07 00:00:00+00:00,14.5,A,13032500,6270.0,"A, e"
2015-10-08 00:00:00+00:00,14.5,A,13032500,5760.0,"A, e"
2015-10-09 00:00:00+00:00,14.4,A,13032500,5440.0,"A, e"
2015-10-10 00:00:00+00:00,14.5,A,13032500,5240.0,"A, e"
2015-10-11 00:00:00+00:00,14.3,A,13032500,5220.0,"A, e"
2015-10-12 00:00:00+00:00,14.0,A,13032500,5200.0,"A, e"
2015-10-13 00:00:00+00:00,14.1,A,13032500,5190.0,"A, e"
2015-10-14 00:00:00+00:00,13.9,A,13032500,4630.0,"A, e"
2015-10-15 00:00:00+00:00,13.8,A,13032500,3570.0,A
2015-10-16 00:00:00+00:00,13.7,A,13032500,3510.0,A
2015-10-17 00:00:00+00:00,13.6,A,13032500,3520.0,A
2015-10-18 00:00:00+00:00,13.6,A,13032500,3510.0,A
2015-10-19 00:00:00+00:00,13.4,A,13032500,3150.0,A
2015-10-20 00:00:00+00:00,13.1,A,13032500,2400.0,A
2015-10-21 00:00:00+00:00,13.0,A,13032500,2400.0,A
2015-10-22 00:00:00+00:00,12.9,A,13032500,1630.0,A
2015-10-23 00:00:00+00:00,12.5,A,13032500,1670.0,A
2015-10-24 00:00:00+00:00,12.4,A,13032500,1670.0,A
2015-10-25 00:00:00+00:00,12.3,A,13032500,1680.0,A
2015-10-26 00:00:00+00:00,12.2,A,13032500,1470.0,A
2015-10-27 00:00:00+00:00,11.7,A,13032500,1120.0,A
2015-10-28 00:00:00+00:00,11.4,A,13032500,1130.0,A
2015-10-29 00:00:00+00:00,11.5,A,13032500,1140.0,A
2015-10-30 00:00:00+00:00,11.2,A,13032500,1150.0,A
2015-10-31 00:00:00+00:00,11.2,A,13032500,1150.0,A
2015-11-01 00:00:00+00:00,11.0,A,13032500,1140.0,A
2015-11-02 00:00:00+00:00,10.8,A,13032500,1060.0,A
2015-11-03 00:00:00+00:00,10.5,A,13032500,905.0,A
2015-11-04 00:00:00+00:00,,,13032500,903.0,A
2015-11-05 00:00:00+00:00,,,13032500,900.0,A
2015-11-06 00:00:00+00:00,,,13032500,916.0,A
2015-11-07 00:00:00+00:00,,,13032500,926.0,A
2015-11-08 00:00:00+00:00,,,13032500,903.0,A
2015-11-09 00:00:00+00:00,,,13032500,897.0,A
2015-11-10 00:00:00+00:00,,,13032500,894.0,A
2015-11-11 00:00:00+00:00,,,13032500,896.0,A
2015-11-12 00:00:00+00:00,,,13032500,897.0,A
2015-11-13 00:00:00+00:00,,,13032500,896.0,A
2015-11-14 00:00:00+00:00,,,13032500,894.0,A
2015-11-15 00:00:00+00:00,,,13032500,897.0,A
2015-11-16 00:00:00+00:00,,,13032500,905.0,A
2015-11-17 00:00:00+00:00,,,13032500,901.0,A
2015-11-18 00:00:00+00:00,,,13032500,927.0,A
2015-11-19 00:00:00+00:00,,,13032500,920.0,A
2015-11-20 00:00:00+00:00,,,13032500,921.0,A
2015-11-21 00:00:00+00:00,,,13032500,895.0,A
2015-11-22 00:00:00+00:00,,,13032500,897.0,A
2015-11-23 00:00:00+00:00,,,13032500,899.0,A
2015-11-24 00:00:00+00:00,,,13032500,899.0,A
2015-11-25 00:00:00+00:00,,,13032500,903.0,A
2015-11-26 00:00:00+00:00,,,13032500,903.0,A
2015-11-27 00:00:00+00:00,,,13032500,911.0,A
2015-11-28 00:00:00+00:00,,,13032500,917.0,A
2015-11-29 00:00:00+00:00,,,13032500,896.0,A
2015-11-30 00:00:00+00:00,,,13032500,883.0,A
2015-12-01 00:00:00+00:00,,,13032500,897.0,A
2015-12-02 00:00:00+00:00,,,13032500,917.0,A
2015-12-03 00:00:00+00:00,,,13032500,902.0,A
2015-12-04 00:00:00+00:00,,,13032500,903.0,A
2015-12-05 00:00:00+00:00,,,13032500,900.0,A
2015-12-06 00:00:00+00:00,,,13032500,898.0,A
2015-12-07 00:00:00+00:00,,,13032500,886.0,A
2015-12-08 00:00:00+00:00,,,13032500,894.0,A
2015-12-09 00:00:00+00:00,,,13032500,899.0,A
2015-12-10 00:00:00+00:00,,,13032500,913.0,A
2015-12-11 00:00:00+00:00,,,13032500,910.0,A
2015-12-12 00:00:00+00:00,,,13032500,906.0,A
2015-12-13 00:00:00+00:00,,,13032500,913.0,A
2015-12-14 00:00:00+00:00,,,13032500,910.0,A
2015-12-15 00:00:00+00:00,,,13032500,900.0,A
2015-12-16 00:00:00+00:00,,,13032500,901.0,A
2015-12-17 00:00:00+00:00,,,13032500,894.0,A
2015-12-18 00:00:00+00:00,,,13032500,895.0,A
2015-12-19 00:00:00+00:00,,,13032500,903.0,A
2015-12-20 00:00:00+00:00,,,13032500,903.0,A
2015-12-21 00:00:00+00:00,,,13032500,903.0,A
2015-12-22 00:00:00+00:00,,,13032500,904.0,A
2015-12-23 00:00:00+00:00,,,13032500,901.0,A
2015-12-24 00:00:00+00:00,,,13032500,899.0,A
2015-12-25 00:00:00+00:00,,,13032500,896.0,A
2015-12-26 00:00:00+00:00,,,13032500,889.0,A
2015-12-27 00:00:00+00:00,,,13032500,919.0,A
2015-12-28 00:00:00+00:00,,,13032500,895.0,A
2015-12-29 00:00:00+00:00,,,13032500,913.0,A
2015-12-30 00:00:00+00:00,,,13032500,907.0,A
2015-12-31 00:00:00+00:00,,,13032500,902.0,A
2016-01-01 00:00:00+00:00,,,13032500,916.0,A
2016-01-02 00:00:00+00:00,,,13032500,912.0,A
2016-01-03 00:00:00+00:00,,,13032500,891.0,A
2016-01-04 00:00:00+00:00,,,13032500,893.0,A
2016-01-05 00:00:00+00:00,,,13032500,889.0,A
