datetime,00060_Mean,00060_Mean_cd,site_no
2016-10-01 00:00:00+00:00,14.3,A,13161500
2016-10-02 00:00:00+00:00,14.3,A,13161500
2016-10-03 00:00:00+00:00,14.0,A,13161500
2016-10-04 00:00:00+00:00,14.9,A,13161500
2016-10-06 00:00:00+00:00,16.7,A,13161500
2016-10-07 00:00:00+00:00,16.4,A,13161500
2016-10-08 00:00:00+00:00,15.9,A,13161500
2016-10-09 00:00:00+00:00,15.2,A,13161500
2016-10-10 00:00:00+00:00,15.0,A,13161500
2016-10-11 00:00:00+00:00,15.1,A,13161500
2016-10-12 00:00:00+00:00,15.4,A,13161500
2016-10-13 00:00:00+00:00,15.4,A,13161500
2016-10-14 00:00:00+00:00,15.4,A,13161500
2016-10-15 00:00:00+00:00,17.1,A,13161500
2016-10-16 00:00:00+00:00,19.3,A,13161500
2016-10-17 00:00:00+00:00,29.2,A,13161500
2016-10-18 00:00:00+00:00,26.6,A,13161500
2016-10-19 00:00:00+00:00,27.0,A,13161500
2016-10-20 00:00:00+00:00,24.5,A,13161500
2016-10-21 00:00:00+00:00,23.6,A,13161500
2016-10-22 00:00:00+00:00,23.2,A,13161500
2016-10-23 00:00:00+00:00,22.7,A,13161500
2016-10-24 00:00:00+00:00,22.4,A,13161500
2016-10-25 00:00:00+00:00,24.0,A,13161500
2016-10-26 00:00:00+00:00,23.3,A,13161500
2016-10-27 00:00:00+00:00,22.4,A,13161500
2016-10-28 00:00:00+00:00,33.9,A,13161500
2016-10-29 00:00:00+00:00,49.0,A,13161500
2016-10-30 00:00:00+00:00,39.9,A,13161500
2016-10-31 00:00:00+00:00,76.2,A,13161500
2016-11-01 00:00:00+00:00,51.1,A,13161500
2016-11-02 00:00:00+00:00,41.9,A,13161500
2016-11-03 00:00:00+00:00,37.7,A,13161500
2016-11-04 00:00:00+00:00,34.6,A,13161500
2016-11-05 00:00:00+00:00,33.0,A,13161500
2016-11-06 00:00:00+00:00,31.6,A,13161500
2016-11-07 00:00:00+00:00,30.4,A,13161500
2016-11-08 00:00:00+00:00,29.5,A,13161500
2016-11-09 00:00:00+00:00,29.0,A,13161500
2016-11-10 00:00:00+00:00,28.4,A,13161500
2016-11-11 00:00:00+00:00,28.0,A,13161500
2016-11-12 00:00:00+00:00,27.4,A,13161500
2016-11-13 00:00:00+00:00,26.9,A,13161500
2016-11-14 00:00:00+00:00,26.5,A,13161500
2016-11-15 00:00:00+00:00,26.2,A,13161500
2016-11-16 00:00:00+00:00,27.3,A,13161500
2016-11-17 00:00:00+00:00,26.7,A,13161500
2016-11-18 00:00:00+00:00,24.7,A,13161500
2016-11-19 00:00:00+00:00,25.5,A,13161500
2016-11-20 00:00:00+00:00,25.2,A,13161500
2016-11-21 00:00:00+00:00,25.9,A,13161500
2016-11-22 00:00:00+00:00,25.8,A,13161500
2016-11-23 00:00:00+00:00,25.6,A,13161500
2016-11-24 00:00:00+00:00,24.5,A,13161500
2016-11-25 00:00:00+00:00,24.3,A,13161500
2016-11-26 00:00:00+00:00,25.2,A,13161500
2016-11-27 00:00:00+00:00,25.8,A,13161500
2016-11-28 00:00:00+00:00,26.4,A,13161500
2016-11-29 00:00:00+00:00,26.0,A,13161500
